"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005920","GO:0005920",1,"GO:0005920",1,2.7391159704751,8,"smooth septate junction","smooth septate junction"
"GO:0005887","GO:0005887",2,"GO:0005887",0.977,2.7391159704751,550,"integral component of plasma membrane","integral component of plasma membrane"
"GO:0005886","GO:0005886",3,"GO:0005886",0.919,2.7391159704751,1019,"plasma membrane","plasma membrane"
"GO:0031226","GO:0031226",2,"GO:0005887",0.974,2.7391159704751,1,"intrinsic component of plasma membrane","integral component of plasma membrane"
"GO:0005911","GO:0005911",1,"GO:0005920",0.748,2.7391159704751,40,"cell-cell junction","smooth septate junction"
"GO:0005918","GO:0005918",1,"GO:0005920",0.874,2.55380706465011,36,"septate junction","smooth septate junction"
"GO:0071944","GO:0071944",3,"GO:0005886",0.841,2.2197041029201,11,"cell periphery","plasma membrane"
"GO:0016021","GO:0016021",2,"GO:0005887",0.746,2.20865097083352,1187,"integral component of membrane","integral component of plasma membrane"
"GO:0070160","GO:0070160",1,"GO:0005920",0.861,2.17595364449137,0,"tight junction","smooth septate junction"
"GO:0031224","GO:0031224",2,"GO:0005887",0.742,2.17595364449137,4,"intrinsic component of membrane","integral component of plasma membrane"
"GO:0016327","GO:0016327",3,"GO:0005886",0.477,2.17503658041574,23,"apicolateral plasma membrane","plasma membrane"
"GO:0070161","GO:0070161",1,"GO:0005920",0.72,2.15559869869908,0,"anchoring junction","smooth septate junction"
"GO:0043296","GO:0043296",1,"GO:0005920",0.838,2.08878234728593,7,"apical junction complex","smooth septate junction"
"GO:0016020","GO:0016020",2,"GO:0005887",0.498,2.06472243386665,411,"membrane","integral component of plasma membrane"
