"","GO:0005920","GO:0005887","GO:0005886","GO:0031226","GO:0005911","GO:0005918","GO:0071944","GO:0016021","GO:0070160","GO:0031224","GO:0016327","GO:0070161","GO:0043296","GO:0016020"
"GO:0005920",1,0.003,0.003,0.003,0.748,0.874,0.003,0.003,0.861,0.003,0.002,0.72,0.838,0.003
"GO:0005887",0.003,0.977,0.732,0.974,0.004,0.003,0.663,0.746,0.003,0.742,0.421,0.004,0.003,0.498
"GO:0005886",0.003,0.732,0.919,0.735,0.005,0.004,0.841,0.536,0.004,0.538,0.477,0.005,0.004,0.651
"GO:0031226",0.003,0.974,0.735,0.977,0.004,0.003,0.665,0.743,0.003,0.745,0.422,0.004,0.003,0.501
"GO:0005911",0.748,0.004,0.005,0.004,0.993,0.867,0.005,0.004,0.88,0.004,0.003,0.963,0.903,0.005
"GO:0005918",0.874,0.003,0.004,0.003,0.867,0.998,0.004,0.004,0.985,0.004,0.002,0.838,0.961,0.004
"GO:0071944",0.003,0.663,0.841,0.665,0.005,0.004,0.893,0.007,0.004,0.007,0.425,0.005,0.004,0.009
"GO:0016021",0.003,0.746,0.536,0.743,0.004,0.004,0.007,0.923,0.004,0.919,0.28,0.005,0.004,0.642
"GO:0070160",0.861,0.003,0.004,0.003,0.88,0.985,0.004,0.004,0.998,0.004,0.003,0.851,0.808,0.004
"GO:0031224",0.003,0.742,0.538,0.745,0.004,0.004,0.007,0.919,0.004,0.922,0.28,0.005,0.004,0.644
"GO:0016327",0.002,0.421,0.477,0.422,0.003,0.002,0.425,0.28,0.003,0.28,0.999,0.003,0.003,0.308
"GO:0070161",0.72,0.004,0.005,0.004,0.963,0.838,0.005,0.005,0.851,0.005,0.003,0.991,0.873,0.005
"GO:0043296",0.838,0.003,0.004,0.003,0.903,0.961,0.004,0.004,0.808,0.004,0.003,0.873,0.997,0.004
"GO:0016020",0.003,0.498,0.651,0.501,0.005,0.004,0.009,0.642,0.004,0.644,0.308,0.005,0.004,0.813
