"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00565","path:dme00565",0.000526171916133298,0.999983530143447,3,23,0.074190240174795,"Ether lipid metabolism"
"dme01232","path:dme01232",0.00901666626492693,0.999182102958747,3,60,0.408654557910957,"Nucleotide metabolism"
"dme00564","path:dme00564",0.0105053792866698,0.99898944562133,3,65,0.408654557910957,"Glycerophospholipid metabolism"
"dme03266","path:dme03266",0.0115930371038569,0.999967742307401,1,2,0.408654557910957,"Virion"
"dme00600","path:dme00600",0.0185167529735994,0.998889951190221,2,30,0.522172433855504,"Sphingolipid metabolism"
"dme00230","path:dme00230",0.0247664293630252,0.99668317603194,3,93,0.582011090031093,"Purine metabolism"
"dme01100","path:dme01100",0.0307660622460267,0.989237036270508,13,1125,0.619716396669967,"Metabolic pathways"
"dme00562","path:dme00562",0.0411934792963879,0.996133156643323,2,48,0.638184147046415,"Inositol phosphate metabolism"
"dme00440","path:dme00440",0.0414664905276666,0.999304543360391,1,6,0.638184147046415,"Phosphonate and phosphinate metabolism"
"dme00561","path:dme00561",0.0475032098191486,0.99517845410883,2,48,0.638184147046415,"Glycerolipid metabolism"
"dme00232","path:dme00232",0.0497874157270253,0.998965611127177,1,7,0.638184147046415,"Caffeine metabolism"
"dme00010","path:dme00010",0.0632003534101139,0.992452401251166,2,56,0.733278612864468,"Glycolysis / Gluconeogenesis"
"dme04070","path:dme04070",0.0676072479945963,0.991588993532907,2,64,0.733278612864468,"Phosphatidylinositol signaling system"
"dme00770","path:dme00770",0.102594174601542,0.995123732395175,1,15,1,"Pantothenate and CoA biosynthesis"
"dme00760","path:dme00760",0.123004357344914,0.992852089595191,1,18,1,"Nicotinate and nicotinamide metabolism"
"dme04310","path:dme04310",0.138894375579822,0.973611013906406,2,97,1,"Wnt signaling pathway"
"dme04146","path:dme04146",0.141761160210231,0.972762869470839,2,90,1,"Peroxisome"
"dme00983","path:dme00983",0.148828392544522,0.970547157345816,2,92,1,"Drug metabolism"
"dme04215","path:dme04215",0.154601946585006,0.988423700772516,1,23,1,"Apoptosis"
"dme00981","path:dme00981",0.188488931486002,0.982418459781948,1,28,1,"Insect hormone biosynthesis"
"dme00640","path:dme00640",0.191958938922056,0.981717148753596,1,29,1,"Propanoate metabolism"
"dme04745","path:dme04745",0.197545526837929,0.980532094681345,1,32,1,"Phototransduction"
"dme00830","path:dme00830",0.199156322801216,0.980261259300876,1,29,1,"Retinol metabolism"
"dme04142","path:dme04142",0.207895719391701,0.949301555142592,2,117,1,"Lysosome"
"dme00053","path:dme00053",0.216233207277326,0.976490886489701,1,32,1,"Ascorbate and aldarate metabolism"
"dme00630","path:dme00630",0.222677833242669,0.974956937057812,1,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme00240","path:dme00240",0.241775703645407,0.970148555234516,1,38,1,"Pyrimidine metabolism"
"dme00510","path:dme00510",0.250459948675283,0.967825092419221,1,39,1,"N-Glycan biosynthesis"
"dme00052","path:dme00052",0.256632010176008,0.966129118112706,1,39,1,"Galactose metabolism"
"dme04141","path:dme04141",0.264245964382937,0.924678356788953,2,138,1,"Protein processing in endoplasmic reticulum"
"dme01240","path:dme01240",0.266784245263868,0.923488276108082,2,135,1,"Biosynthesis of cofactors"
"dme00860","path:dme00860",0.274159252683667,0.96098060169601,1,42,1,"Porphyrin metabolism"
"dme00040","path:dme00040",0.311473804265746,0.948628810858151,1,49,1,"Pentose and glucuronate interconversions"
"dme00620","path:dme00620",0.313543079574712,0.947875852956756,1,50,1,"Pyruvate metabolism"
"dme04391","path:dme04391",0.337963882984607,0.938531316897369,1,63,1,"Hippo signaling pathway"
"dme04214","path:dme04214",0.373617511694046,0.923523925680122,1,68,1,"Apoptosis"
"dme00982","path:dme00982",0.384634031934728,0.918595794966957,1,63,1,"Drug metabolism"
"dme00980","path:dme00980",0.394301336046169,0.914011149877041,1,65,1,"Metabolism of xenobiotics by cytochrome P450"
"dme04624","path:dme04624",0.457998688352891,0.879838675565822,1,83,1,"Toll and Imd signaling pathway"
"dme04150","path:dme04150",0.514266470880676,0.843527560098785,1,102,1,"mTOR signaling pathway"
"dme01200","path:dme01200",0.601649962001661,0.77415722364729,1,122,1,"Carbon metabolism"
"dme04144","path:dme04144",0.615259894719434,0.761625547547052,1,136,1,"Endocytosis"
