"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0043228","GO:0043228",5.91773219258275e-22,1,553,1555,"non-membrane-bounded organelle","CC",3.54945576911114e-18
"GO:0043232","GO:0043232",5.91773219258275e-22,1,553,1555,"intracellular non-membrane-bounded organelle","CC",3.54945576911114e-18
"GO:0022626","GO:0022626",5.08798715263471e-19,1,64,97,"cytosolic ribosome","CC",2.03451646276687e-15
"GO:0071840","GO:0071840",1.05862027291639e-17,1,907,2870,"cellular component organization or biogenesis","BP",3.17480219847626e-14
"GO:0043226","GO:0043226",9.18909560370424e-17,1,1534,5361,"organelle","CC",2.20464781724072e-13
"GO:0002181","GO:0002181",5.1616928908476e-16,1,75,133,"cytoplasmic translation","BP",1.03199446531013e-12
"GO:0005622","GO:0005622",6.8224570762188e-16,1,1759,6290,"intracellular anatomical structure","CC",1.16917421551887e-12
"GO:0043229","GO:0043229",5.42743345608168e-15,1,1499,5269,"intracellular organelle","CC",8.13843646739448e-12
"GO:0016043","GO:0016043",1.9574787603164e-14,1,843,2701,"cellular component organization","BP",2.60910168986172e-11
"GO:0044085","GO:0044085",7.42738639731076e-14,1,465,1374,"cellular component biogenesis","BP",8.90989272221399e-11
"GO:0006996","GO:0006996",1.29561021732689e-12,1,524,1604,"organelle organization","BP",1.41292183336849e-09
"GO:0022625","GO:0022625",5.72113078346e-12,1,37,55,"cytosolic large ribosomal subunit","CC",5.71922373986551e-09
"GO:0032991","GO:0032991",1.00418605684104e-11,1,794,2641,"protein-containing complex","CC",9.26631995220396e-09
"GO:0005856","GO:0005856",4.41265563557779e-11,1,203,528,"cytoskeleton","CC",3.78101550031366e-08
"GO:0022607","GO:0022607",2.25804731793782e-10,1,392,1179,"cellular component assembly","BP",1.8058357083988e-07
"GO:0005515","GO:0005515",4.63341755467765e-10,1,699,2281,"protein binding","MF",3.47390481161957e-07
"GO:0005829","GO:0005829",9.81488921264934e-10,1,289,859,"cytosol","CC",6.78690855724222e-07
