"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0002181","GO:0002181",1,"GO:0002181",0.995,17.4498382313367,199,"cytoplasmic translation","cytoplasmic translation"
"GO:0071840","GO:0071840",2,"GO:0071840",0.85,17.4498382313367,0,"cellular component organization or biogenesis","cellular component organization or biogenesis"
"GO:0016043","GO:0016043",2,"GO:0071840",0.841,14.6915387916009,0,"cellular component organization","cellular component organization or biogenesis"
"GO:0044085","GO:0044085",3,"GO:0044085",0.951,13.4982833276275,0,"cellular component biogenesis","cellular component biogenesis"
"GO:0006996","GO:0006996",2,"GO:0071840",0.72,12.6566607772823,1,"organelle organization","cellular component organization or biogenesis"
"GO:0022607","GO:0022607",3,"GO:0044085",0.929,11.9863226318674,0,"cellular component assembly","cellular component biogenesis"
"GO:0003341","GO:0003341",4,"GO:0003341",0.998,11.9321207709586,38,"cilium movement","cilium movement"
"GO:0007010","GO:0007010",2,"GO:0071840",0.592,11.0894590224825,20,"cytoskeleton organization","cellular component organization or biogenesis"
"GO:0009987","GO:0009987",5,"GO:0009987",0.357,10.5835089939219,2,"cellular process","cellular process"
"GO:0003006","GO:0003006",6,"GO:0003006",0.959,10.0501275249677,0,"developmental process involved in reproduction","developmental process involved in reproduction"
"GO:0007017","GO:0007017",4,"GO:0003341",0.754,8.8498818638243,13,"microtubule-based process","cilium movement"
"GO:0030154","GO:0030154",7,"GO:0030154",0.906,8.24266291322981,79,"cell differentiation","cell differentiation"
"GO:0048468","GO:0048468",7,"GO:0030154",0.848,8.03309270833341,5,"cell development","cell differentiation"
"GO:0048869","GO:0048869",7,"GO:0030154",0.905,7.42239154223892,0,"cellular developmental process","cell differentiation"
"GO:0022613","GO:0022613",3,"GO:0044085",0.741,6.74332176353603,0,"ribonucleoprotein complex biogenesis","cellular component biogenesis"
"GO:0006325","GO:0006325",2,"GO:0071840",0.516,6.45918208581832,110,"chromatin organization","cellular component organization or biogenesis"
"GO:0060285","GO:0060285",8,"GO:0060285",0.998,6.16832800219392,9,"cilium-dependent cell motility","cilium-dependent cell motility"
"GO:0001539","GO:0001539",8,"GO:0060285",0.998,6.16832800219392,0,"cilium or flagellum-dependent cell motility","cilium-dependent cell motility"
"GO:0070925","GO:0070925",3,"GO:0044085",0.782,5.55583247880746,0,"organelle assembly","cellular component biogenesis"
"GO:0042254","GO:0042254",3,"GO:0044085",0.715,5.5208521459565,15,"ribosome biogenesis","cellular component biogenesis"
"GO:0035082","GO:0035082",4,"GO:0003341",0.598,5.49827104548268,17,"axoneme assembly","cilium movement"
"GO:0006412","GO:0006412",1,"GO:0002181",0.784,5.40741621385269,545,"translation","cytoplasmic translation"
"GO:0009060","GO:0009060",9,"GO:0009060",0.996,5.33800008212519,11,"aerobic respiration","aerobic respiration"
"GO:0042273","GO:0042273",3,"GO:0044085",0.597,5.25992816020551,19,"ribosomal large subunit biogenesis","cellular component biogenesis"
"GO:0007276","GO:0007276",6,"GO:0003006",0.828,5.25992816020551,6,"gamete generation","developmental process involved in reproduction"
"GO:0001578","GO:0001578",4,"GO:0003341",0.606,5.20659541504769,14,"microtubule bundle formation","cilium movement"
"GO:0000226","GO:0000226",4,"GO:0003341",0.727,5.12518456853025,66,"microtubule cytoskeleton organization","cilium movement"
"GO:0120036","GO:0120036",10,"GO:0120036",0.971,4.96006684572545,0,"plasma membrane bounded cell projection organization","plasma membrane bounded cell projection organization"
"GO:0048609","GO:0048609",6,"GO:0003006",0.83,4.94726342187185,0,"multicellular organismal reproductive process","developmental process involved in reproduction"
"GO:0035220","GO:0035220",11,"GO:0035220",0.986,4.83107011677982,71,"wing disc development","wing disc development"
"GO:0009653","GO:0009653",7,"GO:0030154",0.476,4.81465830546956,24,"anatomical structure morphogenesis","cell differentiation"
"GO:0022412","GO:0022412",6,"GO:0003006",0.816,4.78341186164515,0,"cellular process involved in reproduction in multicellular organism","developmental process involved in reproduction"
"GO:0048232","GO:0048232",6,"GO:0003006",0.675,4.76552210870802,2,"male gamete generation","developmental process involved in reproduction"
"GO:0060271","GO:0060271",10,"GO:0120036",0.787,4.76552210870802,124,"cilium assembly","plasma membrane bounded cell projection organization"
"GO:0044782","GO:0044782",10,"GO:0120036",0.802,4.74668382876676,9,"cilium organization","plasma membrane bounded cell projection organization"
"GO:0045333","GO:0045333",9,"GO:0009060",0.985,4.70475736048787,8,"cellular respiration","aerobic respiration"
"GO:0030030","GO:0030030",10,"GO:0120036",0.969,4.55397027818852,3,"cell projection organization","plasma membrane bounded cell projection organization"
"GO:0060294","GO:0060294",8,"GO:0060285",0.989,4.52196724446334,8,"cilium movement involved in cell motility","cilium-dependent cell motility"
"GO:0003002","GO:0003002",12,"GO:0003002",0.98,4.52196724446334,0,"regionalization","regionalization"
"GO:0000375","GO:0000375",13,"GO:0000375",0.989,4.44487148644555,3,"RNA splicing, via transesterification reactions","RNA splicing, via transesterification reactions"
"GO:0000398","GO:0000398",13,"GO:0000375",0.988,4.40940237526973,340,"mRNA splicing, via spliceosome","RNA splicing, via transesterification reactions"
"GO:0006099","GO:0006099",9,"GO:0009060",0.889,4.40940237526973,48,"tricarboxylic acid cycle","aerobic respiration"
"GO:0000377","GO:0000377",13,"GO:0000375",0.988,4.40940237526973,0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","RNA splicing, via transesterification reactions"
"GO:0043297","GO:0043297",14,"GO:0043297",0.999,4.29724371883292,1,"apical junction assembly","apical junction assembly"
"GO:0007389","GO:0007389",12,"GO:0003002",0.962,4.29695814502382,9,"pattern specification process","regionalization"
"GO:0007043","GO:0007043",14,"GO:0043297",0.975,4.26391380657226,6,"cell-cell junction assembly","apical junction assembly"
"GO:0048569","GO:0048569",15,"GO:0048569",0.983,4.2620706728243,0,"post-embryonic animal organ development","post-embryonic animal organ development"
"GO:0006091","GO:0006091",9,"GO:0009060",0.938,4.22716217560515,4,"generation of precursor metabolites and energy","aerobic respiration"
"GO:0048513","GO:0048513",15,"GO:0048569",0.745,4.20185639647198,6,"animal organ development","post-embryonic animal organ development"
"GO:0033365","GO:0033365",16,"GO:0033365",0.993,4.20185639647198,2,"protein localization to organelle","protein localization to organelle"
"GO:0007281","GO:0007281",6,"GO:0003006",0.919,4.171736096714,55,"germ cell development","developmental process involved in reproduction"
"GO:0007472","GO:0007472",11,"GO:0035220",0.948,4.15280377451665,29,"wing disc morphogenesis","wing disc development"
"GO:0048731","GO:0048731",17,"GO:0048731",0.907,4.06684135195786,0,"system development","system development"
"GO:0043604","GO:0043604",1,"GO:0002181",0.77,4.02449773068062,0,"amide biosynthetic process","cytoplasmic translation"
"GO:0065002","GO:0065002",16,"GO:0033365",0.651,3.92818775313708,1,"intracellular protein transmembrane transport","protein localization to organelle"
"GO:0071806","GO:0071806",16,"GO:0033365",0.651,3.83043741724387,0,"protein transmembrane transport","protein localization to organelle"
"GO:0007476","GO:0007476",11,"GO:0035220",0.941,3.68095852578049,155,"imaginal disc-derived wing morphogenesis","wing disc development"
"GO:0015980","GO:0015980",9,"GO:0009060",0.964,3.56912821362228,0,"energy derivation by oxidation of organic compounds","aerobic respiration"
"GO:0060429","GO:0060429",15,"GO:0048569",0.35,3.53815111528496,3,"epithelium development","post-embryonic animal organ development"
"GO:0048729","GO:0048729",15,"GO:0048569",0.324,3.52960010728133,0,"tissue morphogenesis","post-embryonic animal organ development"
"GO:0035120","GO:0035120",18,"GO:0035120",0.989,3.47219435965059,1,"post-embryonic appendage morphogenesis","post-embryonic appendage morphogenesis"
"GO:0044743","GO:0044743",16,"GO:0033365",0.825,3.47205237857329,0,"protein transmembrane import into intracellular organelle","protein localization to organelle"
"GO:0070286","GO:0070286",4,"GO:0003341",0.563,3.35832824083069,14,"axonemal dynein complex assembly","cilium movement"
"GO:0070585","GO:0070585",16,"GO:0033365",0.868,3.34117117572524,0,"protein localization to mitochondrion","protein localization to organelle"
"GO:0006338","GO:0006338",2,"GO:0071840",0.488,3.34117117572524,94,"chromatin remodeling","cellular component organization or biogenesis"
"GO:0072655","GO:0072655",16,"GO:0033365",0.868,3.32499134333386,1,"establishment of protein localization to mitochondrion","protein localization to organelle"
"GO:0043043","GO:0043043",1,"GO:0002181",0.776,3.29919153683889,0,"peptide biosynthetic process","cytoplasmic translation"
"GO:0048024","GO:0048024",13,"GO:0000375",0.861,3.27295816979467,22,"regulation of mRNA splicing, via spliceosome","RNA splicing, via transesterification reactions"
"GO:0008380","GO:0008380",13,"GO:0000375",0.976,3.26508272331211,23,"RNA splicing","RNA splicing, via transesterification reactions"
"GO:0022414","GO:0022414",6,"GO:0003006",0.877,3.26508272331211,2,"reproductive process","developmental process involved in reproduction"
"GO:0006626","GO:0006626",16,"GO:0033365",0.857,3.26508272331211,9,"protein targeting to mitochondrion","protein localization to organelle"
"GO:1901990","GO:1901990",19,"GO:1901990",0.997,3.23785080670437,2,"regulation of mitotic cell cycle phase transition","regulation of mitotic cell cycle phase transition"
"GO:0045216","GO:0045216",14,"GO:0043297",0.946,3.21985040879863,6,"cell-cell junction organization","apical junction assembly"
