"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0043228","GO:0043228",1,"GO:0043228",0.864,17.4498382313367,0,"non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0043232","GO:0043232",1,"GO:0043228",0.864,17.4498382313367,0,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0022626","GO:0022626",2,"GO:0022626",0.986,14.6915387916009,221,"cytosolic ribosome","cytosolic ribosome"
"GO:0043226","GO:0043226",3,"GO:0043226",0.54,13.4982833276275,0,"organelle","organelle"
"GO:0005622","GO:0005622",4,"GO:0005622",0.405,12.6566607772823,20,"intracellular anatomical structure","intracellular anatomical structure"
"GO:0043229","GO:0043229",3,"GO:0043226",0.532,11.9863226318674,6,"intracellular organelle","organelle"
"GO:0022625","GO:0022625",2,"GO:0022626",0.851,11.9321207709586,108,"cytosolic large ribosomal subunit","cytosolic ribosome"
"GO:0032991","GO:0032991",5,"GO:0032991",0.801,11.0894590224825,76,"protein-containing complex","protein-containing complex"
"GO:0005856","GO:0005856",1,"GO:0043228",0.666,10.5835089939219,51,"cytoskeleton","non-membrane-bounded organelle"
"GO:0005829","GO:0005829",6,"GO:0005829",0.944,10.0501275249677,1167,"cytosol","cytosol"
"GO:1990904","GO:1990904",5,"GO:0032991",0.548,8.8498818638243,67,"ribonucleoprotein complex","protein-containing complex"
"GO:0044391","GO:0044391",2,"GO:0022626",0.871,8.24266291322981,0,"ribosomal subunit","cytosolic ribosome"
"GO:0005634","GO:0005634",3,"GO:0043226",0.347,8.03309270833341,2827,"nucleus","organelle"
"GO:0043227","GO:0043227",3,"GO:0043226",0.463,7.42239154223892,2,"membrane-bounded organelle","organelle"
"GO:0005737","GO:0005737",7,"GO:0005737",0.689,6.74332176353603,2134,"cytoplasm","cytoplasm"
"GO:0005694","GO:0005694",1,"GO:0043228",0.694,6.16832800219392,79,"chromosome","non-membrane-bounded organelle"
"GO:0005840","GO:0005840",2,"GO:0022626",0.923,6.16832800219392,14,"ribosome","cytosolic ribosome"
"GO:0022627","GO:0022627",2,"GO:0022626",0.832,5.55583247880746,86,"cytosolic small ribosomal subunit","cytosolic ribosome"
"GO:0031967","GO:0031967",8,"GO:0031967",0.975,5.5208521459565,0,"organelle envelope","organelle envelope"
"GO:0031975","GO:0031975",8,"GO:0031967",0.975,5.49827104548268,0,"envelope","organelle envelope"
"GO:1902494","GO:1902494",5,"GO:0032991",0.607,5.40741621385269,0,"catalytic complex","protein-containing complex"
"GO:0015630","GO:0015630",1,"GO:0043228",0.626,5.33800008212519,24,"microtubule cytoskeleton","non-membrane-bounded organelle"
"GO:0005700","GO:0005700",1,"GO:0043228",0.529,5.25992816020551,183,"polytene chromosome","non-membrane-bounded organelle"
"GO:0005730","GO:0005730",9,"GO:0005730",0.99,5.25992816020551,242,"nucleolus","nucleolus"
"GO:0005911","GO:0005911",10,"GO:0005911",0.993,5.20659541504769,40,"cell-cell junction","cell-cell junction"
"GO:0000785","GO:0000785",1,"GO:0043228",0.602,5.12518456853025,198,"chromatin","non-membrane-bounded organelle"
"GO:0043231","GO:0043231",3,"GO:0043226",0.452,4.96006684572545,95,"intracellular membrane-bounded organelle","organelle"
"GO:0005740","GO:0005740",8,"GO:0031967",0.931,4.94726342187185,9,"mitochondrial envelope","organelle envelope"
"GO:0031966","GO:0031966",8,"GO:0031967",0.92,4.83107011677982,19,"mitochondrial membrane","organelle envelope"
"GO:0070161","GO:0070161",10,"GO:0005911",0.963,4.81465830546956,0,"anchoring junction","cell-cell junction"
"GO:0005929","GO:0005929",11,"GO:0005929",0.989,4.78341186164515,66,"cilium","cilium"
"GO:0031514","GO:0031514",11,"GO:0005929",0.818,4.76552210870802,19,"motile cilium","cilium"
"GO:0005930","GO:0005930",11,"GO:0005929",0.859,4.76552210870802,46,"axoneme","cilium"
"GO:0031981","GO:0031981",9,"GO:0005730",0.761,4.74668382876676,1,"nuclear lumen","nucleolus"
"GO:0015934","GO:0015934",2,"GO:0022626",0.821,4.70475736048787,5,"large ribosomal subunit","cytosolic ribosome"
"GO:0099513","GO:0099513",12,"GO:0099513",0.993,4.55397027818852,0,"polymeric cytoskeletal fiber","polymeric cytoskeletal fiber"
"GO:0097014","GO:0097014",11,"GO:0005929",0.86,4.52196724446334,1,"ciliary plasm","cilium"
"GO:0005739","GO:0005739",7,"GO:0005737",0.394,4.52196724446334,801,"mitochondrion","cytoplasm"
"GO:0015935","GO:0015935",2,"GO:0022626",0.788,4.44487148644555,9,"small ribosomal subunit","cytosolic ribosome"
"GO:0005681","GO:0005681",5,"GO:0032991",0.445,4.40940237526973,54,"spliceosomal complex","protein-containing complex"
"GO:0099512","GO:0099512",12,"GO:0099513",0.94,4.40940237526973,0,"supramolecular fiber","polymeric cytoskeletal fiber"
"GO:0031974","GO:0031974",9,"GO:0005730",0.719,4.40940237526973,0,"membrane-enclosed lumen","nucleolus"
"GO:0043233","GO:0043233",9,"GO:0005730",0.719,4.29724371883292,0,"organelle lumen","nucleolus"
"GO:0032838","GO:0032838",11,"GO:0005929",0.613,4.29695814502382,2,"plasma membrane bounded cell projection cytoplasm","cilium"
"GO:0070013","GO:0070013",9,"GO:0005730",0.719,4.26391380657226,0,"intracellular organelle lumen","nucleolus"
"GO:0019866","GO:0019866",8,"GO:0031967",0.899,4.2620706728243,0,"organelle inner membrane","organelle envelope"
"GO:0071013","GO:0071013",5,"GO:0032991",0.381,4.22716217560515,163,"catalytic step 2 spliceosome","protein-containing complex"
"GO:0099081","GO:0099081",12,"GO:0099513",0.938,4.20185639647198,0,"supramolecular polymer","polymeric cytoskeletal fiber"
"GO:0009331","GO:0009331",13,"GO:0009331",1,4.20185639647198,6,"glycerol-3-phosphate dehydrogenase complex","glycerol-3-phosphate dehydrogenase complex"
"GO:0005743","GO:0005743",8,"GO:0031967",0.894,4.171736096714,86,"mitochondrial inner membrane","organelle envelope"
"GO:0030286","GO:0030286",1,"GO:0043228",0.441,4.15280377451665,22,"dynein complex","non-membrane-bounded organelle"
"GO:0071011","GO:0071011",5,"GO:0032991",0.379,4.06684135195786,161,"precatalytic spliceosome","protein-containing complex"
"GO:0005832","GO:0005832",6,"GO:0005829",0.497,4.02449773068062,9,"chaperonin-containing T-complex","cytosol"
"GO:0016607","GO:0016607",9,"GO:0005730",0.516,3.92818775313708,32,"nuclear speck","nucleolus"
"GO:0031519","GO:0031519",14,"GO:0031519",0.999,3.83043741724387,11,"PcG protein complex","PcG protein complex"
"GO:0005815","GO:0005815",1,"GO:0043228",0.533,3.68095852578049,22,"microtubule organizing center","non-membrane-bounded organelle"
"GO:0098800","GO:0098800",8,"GO:0031967",0.845,3.56912821362228,0,"inner mitochondrial membrane protein complex","organelle envelope"
"GO:0036126","GO:0036126",11,"GO:0005929",0.783,3.53815111528496,30,"sperm flagellum","cilium"
"GO:0097729","GO:0097729",11,"GO:0005929",0.783,3.52960010728133,0,"9+2 motile cilium","cilium"
"GO:0005753","GO:0005753",15,"GO:0005753",0.998,3.47219435965059,11,"mitochondrial proton-transporting ATP synthase complex","mitochondrial proton-transporting ATP synthase complex"
"GO:0045259","GO:0045259",15,"GO:0005753",0.989,3.47205237857329,1,"proton-transporting ATP synthase complex","mitochondrial proton-transporting ATP synthase complex"
"GO:0070603","GO:0070603",1,"GO:0043228",0.452,3.35832824083069,1,"SWI/SNF superfamily-type complex","non-membrane-bounded organelle"
"GO:0005884","GO:0005884",12,"GO:0099513",0.839,3.34117117572524,23,"actin filament","polymeric cytoskeletal fiber"
"GO:0016327","GO:0016327",16,"GO:0016327",0.999,3.34117117572524,23,"apicolateral plasma membrane","apicolateral plasma membrane"
"GO:0016328","GO:0016328",16,"GO:0016327",0.319,3.32499134333386,20,"lateral plasma membrane","apicolateral plasma membrane"
"GO:0005918","GO:0005918",10,"GO:0005911",0.867,3.29919153683889,36,"septate junction","cell-cell junction"
"GO:0005875","GO:0005875",1,"GO:0043228",0.479,3.27295816979467,21,"microtubule associated complex","non-membrane-bounded organelle"
