"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0003735","GO:0003735",1,"GO:0003735",0.979,17.4498382313367,580,"structural constituent of ribosome","structural constituent of ribosome"
"GO:0005515","GO:0005515",2,"GO:0005515",0.853,17.4498382313367,946,"protein binding","protein binding"
"GO:0005524","GO:0005524",3,"GO:0005524",0.977,14.6915387916009,641,"ATP binding","ATP binding"
"GO:0030554","GO:0030554",3,"GO:0005524",0.969,13.4982833276275,0,"adenyl nucleotide binding","ATP binding"
"GO:0032559","GO:0032559",3,"GO:0005524",0.97,11.9863226318674,0,"adenyl ribonucleotide binding","ATP binding"
"GO:0035639","GO:0035639",3,"GO:0005524",0.94,11.9321207709586,0,"purine ribonucleoside triphosphate binding","ATP binding"
"GO:0017076","GO:0017076",3,"GO:0005524",0.928,11.0894590224825,2,"purine nucleotide binding","ATP binding"
"GO:0000166","GO:0000166",3,"GO:0005524",0.897,10.5835089939219,17,"nucleotide binding","ATP binding"
"GO:1901265","GO:1901265",3,"GO:0005524",0.897,10.0501275249677,0,"nucleoside phosphate binding","ATP binding"
"GO:0032553","GO:0032553",3,"GO:0005524",0.928,8.8498818638243,0,"ribonucleotide binding","ATP binding"
"GO:0032555","GO:0032555",3,"GO:0005524",0.931,8.24266291322981,0,"purine ribonucleotide binding","ATP binding"
"GO:0016887","GO:0016887",4,"GO:0016887",0.995,8.03309270833341,150,"ATP hydrolysis activity","ATP hydrolysis activity"
"GO:0031491","GO:0031491",5,"GO:0031491",0.998,7.42239154223892,19,"nucleosome binding","nucleosome binding"
"GO:0016874","GO:0016874",6,"GO:0016874",0.989,6.74332176353603,0,"ligase activity","ligase activity"
"GO:0003682","GO:0003682",5,"GO:0031491",0.811,6.45918208581832,205,"chromatin binding","nucleosome binding"
"GO:0017147","GO:0017147",7,"GO:0017147",0.999,6.16832800219392,24,"Wnt-protein binding","Wnt-protein binding"
"GO:0003723","GO:0003723",3,"GO:0005524",0.442,6.16832800219392,440,"RNA binding","ATP binding"
"GO:0051087","GO:0051087",8,"GO:0051087",0.998,5.55583247880746,47,"chaperone binding","chaperone binding"
"GO:0044183","GO:0044183",9,"GO:0044183",0.998,5.5208521459565,22,"protein folding chaperone","protein folding chaperone"
"GO:0008092","GO:0008092",2,"GO:0005515",0.545,5.49827104548268,4,"cytoskeletal protein binding","protein binding"
"GO:0009055","GO:0009055",10,"GO:0009055",0.998,5.40741621385269,17,"electron transfer activity","electron transfer activity"
"GO:0015631","GO:0015631",2,"GO:0005515",0.477,5.33800008212519,19,"tubulin binding","protein binding"
"GO:0016875","GO:0016875",6,"GO:0016874",0.864,5.25992816020551,0,"ligase activity, forming carbon-oxygen bonds","ligase activity"
"GO:0004812","GO:0004812",6,"GO:0016874",0.864,5.25992816020551,0,"aminoacyl-tRNA ligase activity","ligase activity"
"GO:0030145","GO:0030145",11,"GO:0030145",0.999,5.20659541504769,23,"manganese ion binding","manganese ion binding"
"GO:0008017","GO:0008017",2,"GO:0005515",0.455,5.12518456853025,119,"microtubule binding","protein binding"
"GO:0036094","GO:0036094",12,"GO:0036094",0.958,4.96006684572545,0,"small molecule binding","small molecule binding"
"GO:0048038","GO:0048038",13,"GO:0048038",1,4.94726342187185,5,"quinone binding","quinone binding"
"GO:0008139","GO:0008139",14,"GO:0008139",0.999,4.83107011677982,17,"nuclear localization sequence binding","nuclear localization sequence binding"
