"","GO:0005515","GO:0003735","GO:0005524","GO:0030554","GO:0032559","GO:0035639","GO:0017076","GO:0000166","GO:1901265","GO:0032553","GO:0032555","GO:0016887","GO:0031491","GO:0016874","GO:0003682","GO:0003723","GO:0017147","GO:0051087","GO:0044183","GO:0008092","GO:0009055","GO:0015631","GO:0004812","GO:0016875","GO:0030145","GO:0008017","GO:0036094","GO:0048038","GO:0008139"
"GO:0005515",0.853,0,0.184,0.186,0.186,0.192,0.195,0.202,0.202,0.195,0.194,0,0.127,0,0.165,0.22,0.363,0.393,0,0.545,0,0.477,0,0,0.116,0.455,0.207,0.107,0.113
"GO:0003735",0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0005524",0.184,0,0.977,0.969,0.97,0.94,0.928,0.897,0.897,0.928,0.931,0,0.103,0,0.128,0.442,0.097,0.103,0,0.134,0,0.121,0,0,0.424,0.116,0.871,0.09,0.094
"GO:0030554",0.186,0,0.969,0.976,0.975,0.873,0.935,0.904,0.904,0.881,0.933,0,0.104,0,0.129,0.446,0.097,0.104,0,0.135,0,0.121,0,0,0.097,0.117,0.878,0.09,0.094
"GO:0032559",0.186,0,0.97,0.975,0.976,0.871,0.934,0.903,0.903,0.934,0.936,0,0.104,0,0.129,0.445,0.097,0.104,0,0.135,0,0.121,0,0,0.097,0.117,0.877,0.09,0.094
"GO:0035639",0.192,0,0.94,0.873,0.871,0.971,0.904,0.928,0.928,0.904,0.902,0,0.106,0,0.132,0.459,0.099,0.106,0,0.138,0,0.124,0,0,0.433,0.119,0.157,0.091,0.096
"GO:0017076",0.195,0,0.928,0.935,0.934,0.904,0.969,0.938,0.938,0.913,0.967,0,0.107,0,0.133,0.464,0.1,0.106,0,0.139,0,0.125,0,0,0.099,0.12,0.912,0.092,0.097
"GO:0000166",0.202,0,0.897,0.904,0.903,0.928,0.938,0.963,0.963,0.937,0.935,0,0.109,0,0.136,0.477,0.101,0.108,0,0.143,0,0.128,0,0,0.101,0.123,0.937,0.094,0.098
"GO:1901265",0.202,0,0.897,0.904,0.903,0.928,0.938,0.963,0.963,0.937,0.935,0,0.109,0,0.136,0.477,0.101,0.108,0,0.143,0,0.128,0,0,0.101,0.123,0.163,0.094,0.098
"GO:0032553",0.195,0,0.928,0.881,0.934,0.904,0.913,0.937,0.937,0.969,0.967,0,0.107,0,0.133,0.464,0.1,0.106,0,0.139,0,0.125,0,0,0.099,0.12,0.912,0.092,0.097
"GO:0032555",0.194,0,0.931,0.933,0.936,0.902,0.967,0.935,0.935,0.967,0.97,0,0.107,0,0.133,0.463,0.1,0.106,0,0.139,0,0.125,0,0,0.099,0.12,0.91,0.092,0.096
"GO:0016887",0,0,0,0,0,0,0,0,0,0,0,0.995,0,0.196,0,0,0,0,0,0,0.163,0,0.173,0.173,0,0,0,0,0
