"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",2.43972094348241e-08,0.999999991090165,69,143,3.4400065303102e-06,"Ribosome"
"dme00020","path:dme00020",0.000812396066411162,0.999736212039594,22,42,0.0572739226819869,"Citrate cycle (TCA cycle)"
"dme01200","path:dme01200",0.00153248045125783,0.999193842827987,50,122,0.072026581209118,"Carbon metabolism"
"dme03250","path:dme03250",0.00396139718443935,0.998666366730219,18,34,0.134317060436018,"Viral life cycle"
"dme03083","path:dme03083",0.00517623930513925,0.997752105953722,26,55,0.134317060436018,"Polycomb repressive complex"
"dme00970","path:dme00970",0.00571561959302203,0.997789377107612,20,42,0.134317060436018,"Aminoacyl-tRNA biosynthesis"
"dme04310","path:dme04310",0.00717281547293718,0.996124148974465,40,97,0.141309146579135,"Wnt signaling pathway"
"dme03008","path:dme03008",0.00801754023144029,0.995960361674026,32,76,0.141309146579135,"Ribosome biogenesis in eukaryotes"
"dme03013","path:dme03013",0.0113238729457896,0.993537618824983,42,106,0.17740734281737,"Nucleocytoplasmic transport"
"dme04814","path:dme04814",0.0159061015059269,0.990547622132717,45,111,0.224276031233569,"Motor proteins"
"dme00620","path:dme00620",0.0237998755076578,0.98859000775249,21,50,0.301658459296432,"Pyruvate metabolism"
"dme04141","path:dme04141",0.0257743003397684,0.983485470731477,50,138,0.301658459296432,"Protein processing in endoplasmic reticulum"
"dme03050","path:dme03050",0.0278124820627916,0.986093076366112,22,54,0.301658459296432,"Proteasome"
"dme01232","path:dme01232",0.032196015017916,0.983062025731675,24,60,0.324259865537583,"Nucleotide metabolism"
"dme00630","path:dme00630",0.0350701747887459,0.984830348974625,15,34,0.329659643014211,"Glyoxylate and dicarboxylate metabolism"
"dme04391","path:dme04391",0.0413663936913019,0.977161021634973,26,63,0.364541344404598,"Hippo signaling pathway"
"dme00240","path:dme00240",0.0503175568822203,0.976112016918834,16,38,0.417339736493709,"Pyrimidine metabolism"
"dme04341","path:dme04341",0.0619196577256347,0.968858534932964,17,41,0.485037318850805,"Hedgehog signaling pathway"
"dme03018","path:dme03018",0.0956474864835402,0.942627920785463,23,62,0.641104794121449,"RNA degradation"
"dme04392","path:dme04392",0.0966632205453019,0.961401003503305,9,19,0.641104794121449,"Hippo signaling pathway"
"dme03040","path:dme03040",0.0972696571211003,0.931875972315154,44,129,0.641104794121449,"Spliceosome"
"dme03060","path:dme03060",0.100030535252992,0.958440573921774,9,21,0.641104794121449,"Protein export"
"dme04320","path:dme04320",0.109244120113995,0.945478067152083,13,31,0.645248762206577,"Dorso-ventral axis formation"
"dme00760","path:dme00760",0.1098295765458,0.956512326513673,8,18,0.645248762206577,"Nicotinate and nicotinamide metabolism"
"dme01210","path:dme01210",0.119188077796723,0.948403779902574,9,21,0.672220758773519,"2-Oxocarboxylic acid metabolism"
"dme00650","path:dme00650",0.13642548735556,0.946377911751835,7,16,0.729726177200943,"Butanoate metabolism"
"dme00010","path:dme00010",0.139734799889542,0.914316341963787,20,56,0.729726177200943,"Glycolysis / Gluconeogenesis"
"dme04214","path:dme04214",0.182345812408864,0.878299370878654,24,68,0.918241412487493,"Apoptosis"
"dme04137","path:dme04137",0.212543820856475,0.86964840606669,15,43,1,"Mitophagy"
"dme00230","path:dme00230",0.219716786861578,0.841103475662169,31,93,1,"Purine metabolism"
"dme01230","path:dme01230",0.223406777982669,0.846669127589649,23,69,1,"Biosynthesis of amino acids"
"dme04013","path:dme04013",0.245471569480031,0.817130500656668,34,102,1,"MAPK signaling pathway"
"dme00190","path:dme00190",0.266183314616321,0.78975858190945,47,153,1,"Oxidative phosphorylation"
"dme04350","path:dme04350",0.314894161849013,0.787194540070839,16,46,1,"TGF-beta signaling pathway"
"dme03450","path:dme03450",0.334493864251614,0.884498452875767,3,7,1,"Non-homologous end-joining"
"dme00061","path:dme00061",0.364103790749559,0.819282076336047,5,14,1,"Fatty acid biosynthesis"
"dme00514","path:dme00514",0.36442728906673,0.758949998556805,12,37,1,"Other types of O-glycan biosynthesis"
"dme00030","path:dme00030",0.365159339628204,0.783387835174926,8,24,1,"Pentose phosphate pathway"
"dme03030","path:dme03030",0.371423206804791,0.757972795375726,11,34,1,"DNA replication"
"dme00513","path:dme00513",0.386630001467938,0.745205354050859,11,34,1,"Various types of N-glycan biosynthesis"
"dme00785","path:dme00785",0.433909883528241,0.763943745668908,5,15,1,"Lipoic acid metabolism"
"dme00512","path:dme00512",0.447498125541919,0.723628209705058,7,22,1,"Mucin type O-glycan biosynthesis"
"dme00051","path:dme00051",0.448974272597948,0.69523052099221,10,33,1,"Fructose and mannose metabolism"
"dme04745","path:dme04745",0.464462314177264,0.682179158440213,10,32,1,"Phototransduction"
