"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04141","path:dme04141",0.000975143518380109,0.999871405170366,6,138,0.137495236091595,"Protein processing in endoplasmic reticulum"
"dme00562","path:dme00562",0.00795036672339447,0.999304348196883,3,48,0.492149483766876,"Inositol phosphate metabolism"
"dme04213","path:dme04213",0.0127644431597295,0.998661899557411,3,57,0.492149483766876,"Longevity regulating pathway"
"dme00565","path:dme00565",0.0166573535061041,0.999058249050317,2,23,0.492149483766876,"Ether lipid metabolism"
"dme04070","path:dme04070",0.0174521093534353,0.997936034076047,3,64,0.492149483766876,"Phosphatidylinositol signaling system"
"dme03040","path:dme03040",0.0242385743715907,0.995459662827765,4,129,0.555650327917838,"Spliceosome"
"dme00600","path:dme00600",0.0275854772725168,0.997927470771666,2,30,0.555650327917838,"Sphingolipid metabolism"
"dme00071","path:dme00071",0.0348231197787844,0.997015743678591,2,34,0.613757486101074,"Fatty acid degradation"
"dme03022","path:dme03022",0.0512141189183327,0.994535556691923,2,42,0.802354529720546,"Basal transcription factors"
"dme00232","path:dme00232",0.0597166089743537,0.998492877073104,1,7,0.833070958084015,"Caffeine metabolism"
"dme00561","path:dme00561",0.0649913513398877,0.992049633276599,2,48,0.833070958084015,"Glycerolipid metabolism"
"dme01212","path:dme01212",0.0824479512643686,0.988421481676188,2,55,0.968763427356331,"Fatty acid metabolism"
"dme01232","path:dme01232",0.0957122784262648,0.985329514681518,2,60,1,"Nucleotide metabolism"
"dme00564","path:dme00564",0.109554235725276,0.981809216396995,2,65,1,"Glycerophospholipid metabolism"
"dme04144","path:dme04144",0.113498079270685,0.971212888884231,3,136,1,"Endocytosis"
"dme04080","path:dme04080",0.129771313745378,0.976149759825338,2,72,1,"Neuroactive ligand-receptor interaction"
"dme00650","path:dme00650",0.131465001700233,0.991796206993622,1,16,1,"Butanoate metabolism"
"dme00730","path:dme00730",0.146677451888894,0.9896521859753,1,18,1,"Thiamine metabolism"
"dme00760","path:dme00760",0.146677451888894,0.9896521859753,1,18,1,"Nicotinate and nicotinamide metabolism"
"dme03060","path:dme03060",0.169016034902649,0.986024408731817,1,21,1,"Protein export"
"dme00230","path:dme00230",0.194710387545795,0.954035190905101,2,93,1,"Purine metabolism"
"dme00410","path:dme00410",0.197926357925354,0.980459048465403,1,25,1,"beta-Alanine metabolism"
"dme00981","path:dme00981",0.218970935978804,0.975771139350031,1,28,1,"Insect hormone biosynthesis"
"dme04330","path:dme04330",0.218970935978804,0.975771139350031,1,28,1,"Notch signaling pathway"
"dme00640","path:dme00640",0.22586687604656,0.974115385930829,1,29,1,"Propanoate metabolism"
"dme04745","path:dme04745",0.246204708939181,0.968880869486164,1,32,1,"Phototransduction"
"dme00280","path:dme00280",0.252868910922099,0.967049754542548,1,33,1,"Valine, leucine and isoleucine degradation"
