"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005832","GO:0005832",1.92615459671082e-06,0.999999969284864,7,8,"chaperonin-containing T-complex","CC",0.00771797312214881
"GO:0051276","GO:0051276",2.21347149699796e-06,0.999999081340669,64,295,"chromosome organization","BP",0.00771797312214881
"GO:0005576","GO:0005576",2.34344152592876e-06,0.999998850273601,122,770,"extracellular region","CC",0.00771797312214881
"GO:0043297","GO:0043297",3.83468253983599e-06,0.999999226641496,18,46,"apical junction assembly","BP",0.00771797312214881
"GO:0007043","GO:0007043",3.99825317262567e-06,0.999999050607796,21,59,"cell-cell junction assembly","BP",0.00771797312214881
"GO:0070160","GO:0070160",4.28249481767979e-06,0.99999924075731,16,38,"tight junction","CC",0.00771797312214881
"GO:0043296","GO:0043296",5.25784755695107e-06,0.999998783935091,20,55,"apical junction complex","CC",0.00771797312214881
"GO:0120192","GO:0120192",6.1232771144947e-06,0.999998860847827,16,40,"tight junction assembly","BP",0.00771797312214881
"GO:0120193","GO:0120193",6.1232771144947e-06,0.999998860847827,16,40,"tight junction organization","BP",0.00771797312214881
"GO:0019991","GO:0019991",6.9821839818567e-06,0.999998785193747,15,36,"septate junction assembly","BP",0.00771797312214881
"GO:0005918","GO:0005918",7.07716775122015e-06,0.999998779974856,15,35,"septate junction","CC",0.00771797312214881
"GO:0005694","GO:0005694",1.06957617231972e-05,0.999993910446506,102,569,"chromosome","CC",0.0106921964692895
"GO:0022008","GO:0022008",1.30753043145283e-05,0.999991833160379,157,901,"neurogenesis","BP",0.0120654885043909
"GO:0005102","GO:0005102",1.57256341201129e-05,0.99999264752813,53,252,"signaling receptor binding","MF",0.0134746219217767
"GO:0005911","GO:0005911",1.78555904573622e-05,0.999993359985691,33,125,"cell-cell junction","CC",0.0138466635218707
"GO:0045216","GO:0045216",1.9045034048727e-05,0.999994259117525,24,79,"cell-cell junction organization","BP",0.0138466635218707
"GO:0030261","GO:0030261",1.96226475384964e-05,0.999995389386759,18,50,"chromosome condensation","BP",0.0138466635218707
"GO:0005615","GO:0005615",2.17271172025462e-05,0.999987995177254,83,500,"extracellular space","CC",0.0144799165534302
"GO:0098813","GO:0098813",3.05590910754315e-05,0.999986813354632,41,176,"nuclear chromosome segregation","BP",0.0192940450810988
"GO:0032501","GO:0032501",3.42877772935525e-05,0.999974137781938,439,3135,"multicellular organismal process","BP",0.0205658088206728
"GO:0000819","GO:0000819",5.41164850651727e-05,0.999978457732628,33,133,"sister chromatid segregation","BP",0.0309133978496101
"GO:0005515","GO:0005515",6.82303092320915e-05,0.99994912267986,326,2281,"protein binding","MF",0.0349678982042459
"GO:0071944","GO:0071944",6.95566094668021e-05,0.99994968646702,248,1656,"cell periphery","CC",0.0349678982042459
"GO:0035151","GO:0035151",6.99591161138631e-05,0.999982374758853,17,49,"regulation of tube size, open tracheal system","BP",0.0349678982042459
"GO:0048856","GO:0048856",8.38581764893021e-05,0.999936534789111,359,2500,"anatomical structure development","BP",0.0391843479363319
"GO:0001700","GO:0001700",8.6205524875381e-05,0.999961773055979,39,164,"embryonic development via the syncytial blastoderm","BP",0.0391843479363319
"GO:2001252","GO:2001252",8.81941809170524e-05,0.999987766353715,10,21,"positive regulation of chromosome organization","BP",0.0391843479363319
"GO:0007059","GO:0007059",9.65456024158116e-05,0.999954817573793,43,196,"chromosome segregation","BP",0.041362894520717
"GO:0051302","GO:0051302",0.000103155945056314,0.999975995056216,15,41,"regulation of cell division","BP",0.0426709902377773
"GO:0009792","GO:0009792",0.000109743478338704,0.999950060061551,40,173,"embryo development ending in birth or egg hatching","BP",0.0438827588717029
"GO:0000070","GO:0000070",0.00012044864008707,0.999952114420971,30,121,"mitotic sister chromatid segregation","BP",0.0466097382736932
"GO:0007399","GO:0007399",0.000135411436558561,0.999905303585844,179,1100,"nervous system development","BP",0.0507623622798906
"GO:0032993","GO:0032993",0.000166329826337132,0.999963464623302,13,38,"protein-DNA complex","CC",0.0604634120224315
"GO:0007155","GO:0007155",0.000178117372018092,0.999911122845086,47,217,"cell adhesion","BP",0.0628439998449716
"GO:0048699","GO:0048699",0.000204783571402113,0.999861120001269,141,835,"generation of neurons","BP",0.0655789001334385
"GO:0007049","GO:0007049",0.000205600694110429,0.999864928358356,119,721,"cell cycle","BP",0.0655789001334385
"GO:0033044","GO:0033044",0.000205727339421717,0.999934153898906,20,68,"regulation of chromosome organization","BP",0.0655789001334385
"GO:0030154","GO:0030154",0.000218965187146318,0.999837875754922,245,1611,"cell differentiation","BP",0.0655789001334385
"GO:0101031","GO:0101031",0.00022559092279504,0.999978915271154,7,13,"chaperone complex","CC",0.0655789001334385
"GO:0097367","GO:0097367",0.000228988476097647,0.999841991883069,151,959,"carbohydrate derivative binding","MF",0.0655789001334385
"GO:0035150","GO:0035150",0.000229591593493693,0.999934582922612,17,53,"regulation of tube size","BP",0.0655789001334385
"GO:0006020","GO:0006020",0.000231412550496138,0.999984348193355,6,10,"inositol metabolic process","BP",0.0655789001334385
"GO:0032502","GO:0032502",0.000235069415283249,0.999817857733805,376,2672,"developmental process","BP",0.0655789001334385
"GO:0048731","GO:0048731",0.000246237024252606,0.999819606645179,222,1431,"system development","BP",0.0671331668848695
"GO:0007275","GO:0007275",0.000263348522182125,0.99979902037382,311,2142,"multicellular organism development","BP",0.0702028638243727
"GO:0048869","GO:0048869",0.000285734949211976,0.999787284572929,245,1618,"cellular developmental process","BP",0.0727567149792027
"GO:0031445","GO:0031445",0.000291123901217217,0.999956739454895,9,20,"regulation of heterochromatin formation","BP",0.0727567149792027
"GO:0120261","GO:0120261",0.000291123901217217,0.999956739454895,9,20,"regulation of heterochromatin organization","BP",0.0727567149792027
"GO:0042067","GO:0042067",0.000305429522657249,0.999910663555011,17,53,"establishment of ommatidial planar polarity","BP",0.0735416879490122
