"","GO:0071840","GO:0048856","GO:0032501","GO:0032502","GO:0016043","GO:0022008","GO:0007275","GO:0051276","GO:0048731","GO:0007399","GO:0009987","GO:0007049","GO:0065007","GO:0030154","GO:0048869","GO:0007043","GO:0048699","GO:0044085","GO:0043297","GO:0098813","GO:0050789","GO:0120192","GO:0120193","GO:0022402","GO:0019991","GO:0060429","GO:0050794","GO:0045216","GO:0009888","GO:0001700","GO:0007059","GO:0009792","GO:0048468","GO:0000278","GO:0030261","GO:0000819","GO:0030182","GO:0000070","GO:0000280","GO:0048729","GO:0035151","GO:0048522","GO:0048518","GO:0034329","GO:0002009","GO:0048513","GO:0009653","GO:0001654","GO:0048880","GO:0150063","GO:1903047","GO:0006325","GO:0140014","GO:0050896","GO:0035150","GO:0048523","GO:0048285","GO:0000902","GO:0048519","GO:0042067","GO:0007423","GO:0006020","GO:0048749","GO:0051302","GO:0000904","GO:0048569","GO:0009790","GO:0016331","GO:0022607","GO:0048666","GO:0048667","GO:0051321","GO:0007166","GO:0048592","GO:0090596","GO:0035295","GO:0048812","GO:0007155","GO:2001252","GO:0048598","GO:0006338","GO:0007391","GO:0031175","GO:0000470","GO:0040029","GO:0048858","GO:0120039","GO:0033044","GO:0045595","GO:0007424","GO:0009887","GO:0060541","GO:0032990","GO:0001173","GO:0001174","GO:0009605","GO:0030953","GO:0032989","GO:0035152","GO:0001745","GO:0007165","GO:0045814","GO:0070828","GO:0009791","GO:0030029","GO:0031445","GO:0120261","GO:0051239","GO:0051726","GO:1905114","GO:0007472","GO:0031507","GO:0010604","GO:0060560","GO:0035239","GO:0098609","GO:0007010","GO:1902275","GO:0016055","GO:0006996","GO:0007154","GO:0060857","GO:0007409","GO:0090254","GO:0140013","GO:0023052","GO:0060856","GO:0035220","GO:0034330","GO:1903046","GO:0035107","GO:0090090","GO:0061564","GO:0198738"
"GO:0071840",0.85,0,0,0,0.841,0.062,0,0.506,0,0,0.135,0.061,0,0.074,0.074,0.383,0.061,0.656,0.369,0.046,0,0.362,0.362,0.058,0.358,0,0.091,0.4,0,0,0.047,0,0.068,0.053,0.382,0.445,0.06,0.433,0.512,0,0,0.066,0,0.46,0,0,0,0,0,0,0.05,0.516,0.455,0,0,0.064,0.517,0,0,0.037,0,0.031,0,0.035,0.053,0,0,0,0.637,0.057,0.052,0.049,0.059,0,0,0,0.539,0.047,0.345,0,0.488,0,0.55,0.345,0.439,0.539,0.539,0.405,0.047,0,0,0,0.54,0.03,0.03,0,0.285,0.56,0,0,0.07,0.423,0.425,0,0.051,0.342,0.342,0,0.049,0.043,0,0.422,0,0,0,0.043,0.592,0.351,0.043,0.72,0.074,0.032,0.512,0.031,0.466,0,0.033,0,0.509,0.048,0,0.037,0.518,0.044
"GO:0048856",0,0.792,0,0.75,0,0.525,0.73,0,0.63,0.563,0,0,0,0.582,0.582,0,0.515,0,0,0,0,0,0,0,0,0.538,0,0,0.548,0.37,0,0.374,0.583,0,0,0,0.502,0,0,0.48,0.301,0,0,0,0.477,0.583,0.62,0.435,0.435,0.435,0,0,0,0,0,0,0,0.46,0,0.309,0.455,0,0.43,0,0.445,0.442,0.464,0.345,0,0.476,0.439,0,0,0.42,0.42,0.494,0.44,0,0,0.399,0,0.337,0.449,0,0,0.44,0.44,0,0.357,0.397,0.502,0.4,0.441,0,0,0,0,0.459,0.327,0.416,0,0,0,0.466,0,0,0,0,0,0,0.401,0,0,0.326,0.452,0,0,0,0,0,0,0.259,0.417,0.249,0,0,0.268,0.424,0,0,0.411,0,0.422,0
"GO:0032501",0,0,0.745,0,0,0.449,0.636,0,0.544,0.483,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0,0.315,0,0,0,0,0.429,0,0,0,0.253,0,0,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0.259,0,0,0.364,0,0,0,0.395,0.291,0,0.406,0.373,0,0,0.356,0,0.421,0.374,0,0,0.338,0,0.284,0.382,0,0,0,0,0,0,0.336,0,0.339,0,0,0,0,0,0,0.275,0.352,0,0,0,0.396,0,0,0,0.376,0,0,0.339,0,0,0,0.384,0,0,0,0,0,0,0.217,0.353,0.208,0,0,0.224,0.36,0,0,0.349,0,0.358,0
"GO:0032502",0,0.75,0,0.773,0,0.493,0.69,0,0.593,0.529,0,0,0,0.595,0.596,0,0.483,0,0,0,0,0,0,0,0,0.505,0,0,0.515,0.345,0,0.349,0.548,0,0,0,0.471,0,0,0.45,0.28,0,0,0,0.447,0.548,0.584,0.407,0.407,0.407,0,0,0,0,0,0,0,0.431,0,0.287,0.426,0,0.402,0,0.416,0.413,0.435,0.322,0,0.446,0.411,0,0,0.392,0.392,0.463,0.412,0,0,0.373,0,0.314,0.421,0,0,0.412,0.412,0,0.362,0.371,0.471,0.374,0.413,0,0,0,0,0.429,0.304,0.388,0,0,0,0.436,0,0,0,0,0,0,0.374,0,0,0.304,0.423,0,0,0,0,0,0,0.241,0.39,0.232,0,0,0.249,0.396,0,0,0.384,0,0.395,0
"GO:0016043",0.841,0,0,0,0.856,0.062,0,0.517,0,0,0.132,0.06,0,0.073,0.073,0.392,0.06,0.65,0.378,0.046,0,0.371,0.371,0.058,0.367,0,0.09,0.409,0,0,0.047,0,0.068,0.053,0.391,0.455,0.059,0.443,0.523,0,0,0.066,0,0.471,0,0,0,0,0,0,0.049,0.527,0.466,0,0,0.063,0.528,0,0,0.037,0,0.031,0,0.035,0.053,0,0,0,0.65,0.056,0.052,0.048,0.059,0,0,0,0.55,0.046,0.353,0,0.499,0,0.561,0.344,0.449,0.551,0.551,0.415,0.046,0,0,0,0.552,0.03,0.03,0,0.292,0.572,0,0,0.07,0.433,0.435,0,0.05,0.351,0.351,0,0.048,0.043,0,0.431,0,0,0,0.043,0.604,0.359,0.043,0.734,0.073,0.032,0.523,0.03,0.477,0,0.033,0,0.52,0.048,0,0.037,0.529,0.044
"GO:0022008",0.062,0.525,0.449,0.493,0.062,0.958,0.617,0.041,0.778,0.893,0.087,0.049,0,0.776,0.774,0.032,0.944,0.051,0.031,0.039,0,0.031,0.031,0.047,0.031,0.4,0.066,0.034,0.406,0.371,0.039,0.374,0.732,0.044,0.032,0.037,0.926,0.036,0.042,0.367,0.438,0.052,0,0.038,0.365,0.424,0.443,0.591,0.591,0.591,0.041,0.042,0.038,0,0,0.051,0.042,0.355,0,0.447,0.352,0.028,0.584,0.031,0.598,0.344,0.444,0.351,0.05,0.889,0.835,0.041,0.048,0.574,0.331,0.465,0.837,0.039,0.03,0.394,0.04,0.344,0.851,0.03,0.037,0.591,0.591,0.034,0.536,0.549,0.38,0.553,0.592,0.027,0.027,0,0.025,0.61,0.469,0.569,0.055,0.035,0.036,0.445,0.042,0.029,0.029,0.282,0.041,0.037,0.395,0.035,0,0.27,0.434,0.037,0.047,0.03,0.037,0.055,0.057,0.542,0.802,0.267,0.038,0,0.494,0.414,0.041,0.04,0.404,0.032,0.81,0.037
"GO:0007275",0,0.73,0.636,0.69,0,0.617,0.841,0,0.732,0.659,0,0,0,0.545,0.546,0,0.605,0,0,0,0,0,0,0,0,0.509,0,0,0.518,0.442,0,0.446,0.549,0,0,0,0.591,0,0,0.457,0.362,0,0,0,0.454,0.549,0.581,0.516,0.516,0.516,0,0,0,0,0,0,0,0.439,0,0.371,0.434,0,0.51,0,0.425,0.422,0.549,0.413,0,0.562,0.52,0,0,0.498,0.402,0.582,0.521,0,0,0.475,0,0.404,0.532,0,0,0.421,0.421,0,0.343,0.472,0.477,0.476,0.421,0,0,0,0,0.437,0.392,0.494,0,0,0,0.55,0,0,0,0.346,0,0,0.477,0,0,0.315,0.535,0,0,0,0,0,0,0.313,0.495,0.301,0,0,0.323,0.503,0,0,0.489,0,0.501,0
"GO:0051276",0.506,0,0,0,0.517,0.041,0,0.989,0,0,0.064,0.041,0,0.046,0.046,0.301,0.041,0.43,0.293,0.033,0,0.289,0.289,0.039,0.286,0,0.052,0.312,0,0,0.034,0,0.044,0.037,0.803,0.901,0.04,0.883,0.538,0,0,0.043,0,0.346,0,0,0,0,0,0,0.035,0.376,0.494,0,0,0.042,0.542,0,0,0.029,0,0.025,0,0.027,0.037,0,0,0,0.434,0.039,0.037,0.035,0.04,0,0,0,0.387,0.034,0.742,0,0.361,0,0.393,0.27,0.334,0.387,0.387,0.84,0.034,0,0,0,0.388,0.024,0.024,0,0.343,0.398,0,0,0.045,0.325,0.326,0,0.036,0.276,0.276,0,0.035,0.032,0,0.324,0,0,0,0.032,0.595,0.282,0.032,0.676,0.046,0.025,0.374,0.024,0.503,0,0.026,0,0.372,0.034,0,0.029,0.377,0.032
"GO:0048731",0,0.63,0.544,0.593,0,0.778,0.732,0,0.907,0.826,0,0,0,0.483,0.483,0,0.765,0,0,0,0,0,0,0,0,0.458,0,0,0.465,0.41,0,0.413,0.49,0,0,0,0.749,0,0,0.415,0.476,0,0,0,0.413,0.49,0.516,0.662,0.662,0.662,0,0,0,0,0,0,0,0.401,0,0.487,0.396,0,0.654,0,0.389,0.386,0.501,0.385,0,0.715,0.666,0,0,0.641,0.369,0.528,0.668,0,0,0.438,0,0.377,0.68,0,0,0.385,0.385,0,0.317,0.61,0.432,0.615,0.386,0,0,0,0,0.399,0.512,0.635,0,0,0,0.502,0,0,0,0.317,0,0,0.44,0,0,0.295,0.489,0,0,0,0,0,0,0.415,0.637,0.286,0,0,0.428,0.462,0,0,0.45,0,0.644,0
"GO:0007399",0,0.563,0.483,0.529,0,0.893,0.659,0,0.826,0.942,0,0,0,0.439,0.439,0,0.879,0,0,0,0,0,0,0,0,0.421,0,0,0.428,0.386,0,0.389,0.449,0,0,0,0.861,0,0,0.385,0.452,0,0,0,0.383,0.448,0.47,0.617,0.617,0.617,0,0,0,0,0,0,0,0.372,0,0.462,0.369,0,0.61,0,0.362,0.36,0.465,0.364,0,0.826,0.773,0,0,0.599,0.345,0.489,0.775,0,0,0.411,0,0.356,0.788,0,0,0.359,0.359,0,0.298,0.572,0.399,0.576,0.36,0,0,0,0,0.371,0.485,0.594,0,0,0,0.466,0,0,0,0.295,0,0,0.412,0,0,0.279,0.455,0,0,0,0,0,0,0.494,0.741,0.274,0,0,0.508,0.432,0,0,0.421,0,0.749,0
