"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0110165","GO:0110165",1,"GO:0110165",0.125,8.7374555518462,0,"cellular anatomical entity","cellular anatomical entity"
"GO:0005634","GO:0005634",2,"GO:0005634",0.806,7.52886979620306,2827,"nucleus","nucleus"
"GO:0043228","GO:0043228",3,"GO:0043228",0.864,6.79333086171443,0,"non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0043232","GO:0043232",3,"GO:0043228",0.864,6.79333086171443,0,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0005694","GO:0005694",3,"GO:0043228",0.694,6.79333086171443,79,"chromosome","non-membrane-bounded organelle"
"GO:0043296","GO:0043296",4,"GO:0043296",0.997,6.268515078528,7,"apical junction complex","apical junction complex"
"GO:0070160","GO:0070160",4,"GO:0043296",0.808,6.268515078528,0,"tight junction","apical junction complex"
"GO:0005832","GO:0005832",5,"GO:0005832",1,6.18443242939759,9,"chaperonin-containing T-complex","chaperonin-containing T-complex"
"GO:0005918","GO:0005918",4,"GO:0043296",0.961,5.82787322656249,36,"septate junction","apical junction complex"
"GO:0005911","GO:0005911",4,"GO:0043296",0.903,5.82787322656249,40,"cell-cell junction","apical junction complex"
"GO:0005622","GO:0005622",6,"GO:0005622",0.405,5.82787322656249,20,"intracellular anatomical structure","intracellular anatomical structure"
"GO:0000775","GO:0000775",3,"GO:0043228",0.475,5.68417561033435,33,"chromosome, centromeric region","non-membrane-bounded organelle"
"GO:0000785","GO:0000785",3,"GO:0043228",0.602,5.63626346981255,198,"chromatin","non-membrane-bounded organelle"
"GO:0070161","GO:0070161",4,"GO:0043296",0.873,5.45307169588492,0,"anchoring junction","apical junction complex"
"GO:0098687","GO:0098687",3,"GO:0043228",0.523,5.31244143159983,0,"chromosomal region","non-membrane-bounded organelle"
"GO:0005576","GO:0005576",7,"GO:0005576",0.95,5.13073190792821,531,"extracellular region","extracellular region"
"GO:0005635","GO:0005635",8,"GO:0005635",0.993,5.13073190792821,71,"nuclear envelope","nuclear envelope"
"GO:0101031","GO:0101031",5,"GO:0005832",0.971,5.05860100055025,5,"chaperone complex","chaperonin-containing T-complex"
"GO:0005819","GO:0005819",3,"GO:0043228",0.506,4.68859776064125,51,"spindle","non-membrane-bounded organelle"
"GO:0000793","GO:0000793",3,"GO:0043228",0.475,4.62295542467248,19,"condensed chromosome","non-membrane-bounded organelle"
"GO:0032993","GO:0032993",9,"GO:0032993",0.991,4.61283578632596,0,"protein-DNA complex","protein-DNA complex"
"GO:0005700","GO:0005700",3,"GO:0043228",0.529,4.52658784267229,183,"polytene chromosome","non-membrane-bounded organelle"
"GO:0016327","GO:0016327",10,"GO:0016327",0.999,4.41953390811606,23,"apicolateral plasma membrane","apicolateral plasma membrane"
"GO:0045177","GO:0045177",11,"GO:0045177",0.992,4.41258572427368,57,"apical part of cell","apical part of cell"
"GO:0043231","GO:0043231",2,"GO:0005634",0.524,4.32932986008969,95,"intracellular membrane-bounded organelle","nucleus"
"GO:0005829","GO:0005829",12,"GO:0005829",0.944,4.24581344582563,1167,"cytosol","cytosol"
"GO:0035323","GO:0035323",7,"GO:0005576",0.487,4.20004592460063,5,"male germline ring canal","extracellular region"
"GO:0043226","GO:0043226",2,"GO:0005634",0.347,4.20004592460063,0,"organelle","nucleus"
"GO:0072686","GO:0072686",3,"GO:0043228",0.419,4.20004592460063,31,"mitotic spindle","non-membrane-bounded organelle"
"GO:0043229","GO:0043229",2,"GO:0005634",0.362,4.20004592460063,6,"intracellular organelle","nucleus"
