"","GO:0110165","GO:0005634","GO:0005694","GO:0043228","GO:0043232","GO:0043296","GO:0070160","GO:0005832","GO:0005911","GO:0005622","GO:0005918","GO:0000775","GO:0000785","GO:0070161","GO:0098687","GO:0005635","GO:0005576","GO:0101031","GO:0005819","GO:0000793","GO:0032993","GO:0005700","GO:0016327","GO:0045177","GO:0043231","GO:0005829","GO:0043229","GO:0072686","GO:0043226","GO:0035323"
"GO:0110165",0.125,0.019,0.011,0.016,0.016,0.006,0.005,0.004,0.007,0.051,0.005,0.006,0.009,0.007,0.007,0.007,0.011,0,0.007,0.006,0,0.007,0.005,0.007,0.028,0.011,0.036,0.005,0.037,0.004
"GO:0005634",0.019,0.806,0.191,0.23,0.243,0.004,0.004,0.043,0.005,0.195,0.004,0.128,0.164,0.005,0.141,0.402,0.007,0,0.137,0.128,0,0.143,0.004,0.005,0.524,0.093,0.362,0.112,0.347,0.003
"GO:0005694",0.011,0.191,0.949,0.694,0.694,0.004,0.004,0.038,0.004,0.12,0.004,0.686,0.842,0.004,0.745,0.112,0.006,0,0.443,0.686,0,0.753,0.003,0.004,0.218,0.072,0.234,0.374,0.223,0.003
"GO:0043228",0.016,0.23,0.694,0.864,0.864,0.004,0.004,0.003,0.005,0.013,0.004,0.475,0.602,0.005,0.523,0.121,0.007,0,0.506,0.475,0,0.529,0.004,0.005,0.273,0.007,0.3,0.419,0.302,0.003
"GO:0043232",0.016,0.243,0.694,0.864,0.864,0.004,0.004,0.042,0.005,0.167,0.004,0.475,0.602,0.005,0.523,0.127,0.007,0,0.506,0.475,0,0.529,0.004,0.005,0.287,0.086,0.316,0.419,0.302,0.003
"GO:0043296",0.006,0.004,0.004,0.004,0.004,0.997,0.808,0.002,0.903,0.005,0.961,0.003,0.003,0.873,0.003,0.003,0.004,0,0.003,0.003,0,0.003,0.003,0.003,0.005,0.004,0.005,0.003,0.005,0.002
"GO:0070160",0.005,0.004,0.004,0.004,0.004,0.808,0.998,0.002,0.88,0.005,0.985,0.003,0.003,0.851,0.003,0.003,0.004,0,0.003,0.003,0,0.003,0.003,0.003,0.005,0.004,0.005,0.003,0.005,0.002
"GO:0005832",0.004,0.043,0.038,0.003,0.042,0.002,0.002,1,0.003,0.049,0.002,0.031,0.036,0.003,0.033,0.032,0.003,0.971,0.033,0.031,0.203,0.033,0.002,0.003,0.046,0.497,0.047,0.029,0.004,0.002
"GO:0005911",0.007,0.005,0.004,0.005,0.005,0.903,0.88,0.003,0.993,0.006,0.867,0.003,0.004,0.963,0.004,0.003,0.004,0,0.003,0.003,0,0.004,0.003,0.003,0.006,0.004,0.006,0.003,0.006,0.002
"GO:0005622",0.051,0.195,0.12,0.013,0.167,0.005,0.005,0.049,0.006,0.405,0.005,0.073,0.099,0.006,0.082,0.077,0.01,0,0.079,0.073,0,0.083,0.004,0.006,0.263,0.123,0.318,0.062,0.026,0.004
"GO:0005918",0.005,0.004,0.004,0.004,0.004,0.961,0.985,0.002,0.867,0.005,0.998,0.003,0.003,0.838,0.003,0.003,0.004,0,0.003,0.003,0,0.003,0.002,0.003,0.004,0.004,0.005,0.003,0.005,0.002
"GO:0000775",0.006,0.128,0.686,0.475,0.475,0.003,0.003,0.031,0.003,0.073,0.003,0.995,0.628,0.003,0.924,0.087,0.004,0,0.342,0.537,0,0.577,0.003,0.003,0.139,0.051,0.145,0.3,0.139,0.002
"GO:0000785",0.009,0.164,0.842,0.602,0.602,0.003,0.003,0.036,0.004,0.099,0.003,0.628,0.976,0.004,0.678,0.102,0.005,0,0.403,0.628,0,0.684,0.003,0.004,0.183,0.063,0.195,0.346,0.186,0.003
"GO:0070161",0.007,0.005,0.004,0.005,0.005,0.873,0.851,0.003,0.963,0.006,0.838,0.003,0.004,0.991,0.004,0.003,0.004,0,0.004,0.003,0,0.004,0.003,0.004,0.006,0.004,0.006,0.003,0.006,0.003
"GO:0098687",0.007,0.141,0.745,0.523,0.523,0.003,0.003,0.033,0.004,0.082,0.003,0.924,0.678,0.004,0.99,0.093,0.004,0,0.366,0.573,0,0.619,0.003,0.004,0.155,0.056,0.163,0.318,0.156,0.003
"GO:0005635",0.007,0.402,0.112,0.121,0.127,0.003,0.003,0.032,0.003,0.077,0.003,0.087,0.102,0.003,0.093,0.993,0.004,0,0.091,0.087,0,0.093,0.003,0.003,0.237,0.054,0.154,0.079,0.147,0.002
"GO:0005576",0.011,0.007,0.006,0.007,0.007,0.004,0.004,0.003,0.004,0.01,0.004,0.004,0.005,0.004,0.004,0.004,0.95,0,0.004,0.004,0,0.004,0.003,0.004,0.008,0.006,0.009,0.004,0.009,0.487
"GO:0101031",0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,0,1,0,0,0.21,0,0,0,0,0,0,0,0,0
"GO:0005819",0.007,0.137,0.443,0.506,0.506,0.003,0.003,0.033,0.003,0.079,0.003,0.342,0.403,0.004,0.366,0.091,0.004,0,0.992,0.342,0,0.369,0.003,0.003,0.15,0.055,0.157,0.864,0.15,0.002
"GO:0000793",0.006,0.128,0.686,0.475,0.475,0.003,0.003,0.031,0.003,0.073,0.003,0.537,0.628,0.003,0.573,0.087,0.004,0,0.342,0.995,0,0.577,0.003,0.003,0.139,0.051,0.145,0.3,0.139,0.002
"GO:0032993",0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0.21,0,0,0.991,0,0,0,0,0,0,0,0,0
"GO:0005700",0.007,0.143,0.753,0.529,0.529,0.003,0.003,0.033,0.004,0.083,0.003,0.577,0.684,0.004,0.619,0.093,0.004,0,0.369,0.577,0,0.989,0.003,0.004,0.157,0.057,0.165,0.32,0.158,0.003
"GO:0016327",0.005,0.004,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0,0.003,0.003,0,0.003,0.999,0.003,0.004,0.003,0.004,0.003,0.004,0.002
"GO:0045177",0.007,0.005,0.004,0.005,0.005,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0,0.003,0.003,0,0.004,0.003,0.992,0.006,0.004,0.006,0.003,0.006,0.002
"GO:0043231",0.028,0.524,0.218,0.273,0.287,0.005,0.005,0.046,0.006,0.263,0.004,0.139,0.183,0.006,0.155,0.237,0.008,0,0.15,0.139,0,0.157,0.004,0.006,0.66,0.106,0.47,0.121,0.452,0.003
"GO:0005829",0.011,0.093,0.072,0.007,0.086,0.004,0.004,0.497,0.004,0.123,0.004,0.051,0.063,0.004,0.056,0.054,0.006,0,0.055,0.051,0,0.057,0.003,0.004,0.106,0.944,0.114,0.046,0.009,0.003
"GO:0043229",0.036,0.362,0.234,0.3,0.316,0.005,0.005,0.047,0.006,0.318,0.005,0.145,0.195,0.006,0.163,0.154,0.009,0,0.157,0.145,0,0.165,0.004,0.006,0.47,0.114,0.551,0.125,0.532,0.004
"GO:0072686",0.005,0.112,0.374,0.419,0.419,0.003,0.003,0.029,0.003,0.062,0.003,0.3,0.346,0.003,0.318,0.079,0.004,0,0.864,0.3,0,0.32,0.003,0.003,0.121,0.046,0.125,0.998,0.119,0.002
"GO:0043226",0.037,0.347,0.223,0.302,0.302,0.005,0.005,0.004,0.006,0.026,0.005,0.139,0.186,0.006,0.156,0.147,0.009,0,0.15,0.139,0,0.158,0.004,0.006,0.452,0.009,0.532,0.119,0.54,0.004
"GO:0035323",0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.003,0.002,0.487,0,0.002,0.002,0,0.003,0.002,0.002,0.003,0.003,0.004,0.002,0.004,1
