"","GO:0005515","GO:0005488","GO:0097367","GO:0005524","GO:0005102","GO:0032559","GO:0030554","GO:0035639","GO:0032553","GO:0032555","GO:0017076","GO:0097108","GO:0043167","GO:0000166","GO:1901265","GO:0003682","GO:0043168","GO:0050839","GO:0036094","GO:0004869"
"GO:0005515",0.853,0.375,0.203,0.184,0.553,0.186,0.186,0.192,0.195,0.194,0.195,0.32,0.237,0.202,0.202,0.165,0.203,0.422,0.207,0
"GO:0005488",0.375,0.59,0.253,0.225,0.215,0.227,0.227,0.237,0.241,0.24,0.241,0.114,0.309,0.251,0.251,0.197,0.254,0.157,0.259,0
"GO:0097367",0.203,0.253,0.962,0.89,0.145,0.896,0.15,0.154,0.93,0.929,0.156,0.091,0.182,0.16,0.16,0.137,0.161,0.116,0.164,0
"GO:0005524",0.184,0.225,0.89,0.977,0.135,0.97,0.969,0.94,0.928,0.931,0.928,0.087,0.733,0.897,0.897,0.128,0.889,0.109,0.871,0
"GO:0005102",0.553,0.215,0.145,0.135,0.981,0.136,0.136,0.139,0.141,0.141,0.141,0.266,0.162,0.144,0.144,0.125,0.145,0.333,0.147,0
"GO:0032559",0.186,0.227,0.896,0.97,0.136,0.976,0.975,0.871,0.934,0.936,0.934,0.087,0.168,0.903,0.903,0.129,0.15,0.11,0.877,0
"GO:0030554",0.186,0.227,0.15,0.969,0.136,0.975,0.976,0.873,0.881,0.933,0.935,0.087,0.168,0.904,0.904,0.129,0.151,0.11,0.878,0
"GO:0035639",0.192,0.237,0.154,0.94,0.139,0.871,0.873,0.971,0.904,0.902,0.904,0.089,0.762,0.928,0.928,0.132,0.92,0.112,0.157,0
"GO:0032553",0.195,0.241,0.93,0.928,0.141,0.934,0.881,0.904,0.969,0.967,0.913,0.089,0.175,0.937,0.937,0.133,0.156,0.113,0.912,0
"GO:0032555",0.194,0.24,0.929,0.931,0.141,0.936,0.933,0.902,0.967,0.97,0.967,0.089,0.175,0.935,0.935,0.133,0.156,0.113,0.91,0
"GO:0017076",0.195,0.241,0.156,0.928,0.141,0.934,0.935,0.904,0.913,0.967,0.969,0.089,0.176,0.938,0.938,0.133,0.156,0.113,0.912,0
"GO:0097108",0.32,0.114,0.091,0.087,0.266,0.087,0.087,0.089,0.089,0.089,0.089,1,0.097,0.091,0.091,0.083,0.091,0.231,0.092,0
"GO:0043167",0.237,0.309,0.182,0.733,0.162,0.168,0.168,0.762,0.175,0.175,0.176,0.097,0.919,0.181,0.181,0.151,0.801,0.126,0.185,0
"GO:0000166",0.202,0.251,0.16,0.897,0.144,0.903,0.904,0.928,0.937,0.935,0.938,0.091,0.181,0.963,0.963,0.136,0.16,0.115,0.937,0
"GO:1901265",0.202,0.251,0.16,0.897,0.144,0.903,0.904,0.928,0.937,0.935,0.938,0.091,0.181,0.963,0.963,0.136,0.16,0.115,0.163,0
"GO:0003682",0.165,0.197,0.137,0.128,0.125,0.129,0.129,0.132,0.133,0.133,0.133,0.083,0.151,0.136,0.136,0.988,0.137,0.102,0.138,0
"GO:0043168",0.203,0.254,0.161,0.889,0.145,0.15,0.151,0.92,0.156,0.156,0.156,0.091,0.801,0.16,0.16,0.137,0.961,0.116,0.164,0
"GO:0050839",0.422,0.157,0.116,0.109,0.333,0.11,0.11,0.112,0.113,0.113,0.113,0.231,0.126,0.115,0.115,0.102,0.116,0.997,0.117,0
"GO:0036094",0.207,0.259,0.164,0.871,0.147,0.877,0.878,0.157,0.912,0.91,0.912,0.092,0.185,0.937,0.163,0.138,0.164,0.117,0.958,0
"GO:0004869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
