"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0046680","GO:0046680",3.82538940956108e-05,0.999998640867514,5,9,"response to DDT","BP",0.445841768685103
"GO:0016787","GO:0016787",0.000126338273750598,0.999921090859126,102,1397,"hydrolase activity","MF",0.445841768685103
"GO:0004556","GO:0004556",0.000148663477387497,1,3,3,"alpha-amylase activity","MF",0.445841768685103
"GO:0016160","GO:0016160",0.000148663477387497,1,3,3,"amylase activity","MF",0.445841768685103
"GO:0006749","GO:0006749",0.000242788549369801,0.999952587806612,10,49,"glutathione metabolic process","BP",0.582498287648027
"GO:0017085","GO:0017085",0.000335347345145096,0.999965507326056,6,20,"response to insecticide","BP",0.670471125393428
"GO:0006575","GO:0006575",0.00041695471214462,0.999887663548578,13,83,"cellular modified amino acid metabolic process","BP",0.714541246698123
"GO:0014070","GO:0014070",0.000502068897008495,0.999852546388827,14,105,"response to organic cyclic compound","BP",0.752852311064238
"GO:0004364","GO:0004364",0.000806601633777649,0.999852696507888,8,37,"glutathione transferase activity","MF",0.990194450496703
"GO:0005576","GO:0005576",0.000866070551968086,0.999483540263659,61,770,"extracellular region","CC",0.990194450496703
"GO:0016798","GO:0016798",0.00100243955796287,0.999700175811575,13,93,"hydrolase activity, acting on glycosyl bonds","MF",0.990194450496703
"GO:0005506","GO:0005506",0.00102630353583161,0.99964468579524,16,129,"iron ion binding","MF",0.990194450496703
"GO:0016705","GO:0016705",0.00108563397701578,0.999607388302666,17,143,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",0.990194450496703
"GO:0009636","GO:0009636",0.00118973355125035,0.999706704404837,10,62,"response to toxic substance","BP",0.990194450496703
"GO:0006790","GO:0006790",0.00123815578171478,0.999531463399194,18,154,"sulfur compound metabolic process","BP",0.990194450496703
"GO:1905515","GO:1905515",0.00170808959793872,0.999743811650746,6,27,"non-motile cilium assembly","BP",0.998623401186999
"GO:0046914","GO:0046914",0.0021857433756247,0.998698638223989,51,667,"transition metal ion binding","MF",0.998623401186999
"GO:0009407","GO:0009407",0.00237565842009076,0.999906156360718,3,6,"toxin catabolic process","BP",0.998623401186999
"GO:0042178","GO:0042178",0.00237565842009076,0.999906156360718,3,6,"xenobiotic catabolic process","BP",0.998623401186999
"GO:0046701","GO:0046701",0.00237565842009076,0.999906156360718,3,6,"insecticide catabolic process","BP",0.998623401186999
"GO:0004553","GO:0004553",0.00240221396945314,0.999291534337685,11,79,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF",0.998623401186999
"GO:0016491","GO:0016491",0.0026123396349693,0.998492587705779,44,543,"oxidoreductase activity","MF",0.998623401186999
"GO:0047617","GO:0047617",0.00271107864583077,0.99988769823009,3,6,"acyl-CoA hydrolase activity","MF",0.998623401186999
"GO:0003824","GO:0003824",0.00278534511714471,0.997902176836959,206,3415,"catalytic activity","MF",0.998623401186999
"GO:1990044","GO:1990044",0.0028490944450399,1,2,2,"protein localization to lipid droplet","BP",0.998623401186999
"GO:0042600","GO:0042600",0.00287163785372356,0.99962486116455,5,20,"egg chorion","CC",0.998623401186999
"GO:0008043","GO:0008043",0.00289471104973716,1,2,2,"intracellular ferritin complex","CC",0.998623401186999
"GO:0033212","GO:0033212",0.00289471104973716,1,2,2,"iron import into cell","BP",0.998623401186999
"GO:0070288","GO:0070288",0.00289471104973716,1,2,2,"ferritin complex","CC",0.998623401186999
"GO:0098711","GO:0098711",0.00289471104973716,1,2,2,"iron ion import across plasma membrane","BP",0.998623401186999
"GO:1990461","GO:1990461",0.00289471104973716,1,2,2,"detoxification of iron ion","BP",0.998623401186999
"GO:0008336","GO:0008336",0.00294604155778548,1,2,2,"gamma-butyrobetaine dioxygenase activity","MF",0.998623401186999
"GO:0005287","GO:0005287",0.00295847634755657,1,2,2,"high-affinity basic amino acid transmembrane transporter activity","MF",0.998623401186999
"GO:0005289","GO:0005289",0.00295847634755657,1,2,2,"high-affinity L-arginine transmembrane transporter activity","MF",0.998623401186999
"GO:0061459","GO:0061459",0.00295847634755657,1,2,2,"L-arginine transmembrane transporter activity","MF",0.998623401186999
"GO:0043169","GO:0043169",0.00299686915994765,0.998043977932411,71,1014,"cation binding","MF",0.998623401186999
"GO:0043152","GO:0043152",0.00334227839106073,1,2,2,"induction of bacterial agglutination","BP",1
"GO:0140359","GO:0140359",0.00373196045190102,0.999200654494733,7,44,"ABC-type transporter activity","MF",1
"GO:0016788","GO:0016788",0.00378440121376889,0.997877188116765,37,456,"hydrolase activity, acting on ester bonds","MF",1
"GO:0051865","GO:0051865",0.00382135218206026,0.999619899543096,4,14,"protein autoubiquitination","BP",1
"GO:0009404","GO:0009404",0.00402319574687896,0.999788233956531,3,7,"toxin metabolic process","BP",1
"GO:0017143","GO:0017143",0.00402319574687896,0.999788233956531,3,7,"insecticide metabolic process","BP",1
"GO:0016126","GO:0016126",0.0040428601259144,0.999417618367478,5,22,"sterol biosynthetic process","BP",1
"GO:0015347","GO:0015347",0.00453095025192394,0.999734751041987,3,8,"sodium-independent organic anion transmembrane transporter activity","MF",1
"GO:0043252","GO:0043252",0.00453095025192394,0.999734751041987,3,8,"sodium-independent organic anion transport","BP",1
"GO:0010038","GO:0010038",0.00468233900022604,0.998819683035369,8,52,"response to metal ion","BP",1
"GO:0004497","GO:0004497",0.00491140179525654,0.998301762067041,12,99,"monooxygenase activity","MF",1
"GO:0016791","GO:0016791",0.00511004493168641,0.997774198042491,18,180,"phosphatase activity","MF",1
"GO:0043167","GO:0043167",0.00584476141622554,0.995745126174626,117,1885,"ion binding","MF",1
"GO:0014074","GO:0014074",0.00587217197238589,0.999622156540021,3,8,"response to purine-containing compound","BP",1
"GO:0006032","GO:0006032",0.00613957357708382,0.999289169034872,4,15,"chitin catabolic process","BP",1
"GO:0045187","GO:0045187",0.00621116198258052,0.99874528888971,6,35,"regulation of circadian sleep/wake cycle, sleep","BP",1
"GO:0036503","GO:0036503",0.00627482144793285,0.9985195756886,7,44,"ERAD pathway","BP",1
"GO:0003053","GO:0003053",0.0063214880035085,0.999898851777888,2,3,"circadian regulation of heart rate","BP",1
"GO:1902653","GO:1902653",0.006653884826845,0.999200778743641,4,16,"secondary alcohol biosynthetic process","BP",1
"GO:0016485","GO:0016485",0.00735091160169618,0.997455393238339,11,93,"protein processing","BP",1
"GO:0008198","GO:0008198",0.00759951862459133,0.999462365159245,3,8,"ferrous iron binding","MF",1
"GO:0036157","GO:0036157",0.00778084049043854,0.999419652620323,3,9,"outer dynein arm","CC",1
"GO:0016765","GO:0016765",0.00809400223087731,0.997535091708759,9,65,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF",1
"GO:1990575","GO:1990575",0.00812699603035662,0.999851581442506,2,3,"mitochondrial L-ornithine transmembrane transport","BP",1
"GO:0006578","GO:0006578",0.00863049064649698,0.999837298812629,2,3,"amino-acid betaine biosynthetic process","BP",1
"GO:0045329","GO:0045329",0.00863049064649698,0.999837298812629,2,3,"carnitine biosynthetic process","BP",1
"GO:0050802","GO:0050802",0.00920545581626468,0.997961645103634,6,38,"circadian sleep/wake cycle, sleep","BP",1
"GO:0008195","GO:0008195",0.00976903312625242,0.999207280993058,3,9,"phosphatidate phosphatase activity","MF",1
"GO:0006012","GO:0006012",0.00992246180720163,0.999190146809944,3,9,"galactose metabolic process","BP",1
"GO:0016289","GO:0016289",0.00999933964191193,0.999181523065215,3,9,"CoA hydrolase activity","MF",1
"GO:0046348","GO:0046348",0.0100063867875808,0.998630395318749,4,17,"amino sugar catabolic process","BP",1
"GO:1901072","GO:1901072",0.0100063867875808,0.998630395318749,4,17,"glucosamine-containing compound catabolic process","BP",1
"GO:0042745","GO:0042745",0.0100272510688638,0.997385826921131,7,50,"circadian sleep/wake cycle","BP",1
"GO:0019216","GO:0019216",0.0102852334795693,0.997313601887538,7,48,"regulation of lipid metabolic process","BP",1
"GO:0016614","GO:0016614",0.010293088744884,0.995884217539896,13,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",1
"GO:0016829","GO:0016829",0.0110722415166176,0.99552353881229,13,124,"lyase activity","MF",1
"GO:0006026","GO:0006026",0.0111031759313428,0.997904975857127,5,26,"aminoglycan catabolic process","BP",1
"GO:0005858","GO:0005858",0.0118349044024571,0.998265973515603,4,19,"axonemal dynein complex","CC",1
"GO:0034605","GO:0034605",0.01199776586651,0.997671499849751,5,28,"cellular response to heat","BP",1
"GO:0046872","GO:0046872",0.0121980136617567,0.991604148373199,66,989,"metal ion binding","MF",1
"GO:0042578","GO:0042578",0.0122778916508224,0.994000694298858,19,213,"phosphoric ester hydrolase activity","MF",1
"GO:0030992","GO:0030992",0.0124489680244946,0.998857400534162,3,10,"intraciliary transport particle B","CC",1
"GO:0016593","GO:0016593",0.0127190271146176,0.998823175545032,3,10,"Cdc73/Paf1 complex","CC",1
"GO:0016887","GO:0016887",0.0132028614482889,0.994521814707232,13,135,"ATP hydrolysis activity","MF",1
"GO:0016857","GO:0016857",0.0139032591159712,0.998669797971169,3,10,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF",1
"GO:0043279","GO:0043279",0.0139085788620169,0.997845611790425,4,20,"response to alkaloid","BP",1
"GO:0016125","GO:0016125",0.0141057570537691,0.997137733948514,5,29,"sterol metabolic process","BP",1
"GO:0016842","GO:0016842",0.0146534456636353,0.998569939880367,3,10,"amidine-lyase activity","MF",1
"GO:0061687","GO:0061687",0.0146662459591614,0.999485600026171,2,4,"detoxification of inorganic compound","BP",1
