"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0009987","GO:0009987",1,"GO:0009987",0.357,9.34920366413902,2,"cellular process","cellular process"
"GO:0048523","GO:0048523",2,"GO:0048523",0.951,9.11248398108439,0,"negative regulation of cellular process","negative regulation of cellular process"
"GO:0051246","GO:0051246",3,"GO:0051246",0.983,8.89416363291669,0,"regulation of protein metabolic process","regulation of protein metabolic process"
"GO:0048519","GO:0048519",2,"GO:0048523",0.882,7.52529231843884,0,"negative regulation of biological process","negative regulation of cellular process"
"GO:0051171","GO:0051171",3,"GO:0051246",0.736,7.2621757044688,0,"regulation of nitrogen compound metabolic process","regulation of protein metabolic process"
"GO:0060255","GO:0060255",3,"GO:0051246",0.683,7.2621757044688,0,"regulation of macromolecule metabolic process","regulation of protein metabolic process"
"GO:0051172","GO:0051172",2,"GO:0048523",0.714,7.00218890837249,0,"negative regulation of nitrogen compound metabolic process","negative regulation of cellular process"
"GO:0071840","GO:0071840",4,"GO:0071840",0.85,6.83966873271918,0,"cellular component organization or biogenesis","cellular component organization or biogenesis"
"GO:0019222","GO:0019222",3,"GO:0051246",0.665,6.64185549688593,2,"regulation of metabolic process","regulation of protein metabolic process"
"GO:0080090","GO:0080090",3,"GO:0051246",0.735,6.64185549688593,0,"regulation of primary metabolic process","regulation of protein metabolic process"
"GO:0031323","GO:0031323",3,"GO:0051246",0.637,6.58446442590226,2,"regulation of cellular metabolic process","regulation of protein metabolic process"
"GO:0031324","GO:0031324",2,"GO:0048523",0.811,6.50634326709517,0,"negative regulation of cellular metabolic process","negative regulation of cellular process"
"GO:0010467","GO:0010467",5,"GO:0010467",0.873,6.50634326709517,2,"gene expression","gene expression"
"GO:0044085","GO:0044085",4,"GO:0071840",0.656,6.50634326709517,0,"cellular component biogenesis","cellular component organization or biogenesis"
"GO:0051248","GO:0051248",3,"GO:0051246",0.882,6.50634326709517,0,"negative regulation of protein metabolic process","regulation of protein metabolic process"
"GO:0043170","GO:0043170",5,"GO:0010467",0.645,6.44674158464538,0,"macromolecule metabolic process","gene expression"
"GO:0010605","GO:0010605",2,"GO:0048523",0.772,6.32801887995883,0,"negative regulation of macromolecule metabolic process","negative regulation of cellular process"
"GO:0009892","GO:0009892",2,"GO:0048523",0.778,6.20848985765173,0,"negative regulation of metabolic process","negative regulation of cellular process"
"GO:0034249","GO:0034249",6,"GO:0034249",0.996,6.15999370434113,0,"negative regulation of cellular amide metabolic process","negative regulation of cellular amide metabolic process"
"GO:0016043","GO:0016043",4,"GO:0071840",0.841,5.89477974065545,0,"cellular component organization","cellular component organization or biogenesis"
"GO:0065007","GO:0065007",2,"GO:0048523",0.42,5.89477974065545,0,"biological regulation","negative regulation of cellular process"
"GO:0034248","GO:0034248",6,"GO:0034249",0.926,5.89477974065545,0,"regulation of cellular amide metabolic process","negative regulation of cellular amide metabolic process"
"GO:0009893","GO:0009893",7,"GO:0009893",0.972,5.83687585394572,0,"positive regulation of metabolic process","positive regulation of metabolic process"
"GO:0010604","GO:0010604",7,"GO:0009893",0.958,5.7220486102048,0,"positive regulation of macromolecule metabolic process","positive regulation of metabolic process"
"GO:0050789","GO:0050789",2,"GO:0048523",0.468,5.65705601298745,0,"regulation of biological process","negative regulation of cellular process"
"GO:0031325","GO:0031325",7,"GO:0009893",0.945,5.55623653514831,0,"positive regulation of cellular metabolic process","positive regulation of metabolic process"
"GO:0007049","GO:0007049",8,"GO:0007049",0.962,5.51434825135661,0,"cell cycle","cell cycle"
"GO:0090304","GO:0090304",9,"GO:0090304",0.897,5.50409846433219,0,"nucleic acid metabolic process","nucleic acid metabolic process"
"GO:0017148","GO:0017148",10,"GO:0017148",0.997,5.37645832212654,60,"negative regulation of translation","negative regulation of translation"
