"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005622","GO:0005622",1,"GO:0005622",0.405,9.34920366413902,20,"intracellular anatomical structure","intracellular anatomical structure"
"GO:0005634","GO:0005634",2,"GO:0005634",0.806,9.11248398108439,2827,"nucleus","nucleus"
"GO:0032991","GO:0032991",3,"GO:0032991",0.801,8.89416363291669,76,"protein-containing complex","protein-containing complex"
"GO:0110165","GO:0110165",4,"GO:0110165",0.125,7.52529231843884,0,"cellular anatomical entity","cellular anatomical entity"
"GO:0005654","GO:0005654",5,"GO:0005654",0.971,7.2621757044688,202,"nucleoplasm","nucleoplasm"
"GO:0031981","GO:0031981",5,"GO:0005654",0.883,7.2621757044688,1,"nuclear lumen","nucleoplasm"
"GO:0043229","GO:0043229",6,"GO:0043229",0.551,7.00218890837249,6,"intracellular organelle","intracellular organelle"
"GO:0043226","GO:0043226",6,"GO:0043229",0.532,6.83966873271918,0,"organelle","intracellular organelle"
"GO:0043231","GO:0043231",6,"GO:0043229",0.47,6.64185549688593,95,"intracellular membrane-bounded organelle","intracellular organelle"
"GO:0070013","GO:0070013",5,"GO:0005654",0.839,6.64185549688593,0,"intracellular organelle lumen","nucleoplasm"
"GO:0031974","GO:0031974",5,"GO:0005654",0.839,6.58446442590226,0,"membrane-enclosed lumen","nucleoplasm"
"GO:0043227","GO:0043227",6,"GO:0043229",0.456,6.50634326709517,2,"membrane-bounded organelle","intracellular organelle"
"GO:0043233","GO:0043233",5,"GO:0005654",0.839,6.50634326709517,0,"organelle lumen","nucleoplasm"
"GO:0140513","GO:0140513",2,"GO:0005634",0.612,6.50634326709517,0,"nuclear protein-containing complex","nucleus"
"GO:0005829","GO:0005829",7,"GO:0005829",0.944,6.50634326709517,1167,"cytosol","cytosol"
"GO:0005832","GO:0005832",8,"GO:0005832",1,6.44674158464538,9,"chaperonin-containing T-complex","chaperonin-containing T-complex"
"GO:0043228","GO:0043228",9,"GO:0043228",0.864,6.32801887995883,0,"non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0043232","GO:0043232",9,"GO:0043228",0.864,6.20848985765173,0,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0005737","GO:0005737",7,"GO:0005829",0.396,6.15999370434113,2134,"cytoplasm","cytosol"
"GO:0101031","GO:0101031",8,"GO:0005832",0.971,5.89477974065545,5,"chaperone complex","chaperonin-containing T-complex"
"GO:1990904","GO:1990904",3,"GO:0032991",0.548,5.89477974065545,67,"ribonucleoprotein complex","protein-containing complex"
"GO:0005694","GO:0005694",9,"GO:0043228",0.694,5.89477974065545,79,"chromosome","non-membrane-bounded organelle"
"GO:0098687","GO:0098687",9,"GO:0043228",0.523,5.83687585394572,0,"chromosomal region","non-membrane-bounded organelle"
"GO:0008023","GO:0008023",5,"GO:0005654",0.723,5.7220486102048,21,"transcription elongation factor complex","nucleoplasm"
"GO:0000932","GO:0000932",10,"GO:0000932",0.998,5.65705601298745,47,"P-body","P-body"
"GO:0000779","GO:0000779",9,"GO:0043228",0.443,5.55623653514831,11,"condensed chromosome, centromeric region","non-membrane-bounded organelle"
"GO:0000776","GO:0000776",9,"GO:0043228",0.435,5.51434825135661,50,"kinetochore","non-membrane-bounded organelle"
"GO:0000785","GO:0000785",9,"GO:0043228",0.602,5.50409846433219,198,"chromatin","non-membrane-bounded organelle"
"GO:0010494","GO:0010494",10,"GO:0000932",0.758,5.37645832212654,18,"cytoplasmic stress granule","P-body"
