"","GO:0005622","GO:0005634","GO:0032991","GO:0110165","GO:0031981","GO:0005654","GO:0043229","GO:0043226","GO:0043231","GO:0070013","GO:0031974","GO:0043233","GO:0140513","GO:0005829","GO:0043227","GO:0005832","GO:0043228","GO:0043232","GO:0005737","GO:0101031","GO:0005694","GO:1990904","GO:0098687","GO:0008023","GO:0000932","GO:0000779","GO:0000776","GO:0000785","GO:0010494"
"GO:0005622",0.405,0.195,0,0.051,0.118,0.104,0.318,0.026,0.263,0.125,0.01,0.01,0.131,0.123,0.022,0.049,0.013,0.167,0.249,0,0.12,0,0.082,0.065,0.06,0.067,0.065,0.099,0.053
"GO:0005634",0.195,0.806,0,0.019,0.564,0.512,0.362,0.347,0.524,0.197,0.008,0.187,0.612,0.093,0.5,0.043,0.23,0.243,0.15,0,0.191,0,0.141,0.349,0.109,0.119,0.117,0.164,0.098
"GO:0032991",0,0,0.801,0,0,0,0,0,0,0,0,0,0.602,0,0,0.266,0,0,0,0.279,0,0.548,0,0.342,0,0,0,0,0
"GO:0110165",0.051,0.019,0,0.125,0.011,0.009,0.036,0.037,0.028,0.011,0.011,0.011,0.012,0.011,0.029,0.004,0.016,0.016,0.026,0,0.011,0,0.007,0.006,0.005,0.006,0.006,0.009,0.004
"GO:0031981",0.118,0.564,0,0.011,0.953,0.883,0.229,0.219,0.345,0.907,0.907,0.907,0.462,0.071,0.327,0.038,0.166,0.175,0.1,0,0.146,0,0.115,0.646,0.093,0.1,0.098,0.13,0.085
"GO:0005654",0.104,0.512,0,0.009,0.883,0.971,0.204,0.195,0.309,0.839,0.839,0.839,0.426,0.065,0.293,0.036,0.152,0.16,0.089,0,0.136,0,0.109,0.723,0.089,0.095,0.093,0.122,0.081
"GO:0043229",0.318,0.362,0,0.036,0.229,0.204,0.551,0.532,0.47,0.243,0.009,0.231,0.254,0.114,0.456,0.047,0.3,0.316,0.214,0,0.234,0,0.163,0.131,0.122,0.134,0.131,0.195,0.108
"GO:0043226",0.026,0.347,0,0.037,0.219,0.195,0.532,0.54,0.452,0.232,0.009,0.232,0.243,0.009,0.463,0.004,0.302,0.302,0.017,0,0.223,0,0.156,0.125,0.116,0.128,0.125,0.186,0.103
"GO:0043231",0.263,0.524,0,0.028,0.345,0.309,0.47,0.452,0.66,0.226,0.009,0.214,0.379,0.106,0.632,0.046,0.273,0.287,0.187,0,0.218,0,0.155,0.203,0.117,0.128,0.126,0.183,0.104
"GO:0070013",0.125,0.197,0,0.011,0.907,0.839,0.243,0.232,0.226,0.941,0.941,0.941,0.16,0.073,0.217,0.038,0.174,0.183,0.105,0,0.152,0,0.119,0.608,0.095,0.102,0.101,0.134,0.086
"GO:0031974",0.01,0.008,0,0.011,0.907,0.839,0.009,0.009,0.009,0.941,0.941,0.941,0.006,0.006,0.009,0.003,0.007,0.007,0.008,0,0.006,0,0.005,0.608,0.004,0.004,0.004,0.005,0.003
