"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005515","GO:0005515",1,"GO:0005515",0.853,9.34920366413902,946,"protein binding","protein binding"
"GO:0005488","GO:0005488",2,"GO:0005488",0.59,9.11248398108439,0,"binding","binding"
"GO:0003723","GO:0003723",3,"GO:0003723",0.943,8.89416363291669,440,"RNA binding","RNA binding"
"GO:0003729","GO:0003729",3,"GO:0003723",0.844,7.52529231843884,254,"mRNA binding","RNA binding"
"GO:1901363","GO:1901363",3,"GO:0003723",0.634,7.2621757044688,0,"heterocyclic compound binding","RNA binding"
"GO:0003727","GO:0003727",3,"GO:0003723",0.598,7.2621757044688,19,"single-stranded RNA binding","RNA binding"
"GO:0097159","GO:0097159",4,"GO:0097159",0.829,7.00218890837249,0,"organic cyclic compound binding","organic cyclic compound binding"
"GO:0003676","GO:0003676",3,"GO:0003723",0.736,6.83966873271918,110,"nucleic acid binding","RNA binding"
"GO:0030371","GO:0030371",5,"GO:0030371",0.996,6.64185549688593,12,"translation repressor activity","translation repressor activity"
"GO:0004386","GO:0004386",6,"GO:0004386",0.995,6.64185549688593,25,"helicase activity","helicase activity"
"GO:0051082","GO:0051082",1,"GO:0005515",0.433,6.50634326709517,102,"unfolded protein binding","protein binding"
"GO:0003730","GO:0003730",3,"GO:0003723",0.665,6.50634326709517,145,"mRNA 3'-UTR binding","RNA binding"
"GO:0008266","GO:0008266",3,"GO:0003723",0.495,6.50634326709517,9,"poly(U) RNA binding","RNA binding"
"GO:0044183","GO:0044183",7,"GO:0044183",0.998,6.50634326709517,22,"protein folding chaperone","protein folding chaperone"
"GO:0032559","GO:0032559",4,"GO:0097159",0.531,6.44674158464538,0,"adenyl ribonucleotide binding","organic cyclic compound binding"
"GO:0032555","GO:0032555",4,"GO:0097159",0.556,6.32801887995883,0,"purine ribonucleotide binding","organic cyclic compound binding"
"GO:0008187","GO:0008187",3,"GO:0003723",0.519,6.20848985765173,6,"poly-pyrimidine tract binding","RNA binding"
"GO:0030554","GO:0030554",4,"GO:0097159",0.532,6.15999370434113,0,"adenyl nucleotide binding","organic cyclic compound binding"
