"","GO:0005515","GO:0005488","GO:0003723","GO:0003729","GO:1901363","GO:0003727","GO:0097159","GO:0003676","GO:0004386","GO:0030371","GO:0003730","GO:0051082","GO:0044183","GO:0008266","GO:0032559","GO:0032555","GO:0008187","GO:0030554"
"GO:0005515",0.853,0.375,0.22,0.193,0.285,0.13,0.286,0.263,0,0,0.146,0.433,0,0.105,0.186,0.194,0.111,0.186
"GO:0005488",0.375,0.59,0.28,0.237,0.395,0.149,0.396,0.354,0,0,0.171,0.161,0,0.118,0.227,0.24,0.125,0.227
"GO:0003723",0.22,0.28,0.943,0.844,0.634,0.598,0.631,0.736,0,0,0.665,0.124,0,0.495,0.445,0.463,0.519,0.446
"GO:0003729",0.193,0.237,0.844,0.971,0.554,0.556,0.551,0.648,0,0,0.781,0.115,0,0.466,0.404,0.418,0.488,0.405
"GO:1901363",0.285,0.395,0.634,0.554,0.83,0.37,0.297,0.764,0,0,0.418,0.142,0,0.3,0.534,0.559,0.316,0.535
"GO:0003727",0.13,0.149,0.598,0.556,0.37,0.998,0.368,0.441,0,0,0.473,0.089,0,0.866,0.297,0.304,0.898,0.297
"GO:0097159",0.286,0.396,0.631,0.551,0.297,0.368,0.829,0.76,0,0,0.416,0.142,0,0.298,0.531,0.556,0.314,0.532
"GO:0003676",0.263,0.354,0.736,0.648,0.764,0.441,0.76,0.875,0,0,0.496,0.136,0,0.36,0.505,0.528,0.379,0.506
"GO:0004386",0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0
"GO:0030371",0,0,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,0,0
"GO:0003730",0.146,0.171,0.665,0.781,0.418,0.473,0.416,0.496,0,0,0.995,0.097,0,0.406,0.327,0.336,0.422,0.327
"GO:0051082",0.433,0.161,0.124,0.115,0.142,0.089,0.142,0.136,0,0,0.097,0.996,0,0.077,0.112,0.115,0.08,0.112
"GO:0044183",0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0
"GO:0008266",0.105,0.118,0.495,0.466,0.3,0.866,0.298,0.36,0,0,0.406,0.077,0,1,0.25,0.255,0.967,0.25
"GO:0032559",0.186,0.227,0.445,0.404,0.534,0.297,0.531,0.505,0,0,0.327,0.112,0,0.25,0.976,0.936,0.261,0.975
"GO:0032555",0.194,0.24,0.463,0.418,0.559,0.304,0.556,0.528,0,0,0.336,0.115,0,0.255,0.936,0.97,0.267,0.933
"GO:0008187",0.111,0.125,0.519,0.488,0.316,0.898,0.314,0.379,0,0,0.422,0.08,0,0.967,0.261,0.267,0.999,0.261
"GO:0030554",0.186,0.227,0.446,0.405,0.535,0.297,0.532,0.506,0,0,0.327,0.112,0,0.25,0.975,0.933,0.261,0.976
