"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005622","GO:0005622",4.63126563471333e-17,1,725,6290,"intracellular anatomical structure","CC",5.55566625540211e-13
"GO:0070013","GO:0070013",3.45224943331097e-15,1,158,934,"intracellular organelle lumen","CC",1.15867477469194e-11
"GO:0031974","GO:0031974",3.86353709467136e-15,1,158,935,"membrane-enclosed lumen","CC",1.15867477469194e-11
"GO:0043233","GO:0043233",3.86353709467136e-15,1,158,935,"organelle lumen","CC",1.15867477469194e-11
"GO:0043231","GO:0043231",1.48912231253595e-14,1,561,4666,"intracellular membrane-bounded organelle","CC",3.57270225223625e-11
"GO:0032991","GO:0032991",4.72186262808831e-14,1,349,2641,"protein-containing complex","CC",9.4405773477579e-11
"GO:0009987","GO:0009987",1.00021056888171e-13,1,834,7599,"cellular process","BP",1.714075140615e-10
"GO:0110165","GO:0110165",2.18263876216112e-13,1,885,8341,"cellular anatomical entity","CC",3.14572960828687e-10
"GO:0005634","GO:0005634",2.36008390084877e-13,1,364,2726,"nucleus","CC",3.14572960828687e-10
"GO:0031981","GO:0031981",3.17199633701997e-13,1,133,755,"nuclear lumen","CC",3.80512680588916e-10
"GO:0043227","GO:0043227",1.33631747532435e-12,1,570,4850,"membrane-bounded organelle","CC",1.45731494854463e-09
"GO:0005730","GO:0005730",7.40389924906097e-12,1,55,229,"nucleolus","CC",7.40143128264462e-09
"GO:0006139","GO:0006139",3.3383803686237e-11,1,317,2370,"nucleobase-containing compound metabolic process","BP",2.86636184568341e-08
"GO:0034641","GO:0034641",3.34520388792662e-11,1,366,2884,"cellular nitrogen compound metabolic process","BP",2.86636184568341e-08
"GO:0046483","GO:0046483",6.69639377352088e-11,1,323,2442,"heterocycle metabolic process","BP",5.35532931381044e-08
"GO:0043229","GO:0043229",8.97222674454423e-11,1,599,5269,"intracellular organelle","CC",6.72692700172203e-08
"GO:0090304","GO:0090304",1.34774479126706e-10,1,285,2105,"nucleic acid metabolic process","BP",9.04844357009534e-08
"GO:0043226","GO:0043226",1.35771910855048e-10,1,607,5361,"organelle","CC",9.04844357009534e-08
"GO:0006725","GO:0006725",6.59083446324392e-10,1,324,2496,"cellular aromatic compound metabolic process","BP",4.16124474847758e-07
"GO:1901360","GO:1901360",7.40306166373891e-10,1,330,2555,"organic cyclic compound metabolic process","BP",4.4403563859106e-07
"GO:0140513","GO:0140513",8.91818938059086e-10,1,130,820,"nuclear protein-containing complex","CC",5.09440951474133e-07
"GO:0044237","GO:0044237",1.24783241790536e-09,1,534,4615,"cellular metabolic process","BP",6.80408985690575e-07
"GO:0042254","GO:0042254",4.16197194542746e-09,1,47,218,"ribosome biogenesis","BP",2.17073980249338e-06
"GO:0043228","GO:0043228",5.21483151178358e-09,1,210,1555,"non-membrane-bounded organelle","CC",2.50228475261423e-06
"GO:0043232","GO:0043232",5.21483151178358e-09,1,210,1555,"intracellular non-membrane-bounded organelle","CC",2.50228475261423e-06
"GO:0016070","GO:0016070",8.97082685156684e-09,1,249,1859,"RNA metabolic process","BP",4.13900149659215e-06
"GO:0005832","GO:0005832",1.08627086636417e-08,1,8,8,"chaperonin-containing T-complex","CC",4.82626122700168e-06
"GO:0010467","GO:0010467",1.18632223278141e-08,1,305,2426,"gene expression","BP",5.08254339444493e-06
"GO:0034660","GO:0034660",1.45215620782037e-08,1,69,376,"ncRNA metabolic process","BP",6.00691926517697e-06
"GO:0006396","GO:0006396",2.30482462735244e-08,1,98,606,"RNA processing","BP",9.21622540990664e-06
