"","GO:0009987","GO:0006139","GO:0034641","GO:0046483","GO:0090304","GO:0006725","GO:1901360","GO:0044237","GO:0042254","GO:0016070","GO:0010467","GO:0034660","GO:0006396","GO:0022613","GO:0008152","GO:0043436","GO:0006082","GO:0019752","GO:0044238","GO:0006457","GO:0006418","GO:0043039","GO:0006364","GO:0043038","GO:0006631","GO:0071704","GO:0016072","GO:0044271","GO:0072329","GO:0009062","GO:0044281","GO:0006635","GO:0034470","GO:0016071","GO:0008380","GO:0006520","GO:0006397","GO:0044249","GO:1901576","GO:0009058","GO:0019395","GO:0006412","GO:0006807","GO:0006260","GO:0034440","GO:0000375","GO:0000377","GO:0000398","GO:0043604","GO:0006325","GO:0043043","GO:0006518","GO:0030258","GO:0007049","GO:0044085","GO:0071840","GO:0046395","GO:0043603","GO:0016054","GO:0042273","GO:0000278","GO:0009893","GO:0045935","GO:0006399","GO:0010604","GO:1903311","GO:0043170","GO:1901566","GO:0051173","GO:0032787","GO:0031325","GO:0010557","GO:0051254","GO:0120192","GO:0120193","GO:0051171","GO:0043297","GO:0009059","GO:0019222","GO:0051276","GO:0015986","GO:0019991","GO:0006338","GO:0006261","GO:0031323","GO:0019509","GO:0043102","GO:0071265","GO:0071267"
"GO:0009987",0.357,0.12,0.133,0.121,0.116,0.122,0,0.164,0.058,0.108,0,0.067,0.076,0.061,0,0.067,0.068,0.067,0,0.053,0.047,0.047,0.053,0.047,0.056,0,0.054,0.11,0.046,0.046,0,0.043,0.062,0.071,0.065,0.057,0.066,0.117,0,0,0.044,0.078,0,0.055,0.044,0.064,0.064,0.064,0.08,0.066,0.079,0.081,0.048,0.084,0.091,0.135,0.051,0.083,0.051,0.045,0.07,0,0.068,0.056,0,0.055,0,0,0,0.059,0.075,0,0.067,0.042,0.042,0,0.043,0,0,0.064,0.041,0.042,0.061,0.052,0.102,0.033,0.033,0.033,0.033
"GO:0006139",0.12,0.888,0.8,0.88,0.871,0.874,0.868,0.622,0.044,0.836,0.436,0.605,0.662,0.045,0.503,0.356,0.357,0.356,0.586,0.041,0.457,0.461,0.508,0.271,0.312,0.534,0.516,0.714,0.265,0.264,0.301,0.254,0.569,0.627,0.593,0.313,0.6,0.516,0.42,0.389,0.257,0.572,0.616,0.518,0.257,0.584,0.583,0.583,0.581,0.048,0.577,0.588,0.275,0.057,0.06,0.077,0.289,0.595,0.29,0.036,0.051,0.298,0.608,0.527,0.316,0.523,0.505,0.427,0.376,0.323,0.383,0.286,0.602,0.034,0.034,0.463,0.035,0.401,0.376,0.047,0.415,0.034,0.046,0.501,0.472,0.204,0.204,0.204,0.204
"GO:0034641",0.133,0.8,0.855,0.558,0.784,0.56,0.423,0.67,0.045,0.75,0.43,0.534,0.587,0.047,0.545,0.371,0.372,0.371,0.515,0.042,0.4,0.403,0.445,0.28,0.324,0.534,0.453,0.757,0.274,0.272,0.315,0.262,0.501,0.554,0.523,0.324,0.53,0.548,0.413,0.414,0.265,0.599,0.663,0.455,0.265,0.515,0.515,0.515,0.609,0.05,0.605,0.616,0.283,0.06,0.064,0.082,0.299,0.624,0.3,0.037,0.053,0.312,0.537,0.463,0.306,0.459,0.503,0.449,0.393,0.336,0.4,0.276,0.532,0.035,0.035,0.489,0.036,0.393,0.399,0.049,0.362,0.035,0.047,0.439,0.499,0.209,0.209,0.209,0.209
"GO:0046483",0.121,0.88,0.558,0.885,0.863,0.53,0.4,0.627,0.044,0.828,0.406,0.598,0.655,0.046,0.507,0.358,0.358,0.358,0.481,0.041,0.451,0.456,0.502,0.272,0.313,0.497,0.51,0.498,0.266,0.265,0.302,0.255,0.562,0.62,0.586,0.314,0.594,0.519,0.391,0.392,0.258,0.398,0.473,0.512,0.258,0.577,0.577,0.577,0.404,0.048,0.401,0.409,0.275,0.058,0.061,0.077,0.29,0.414,0.291,0.036,0.051,0.299,0.601,0.521,0.294,0.517,0.47,0.327,0.288,0.324,0.384,0.266,0.596,0.034,0.034,0.355,0.035,0.373,0.379,0.047,0.41,0.034,0.046,0.495,0.475,0.204,0.204,0.204,0.204
"GO:0090304",0.116,0.871,0.784,0.863,0.897,0.857,0.851,0.608,0.043,0.862,0.527,0.627,0.686,0.045,0.491,0.351,0.352,0.351,0.573,0.041,0.475,0.48,0.527,0.269,0.308,0.521,0.536,0.701,0.263,0.261,0.296,0.251,0.59,0.649,0.615,0.309,0.622,0.506,0.412,0.382,0.254,0.563,0.601,0.538,0.255,0.605,0.605,0.605,0.572,0.047,0.568,0.579,0.272,0.057,0.059,0.075,0.286,0.586,0.287,0.035,0.05,0.293,0.6,0.547,0.384,0.543,0.608,0.42,0.37,0.319,0.377,0.348,0.624,0.034,0.034,0.455,0.034,0.485,0.369,0.047,0.412,0.034,0.045,0.521,0.464,0.202,0.202,0.202,0.202
"GO:0006725",0.122,0.874,0.56,0.53,0.857,0.883,0.401,0.63,0.044,0.822,0.407,0.594,0.65,0.046,0.51,0.359,0.359,0.359,0.484,0.041,0.448,0.452,0.498,0.273,0.314,0.5,0.506,0.499,0.267,0.265,0.303,0.255,0.558,0.615,0.582,0.314,0.589,0.521,0.393,0.393,0.258,0.399,0.475,0.508,0.259,0.573,0.572,0.572,0.405,0.048,0.403,0.41,0.276,0.058,0.061,0.078,0.291,0.415,0.292,0.036,0.051,0.3,0.597,0.517,0.294,0.513,0.473,0.328,0.288,0.325,0.385,0.266,0.591,0.034,0.034,0.356,0.035,0.374,0.38,0.048,0.407,0.034,0.046,0.491,0.476,0.204,0.204,0.204,0.204
"GO:1901360",0,0.868,0.423,0.4,0.851,0.401,0.881,0.476,0,0.816,0.443,0.588,0.645,0,0.513,0.292,0.293,0.292,0.486,0,0.443,0.447,0.493,0.222,0.255,0.544,0.501,0.377,0.217,0.216,0.304,0.208,0.553,0.61,0.577,0.256,0.584,0.393,0.426,0.395,0.21,0.325,0.478,0.503,0.21,0.568,0.567,0.567,0.305,0,0.328,0.334,0.225,0,0,0,0.237,0.313,0.237,0,0,0.301,0.591,0.512,0.319,0.508,0.514,0.356,0.289,0.265,0.29,0.289,0.586,0,0,0.357,0,0.406,0.382,0,0.403,0,0,0.487,0.359,0.166,0.166,0.166,0.166
"GO:0044237",0.164,0.622,0.67,0.627,0.608,0.63,0.476,0.772,0.048,0.579,0.484,0.399,0.442,0.051,0.636,0.401,0.401,0.401,0.596,0.045,0.293,0.296,0.328,0.296,0.346,0.621,0.335,0.585,0.289,0.287,0.343,0.276,0.373,0.415,0.39,0.346,0.396,0.614,0.463,0.464,0.279,0.452,0.583,0.336,0.28,0.384,0.383,0.383,0.46,0.054,0.456,0.466,0.3,0.066,0.07,0.093,0.318,0.473,0.319,0.039,0.057,0.34,0.402,0.342,0.333,0.339,0.579,0.376,0.325,0.359,0.434,0.297,0.397,0.037,0.037,0.413,0.038,0.438,0.446,0.053,0.264,0.037,0.051,0.324,0.553,0.218,0.218,0.218,0.218
"GO:0042254",0.058,0.044,0.045,0.044,0.043,0.044,0,0.048,0.993,0.042,0,0.034,0.036,0.963,0,0.034,0.034,0.034,0,0.03,0.028,0.028,0.95,0.028,0.031,0,0.03,0.042,0.028,0.027,0,0.027,0.033,0.035,0.034,0.031,0.034,0.043,0,0,0.027,0.037,0,0.03,0.027,0.033,0.033,0.033,0.037,0.344,0.037,0.037,0.028,0.038,0.715,0.466,0.029,0.038,0.029,0.857,0.035,0,0.034,0.031,0,0.031,0,0,0,0.032,0.036,0,0.034,0.478,0.268,0,0.484,0,0,0.34,0.026,0.474,0.332,0.03,0.041,0.022,0.022,0.022,0.022
"GO:0016070",0.108,0.836,0.75,0.828,0.862,0.822,0.816,0.579,0.042,0.915,0.505,0.673,0.733,0.044,0.466,0.342,0.342,0.342,0.545,0.04,0.513,0.518,0.568,0.263,0.301,0.495,0.577,0.674,0.257,0.256,0.287,0.246,0.634,0.696,0.66,0.301,0.668,0.486,0.396,0.366,0.249,0.546,0.573,0.525,0.25,0.65,0.65,0.65,0.554,0.046,0.551,0.56,0.266,0.055,0.057,0.072,0.28,0.567,0.28,0.035,0.048,0.284,0.583,0.589,0.372,0.584,0.58,0.406,0.359,0.311,0.366,0.338,0.67,0.033,0.033,0.438,0.034,0.467,0.355,0.045,0.404,0.033,0.044,0.508,0.447,0.199,0.199,0.199,0.199
