"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005622","GO:0005622",1,"GO:0005622",0.405,12.2552638514497,20,"intracellular anatomical structure","intracellular anatomical structure"
"GO:0070013","GO:0070013",2,"GO:0070013",0.941,10.9360384478823,0,"intracellular organelle lumen","intracellular organelle lumen"
"GO:0043233","GO:0043233",2,"GO:0070013",0.941,10.9360384478823,0,"organelle lumen","intracellular organelle lumen"
"GO:0031974","GO:0031974",2,"GO:0070013",0.941,10.9360384478823,0,"membrane-enclosed lumen","intracellular organelle lumen"
"GO:0043231","GO:0043231",3,"GO:0043231",0.66,10.4470031762406,95,"intracellular membrane-bounded organelle","intracellular membrane-bounded organelle"
"GO:0032991","GO:0032991",4,"GO:0032991",0.801,10.0250014451852,76,"protein-containing complex","protein-containing complex"
"GO:0110165","GO:0110165",5,"GO:0110165",0.125,9.76597014365017,0,"cellular anatomical entity","cellular anatomical entity"
"GO:0031981","GO:0031981",2,"GO:0070013",0.907,9.5022786099631,1,"nuclear lumen","intracellular organelle lumen"
"GO:0005634","GO:0005634",6,"GO:0005634",0.806,9.5022786099631,2827,"nucleus","nucleus"
"GO:0043227","GO:0043227",3,"GO:0043231",0.632,9.41963086578426,2,"membrane-bounded organelle","intracellular membrane-bounded organelle"
"GO:0005730","GO:0005730",2,"GO:0070013",0.719,8.836446580259,242,"nucleolus","intracellular organelle lumen"
"GO:0043229","GO:0043229",3,"GO:0043231",0.47,8.13068428864083,6,"intracellular organelle","intracellular membrane-bounded organelle"
"GO:0043226","GO:0043226",3,"GO:0043231",0.452,7.54266898572369,0,"organelle","intracellular membrane-bounded organelle"
"GO:0140513","GO:0140513",6,"GO:0005634",0.612,7.54266898572369,0,"nuclear protein-containing complex","nucleus"
"GO:0043228","GO:0043228",7,"GO:0043228",0.864,7.2712138180584,0,"non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0043232","GO:0043232",7,"GO:0043228",0.864,7.17218328510467,0,"intracellular non-membrane-bounded organelle","non-membrane-bounded organelle"
"GO:0005832","GO:0005832",8,"GO:0005832",1,7.04342611770651,9,"chaperonin-containing T-complex","chaperonin-containing T-complex"
"GO:1990904","GO:1990904",9,"GO:1990904",0.955,7.04342611770651,67,"ribonucleoprotein complex","ribonucleoprotein complex"
"GO:0005694","GO:0005694",7,"GO:0043228",0.694,6.38077673991786,79,"chromosome","non-membrane-bounded organelle"
"GO:0005737","GO:0005737",10,"GO:0005737",0.689,6.35258217172704,2134,"cytoplasm","cytoplasm"
"GO:1902494","GO:1902494",4,"GO:0032991",0.607,6.29290614715333,0,"catalytic complex","protein-containing complex"
"GO:0101031","GO:0101031",8,"GO:0005832",0.971,6.16722995959494,5,"chaperone complex","chaperonin-containing T-complex"
"GO:0017101","GO:0017101",8,"GO:0005832",0.389,5.66339223049013,16,"aminoacyl-tRNA synthetase multienzyme complex","chaperonin-containing T-complex"
"GO:0005681","GO:0005681",9,"GO:1990904",0.811,5.60166327040105,54,"spliceosomal complex","ribonucleoprotein complex"
"GO:0030684","GO:0030684",9,"GO:1990904",0.665,5.60166327040105,0,"preribosome","ribonucleoprotein complex"
"GO:0071011","GO:0071011",9,"GO:1990904",0.713,5.38310441656576,161,"precatalytic spliceosome","ribonucleoprotein complex"
"GO:0005654","GO:0005654",2,"GO:0070013",0.839,5.31638917509714,202,"nucleoplasm","intracellular organelle lumen"
"GO:0000974","GO:0000974",11,"GO:0000974",0.999,5.29391890469435,18,"Prp19 complex","Prp19 complex"
"GO:0005700","GO:0005700",7,"GO:0043228",0.529,5.22134820506343,183,"polytene chromosome","non-membrane-bounded organelle"
"GO:0000785","GO:0000785",7,"GO:0043228",0.602,5.03544691184171,198,"chromatin","non-membrane-bounded organelle"
"GO:0000275","GO:0000275",12,"GO:0000275",1,4.98959728349152,4,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
"GO:0005739","GO:0005739",13,"GO:0005739",0.946,4.97798486324315,801,"mitochondrion","mitochondrion"
"GO:0071013","GO:0071013",9,"GO:1990904",0.716,4.97798486324315,163,"catalytic step 2 spliceosome","ribonucleoprotein complex"
"GO:0045261","GO:0045261",12,"GO:0000275",0.981,4.96669729176121,4,"proton-transporting ATP synthase complex, catalytic core F(1)","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
"GO:0032993","GO:0032993",4,"GO:0032991",0.411,4.92533851877572,0,"protein-DNA complex","protein-containing complex"
"GO:0005829","GO:0005829",10,"GO:0005737",0.396,4.92533851877572,1167,"cytosol","cytoplasm"
"GO:0042555","GO:0042555",14,"GO:0042555",1,4.92197358405809,14,"MCM complex","MCM complex"
