"","GO:0005622","GO:0070013","GO:0031974","GO:0043233","GO:0043231","GO:0032991","GO:0110165","GO:0005634","GO:0031981","GO:0043227","GO:0005730","GO:0043229","GO:0043226","GO:0140513","GO:0043228","GO:0043232","GO:0005832","GO:1990904","GO:0005694","GO:0005737","GO:1902494","GO:0101031","GO:0017101","GO:0005681","GO:0030684","GO:0071011","GO:0005654","GO:0000974","GO:0005700","GO:0000785","GO:0000275","GO:0071013","GO:0005739","GO:0045261","GO:0005829","GO:0032993","GO:0042555"
"GO:0005622",0.405,0.125,0.01,0.01,0.263,0,0.051,0.195,0.118,0.022,0.082,0.318,0.026,0.131,0.013,0.167,0.049,0,0.12,0.249,0,0,0,0.089,0,0.073,0.104,0,0.083,0.099,0.05,0.074,0.123,0.052,0.123,0,0
"GO:0070013",0.125,0.941,0.941,0.941,0.226,0,0.011,0.197,0.907,0.217,0.719,0.243,0.232,0.16,0.174,0.183,0.038,0,0.152,0.105,0,0,0,0.126,0,0.11,0.839,0,0.12,0.134,0.083,0.11,0.154,0.041,0.073,0,0
"GO:0031974",0.01,0.941,0.941,0.941,0.009,0,0.011,0.008,0.907,0.009,0.719,0.009,0.009,0.006,0.007,0.007,0.003,0,0.006,0.008,0,0,0,0.005,0,0.004,0.839,0,0.005,0.005,0.003,0.004,0.006,0.003,0.006,0,0
"GO:0043233",0.01,0.941,0.941,0.941,0.214,0,0.011,0.187,0.907,0.217,0.719,0.231,0.232,0.152,0.174,0.174,0.003,0,0.144,0.008,0,0,0,0.119,0,0.104,0.839,0,0.114,0.128,0.079,0.105,0.146,0.003,0.006,0,0
"GO:0043231",0.263,0.226,0.009,0.214,0.66,0,0.028,0.524,0.345,0.632,0.251,0.47,0.452,0.379,0.273,0.287,0.046,0,0.218,0.187,0,0,0,0.27,0,0.227,0.309,0,0.157,0.183,0.16,0.228,0.357,0.049,0.106,0,0
"GO:0032991",0,0,0,0,0,0.801,0,0,0,0,0,0,0,0.602,0,0,0.266,0.548,0,0,0.607,0.279,0.283,0.445,0.349,0.379,0,0.287,0,0,0.274,0.381,0,0.283,0,0.411,0.279
"GO:0110165",0.051,0.011,0.011,0.011,0.028,0,0.125,0.019,0.011,0.029,0.007,0.036,0.037,0.012,0.016,0.016,0.004,0,0.011,0.026,0,0,0,0.008,0,0.006,0.009,0,0.007,0.009,0.004,0.006,0.011,0.004,0.011,0,0
"GO:0005634",0.195,0.197,0.008,0.187,0.524,0,0.019,0.806,0.564,0.5,0.425,0.362,0.347,0.612,0.23,0.243,0.043,0,0.191,0.15,0,0,0,0.453,0,0.386,0.512,0,0.143,0.164,0.151,0.389,0.313,0.046,0.093,0,0
"GO:0031981",0.118,0.907,0.907,0.907,0.345,0,0.011,0.564,0.953,0.327,0.761,0.229,0.219,0.462,0.166,0.175,0.038,0,0.146,0.1,0,0,0,0.365,0,0.32,0.883,0,0.116,0.13,0.131,0.322,0.239,0.04,0.071,0,0
"GO:0043227",0.022,0.217,0.009,0.217,0.632,0,0.029,0.5,0.327,0.645,0.238,0.456,0.463,0.36,0.276,0.276,0.004,0,0.209,0.015,0,0,0,0.255,0,0.214,0.293,0,0.151,0.176,0.151,0.216,0.339,0.004,0.009,0,0
"GO:0005730",0.082,0.719,0.719,0.719,0.251,0,0.007,0.425,0.761,0.238,0.99,0.164,0.156,0.364,0.524,0.524,0.033,0,0.456,0.073,0,0,0,0.301,0,0.27,0.716,0,0.378,0.415,0.115,0.271,0.19,0.035,0.056,0,0
"GO:0043229",0.318,0.243,0.009,0.231,0.47,0,0.036,0.362,0.229,0.456,0.164,0.551,0.532,0.254,0.3,0.316,0.047,0,0.234,0.214,0,0,0,0.177,0,0.147,0.204,0,0.165,0.195,0.103,0.148,0.238,0.051,0.114,0,0
