"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01212","path:dme01212",2.9429006590351e-07,0.999999940247847,23,55,4.14948992923949e-05,"Fatty acid metabolism"
"dme00280","path:dme00280",2.00850480848518e-06,0.999999689150151,16,33,0.000141599588998205,"Valine, leucine and isoleucine degradation"
"dme00640","path:dme00640",5.64405098247118e-05,0.999989963704736,13,29,0.00251357954612462,"Propanoate metabolism"
"dme00071","path:dme00071",8.58206164356903e-05,0.999982352593142,14,34,0.00251357954612462,"Fatty acid degradation"
"dme00970","path:dme00970",8.91340264583198e-05,0.999978883501109,16,42,0.00251357954612462,"Aminoacyl-tRNA biosynthesis"
"dme03008","path:dme03008",0.000751858859673249,0.999724940710126,21,76,0.0176686832023213,"Ribosome biogenesis in eukaryotes"
"dme01040","path:dme01040",0.00112112011505242,0.999766440890154,10,25,0.0225825623174846,"Biosynthesis of unsaturated fatty acids"
"dme00062","path:dme00062",0.00148904575115907,0.999749509232372,8,18,0.025841432073398,"Fatty acid elongation"
"dme03040","path:dme03040",0.00164945311106796,0.99922811532412,30,129,0.025841432073398,"Spliceosome"
"dme03018","path:dme03018",0.00278363368711113,0.998974204416108,17,62,0.0392492349882669,"RNA degradation"
"dme00410","path:dme00410",0.00507354460220507,0.998747381800917,9,25,0.0650336171737195,"beta-Alanine metabolism"
"dme00650","path:dme00650",0.0172982444851387,0.996210237529757,6,16,0.20325437270038,"Butanoate metabolism"
"dme00983","path:dme00983",0.0352519160267767,0.981446504843313,19,92,0.358267718125261,"Drug metabolism"
"dme03030","path:dme03030",0.0355726812322954,0.986900801795594,9,34,0.358267718125261,"DNA replication"
"dme04350","path:dme04350",0.0423967364311187,0.981884393890668,11,46,0.398529322452516,"TGF-beta signaling pathway"
"dme00564","path:dme00564",0.0608512555725267,0.969192548896741,14,65,0.536251689732891,"Glycerophospholipid metabolism"
"dme04213","path:dme04213",0.0856349552849917,0.956649336727917,12,57,0.710266393834343,"Longevity regulating pathway"
"dme04146","path:dme04146",0.106453527053597,0.937022996195837,17,90,0.83388596191984,"Peroxisome"
"dme00561","path:dme00561",0.120801900551218,0.939029315275068,10,48,0.896477261985351,"Glycerolipid metabolism"
"dme00982","path:dme00982",0.129523107107032,0.928834713719054,12,63,0.913137905104574,"Drug metabolism"
"dme00310","path:dme00310",0.137055362751431,0.935193940650209,8,37,0.92022886418818,"Lysine degradation"
"dme00100","path:dme00100",0.147076396656416,0.97797166590202,2,5,0.941448197255091,"Steroid biosynthesis"
"dme00980","path:dme00980",0.153569564091256,0.912679602047033,12,65,0.941448197255091,"Metabolism of xenobiotics by cytochrome P450"
"dme04070","path:dme04070",0.162777399743235,0.906473002250934,12,64,0.956317223491505,"Phosphatidylinositol signaling system"
"dme03013","path:dme03013",0.208412466671841,0.860471053262739,18,106,1,"Nucleocytoplasmic transport"
"dme00830","path:dme00830",0.214238938826532,0.898389040205125,6,29,1,"Retinol metabolism"
"dme00562","path:dme00562",0.21850237861281,0.877659707453659,9,48,1,"Inositol phosphate metabolism"
"dme00450","path:dme00450",0.233173531742975,0.923900911414407,3,12,1,"Selenocompound metabolism"
"dme00600","path:dme00600",0.237511481929065,0.883242914843392,6,30,1,"Sphingolipid metabolism"
"dme00232","path:dme00232",0.257447920367226,0.937463314242953,2,7,1,"Caffeine metabolism"
"dme00240","path:dme00240",0.261138381473398,0.858888756425828,7,38,1,"Pyrimidine metabolism"
"dme03430","path:dme03430",0.262704281291384,0.88955396774126,4,19,1,"Mismatch repair"
"dme04745","path:dme04745",0.267501122930444,0.862588887803681,6,32,1,"Phototransduction"
"dme03015","path:dme03015",0.267952647361201,0.822000748686465,14,84,1,"mRNA surveillance pathway"
"dme04120","path:dme04120",0.274762846476865,0.808826684216163,17,106,1,"Ubiquitin mediated proteolysis"
"dme03060","path:dme03060",0.286817684921808,0.873497537726847,4,21,1,"Protein export"
"dme00053","path:dme00053",0.291516945049556,0.845870493266122,6,32,1,"Ascorbate and aldarate metabolism"
"dme01232","path:dme01232",0.300171824157555,0.811183897807746,10,60,1,"Nucleotide metabolism"
"dme00061","path:dme00061",0.30877337784029,0.880766701651894,3,14,1,"Fatty acid biosynthesis"
"dme00513","path:dme00513",0.335915854263523,0.812678940388233,6,34,1,"Various types of N-glycan biosynthesis"
"dme00785","path:dme00785",0.349987023476389,0.854128376355852,3,15,1,"Lipoic acid metabolism"
"dme00770","path:dme00770",0.35143930591511,0.853187290361803,3,15,1,"Pantothenate and CoA biosynthesis"
"dme00480","path:dme00480",0.361109205284243,0.751249646798237,12,78,1,"Glutathione metabolism"
"dme04080","path:dme04080",0.372511413381498,0.745945743331857,11,72,1,"Neuroactive ligand-receptor interaction"
"dme00860","path:dme00860",0.375176701621174,0.771280883714601,7,42,1,"Porphyrin metabolism"
"dme00270","path:dme00270",0.379396637084547,0.778170389622997,6,36,1,"Cysteine and methionine metabolism"
