"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005576","GO:0005576",5.34472902378048e-12,1,127,770,"extracellular region","CC",6.41153693692706e-08
"GO:0002052","GO:0002052",1.46183259957235e-08,0.999999998877646,14,24,"positive regulation of neuroblast proliferation","BP",8.76807193223493e-05
"GO:2000179","GO:2000179",2.98000995778934e-08,0.999999997478199,14,25,"positive regulation of neural precursor cell proliferation","BP",0.00011916066484547
"GO:0005615","GO:0005615",1.43408869401228e-07,1,80,500,"extracellular space","CC",0.000430083199334283
"GO:1902692","GO:1902692",2.44704138553527e-06,0.999999538890636,17,47,"regulation of neuroblast proliferation","BP",0.00587094169217621
"GO:0071944","GO:0071944",4.60765191900961e-06,0.999997113923335,215,1656,"cell periphery","CC",0.00921223207007322
"GO:0098609","GO:0098609",5.99262414031578e-06,0.999997875163209,33,138,"cell-cell adhesion","BP",0.0102696455981754
"GO:0016491","GO:0016491",7.77137552418115e-06,0.999995937809811,80,543,"oxidoreductase activity","MF",0.0116531775985096
"GO:0060284","GO:0060284",9.93010027803224e-06,0.999996178275097,36,164,"regulation of cell development","BP",0.0132357203261416
"GO:0007155","GO:0007155",1.30642289398119e-05,0.999994431119231,44,217,"cell adhesion","BP",0.0156718490361983
"GO:0016716","GO:0016716",2.96571259033782e-05,0.999999530898546,5,6,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF",0.0306642686772015
"GO:0022408","GO:0022408",3.32834709416264e-05,0.99999734434256,8,14,"negative regulation of cell-cell adhesion","BP",0.0306642686772015
"GO:2000177","GO:2000177",3.42387785172978e-05,0.999991664029596,17,56,"regulation of neural precursor cell proliferation","BP",0.0306642686772015
"GO:0008284","GO:0008284",3.57869090930994e-05,0.999989109215149,22,86,"positive regulation of cell population proliferation","BP",0.0306642686772015
"GO:0050767","GO:0050767",4.26781614446913e-05,0.99998419621771,29,130,"regulation of neurogenesis","BP",0.0341311483127012
