"","GO:0002052","GO:2000179","GO:1902692","GO:0060284","GO:2000177","GO:0050769","GO:0008284","GO:0045595","GO:0050767","GO:0048513","GO:0007275","GO:0051962","GO:0010720","GO:0007166","GO:0045597","GO:0032501","GO:0048731","GO:0048729","GO:0044281","GO:0035295","GO:0048100","GO:0060562","GO:0002009","GO:0007389","GO:0007599","GO:0042381","GO:0050817","GO:0022008","GO:0003002","GO:0007405","GO:0009888","GO:0051960","GO:0007399","GO:0048699"
"GO:0002052",0.999,0.997,0.927,0.842,0.916,0.93,0.9,0.781,0.865,0.245,0.332,0.889,0.909,0.227,0.881,0.23,0.438,0.224,0,0.282,0.201,0.267,0.224,0.274,0.115,0.128,0.129,0.57,0.272,0.873,0.238,0.819,0.52,0.585
"GO:2000179",0.997,0.999,0.91,0.191,0.919,0.386,0.903,0.201,0.188,0,0,0.371,0.393,0.228,0.403,0,0,0,0,0,0,0,0,0,0.115,0.113,0,0.03,0,0.864,0,0.162,0,0.029
"GO:1902692",0.927,0.91,0.998,0.359,0.988,0.467,0.803,0.379,0.497,0.271,0.371,0.43,0.337,0.25,0.347,0.26,0.487,0.247,0,0.31,0.214,0.293,0.246,0.301,0.123,0.137,0.138,0.629,0.298,0.944,0.263,0.459,0.576,0.644
"GO:0060284",0.842,0.191,0.359,0.996,0.209,0.909,0.213,0.932,0.973,0.304,0.34,0.647,0.93,0.278,0.845,0,0.317,0.274,0,0.278,0.186,0.261,0.273,0.269,0.132,0.129,0,0.497,0.266,0.38,0.295,0.693,0.299,0.491
"GO:2000177",0.916,0.919,0.988,0.209,0.998,0.192,0.812,0.221,0.205,0,0,0.167,0.196,0.253,0.202,0,0,0,0,0,0,0,0,0,0.124,0.122,0,0.033,0,0.943,0,0.178,0,0.033
"GO:0050769",0.93,0.386,0.467,0.909,0.192,0.999,0.425,0.847,0.932,0.27,0.37,0.957,0.977,0.249,0.949,0.258,0.485,0.246,0,0.309,0.214,0.291,0.245,0.3,0.122,0.136,0.137,0.627,0.297,0.492,0.262,0.886,0.573,0.62
"GO:0008284",0.9,0.903,0.803,0.213,0.812,0.425,0.998,0.225,0.208,0,0,0.411,0.434,0.259,0.446,0,0,0,0,0,0,0,0,0,0.126,0.123,0,0.034,0,0.777,0,0.181,0,0.033
"GO:0045595",0.781,0.201,0.379,0.932,0.221,0.847,0.225,0.992,0.91,0.304,0.343,0.684,0.867,0.299,0.894,0,0.317,0.271,0,0.275,0.179,0.257,0.27,0.266,0.138,0.136,0,0.536,0.262,0.402,0.293,0.736,0.298,0.529
"GO:0050767",0.865,0.188,0.497,0.973,0.205,0.932,0.208,0.91,0.997,0.295,0.408,0.888,0.91,0.27,0.827,0.287,0.533,0.266,0,0.336,0.226,0.315,0.266,0.325,0.129,0.144,0.145,0.682,0.321,0.525,0.286,0.95,0.626,0.675
"GO:0048513",0.245,0,0.271,0.304,0,0.27,0,0.304,0.295,0.933,0.549,0.286,0.278,0,0.266,0,0.49,0.394,0,0.404,0.474,0.367,0.392,0.385,0,0,0,0.424,0.378,0.292,0.439,0.314,0.448,0.417
