"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04146","path:dme04146",0.000501511427012443,0.999828397778256,19,90,0.0262960597577987,"Peroxisome"
"dme01100","path:dme01100",0.000544752626300365,0.999650880002243,134,1125,0.0262960597577987,"Metabolic pathways"
"dme00280","path:dme00280",0.000559490633144654,0.999886496957156,10,33,0.0262960597577987,"Valine, leucine and isoleucine degradation"
"dme00561","path:dme00561",0.00128645251930421,0.999649859681615,12,48,0.0364195295590716,"Glycerolipid metabolism"
"dme00040","path:dme00040",0.00131510793303412,0.999640058034794,12,49,0.0364195295590716,"Pentose and glucuronate interconversions"
"dme00250","path:dme00250",0.00154976721527964,0.999669693058957,9,30,0.0364195295590716,"Alanine, aspartate and glutamate metabolism"
"dme00410","path:dme00410",0.00184589173270332,0.999643450233607,8,25,0.0371815334730239,"beta-Alanine metabolism"
"dme00270","path:dme00270",0.0042764039156789,0.998898931209962,9,36,0.0753716190138406,"Cysteine and methionine metabolism"
"dme04391","path:dme04391",0.00543716975330577,0.998022529825059,14,63,0.0851823261351238,"Hippo signaling pathway"
"dme01040","path:dme01040",0.00723556954256015,0.998380007104409,7,25,0.102021530550098,"Biosynthesis of unsaturated fatty acids"
"dme00564","path:dme00564",0.0206786561117395,0.99159325982376,12,65,0.265062773795934,"Glycerophospholipid metabolism"
"dme00400","path:dme00400",0.0241310184765265,0.999210237255954,2,3,0.283539467099187,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme04142","path:dme04142",0.0268853117479526,0.986383251158749,18,117,0.291602227420102,"Lysosome"
"dme00260","path:dme00260",0.0330451030998017,0.990632974676309,6,27,0.318263084868806,"Glycine, serine and threonine metabolism"
"dme00511","path:dme00511",0.0338577749860432,0.991886539070992,5,19,0.318263084868806,"Other glycan degradation"
"dme00071","path:dme00071",0.0370641408645966,0.987864305386205,7,34,0.318270826855901,"Fatty acid degradation"
"dme04512","path:dme04512",0.0383730784152505,0.99286819586948,4,11,0.318270826855901,"ECM-receptor interaction"
"dme00640","path:dme00640",0.0539309407264277,0.982608701554577,6,29,0.40180221202825,"Propanoate metabolism"
"dme00650","path:dme00650",0.0558231300428695,0.987132437873464,4,16,0.40180221202825,"Butanoate metabolism"
"dme04213","path:dme04213",0.0647465581932116,0.970779536196952,10,57,0.40180221202825,"Longevity regulating pathway"
"dme00600","path:dme00600",0.0672621575625801,0.976969599470335,6,30,0.40180221202825,"Sphingolipid metabolism"
"dme01212","path:dme01212",0.0695351862022276,0.969540340283721,9,55,0.40180221202825,"Fatty acid metabolism"
"dme04080","path:dme04080",0.0718930056811926,0.965269424188445,11,72,0.40180221202825,"Neuroactive ligand-receptor interaction"
"dme00053","path:dme00053",0.0729001386235378,0.974348087701377,6,32,0.40180221202825,"Ascorbate and aldarate metabolism"
"dme04330","path:dme04330",0.0732587769750029,0.97454728867397,6,28,0.40180221202825,"Notch signaling pathway"
"dme00062","path:dme00062",0.0766222757709997,0.97995918603414,4,18,0.40180221202825,"Fatty acid elongation"
"dme00531","path:dme00531",0.0772169207984363,0.979924113072828,4,17,0.40180221202825,"Glycosaminoglycan degradation"
"dme00604","path:dme00604",0.0797905101900071,0.991755682995611,2,5,0.40180221202825,"Glycosphingolipid biosynthesis"
"dme00220","path:dme00220",0.0866981563296278,0.976330492744601,4,18,0.421532415257846,"Arginine biosynthesis"
"dme04320","path:dme04320",0.104295410723656,0.95974848826527,6,31,0.490188430401185,"Dorso-ventral axis formation"
"dme00380","path:dme00380",0.117367898156251,0.963812526326925,4,20,0.533834633549402,"Tryptophan metabolism"
