"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005634","GO:0005634",5.67222308690267e-15,1,506,2726,"nucleus","CC",6.80439881504845e-11
"GO:0032991","GO:0032991",1.41251581152965e-14,1,473,2641,"protein-containing complex","CC",8.47226983755486e-11
"GO:0010467","GO:0010467",8.15893106181559e-13,1,444,2426,"gene expression","BP",2.71135485875758e-09
"GO:0009987","GO:0009987",9.04086315024202e-13,1,1159,7599,"cellular process","BP",2.71135485875758e-09
"GO:0043170","GO:0043170",1.46496435599874e-12,1,695,4195,"macromolecule metabolic process","BP",3.51474248291217e-09
"GO:0071704","GO:0071704",4.59940706222308e-12,1,821,5178,"organic substance metabolic process","BP",9.19574785307135e-09
"GO:0005622","GO:0005622",1.46068046808168e-11,1,967,6290,"intracellular anatomical structure","CC",2.5031889850154e-08
"GO:0044238","GO:0044238",5.04927277106006e-11,1,776,4883,"primary metabolic process","BP",7.57138452020456e-08
"GO:0008152","GO:0008152",6.78880546636612e-11,1,848,5456,"metabolic process","BP",9.04872337494755e-08
"GO:0034641","GO:0034641",1.28320145473525e-10,1,496,2884,"cellular nitrogen compound metabolic process","BP",1.53932846510041e-07
"GO:0003723","GO:0003723",1.54908355339252e-10,1,142,648,"RNA binding","MF",1.68934602786333e-07
"GO:0044237","GO:0044237",2.1010633159714e-10,1,738,4615,"cellular metabolic process","BP",2.10036296153274e-07
"GO:0003676","GO:0003676",2.92732718777703e-10,1,314,1638,"nucleic acid binding","MF",2.70124745727486e-07
"GO:0043226","GO:0043226",4.63648527319835e-10,1,833,5361,"organelle","CC",3.97280552409196e-07
"GO:0060255","GO:0060255",5.12539731406369e-10,1,366,1902,"regulation of macromolecule metabolic process","BP",4.09895107863387e-07
"GO:0043229","GO:0043229",9.23310098347906e-10,1,818,5269,"intracellular organelle","CC",6.92251746236342e-07
"GO:0006807","GO:0006807",1.24982256377661e-09,1,723,4567,"nitrogen compound metabolic process","BP",8.81933616180246e-07
"GO:0090304","GO:0090304",1.93695042531553e-09,1,384,2105,"nucleic acid metabolic process","BP",1.29086985011584e-06
"GO:0043231","GO:0043231",3.45836315411989e-09,1,729,4666,"intracellular membrane-bounded organelle","CC",2.18350128404327e-06
"GO:0044260","GO:0044260",3.88743469512479e-09,1,271,1514,"cellular macromolecule metabolic process","BP",2.33168333013585e-06
"GO:0019222","GO:0019222",5.96491870578259e-09,1,385,2065,"regulation of metabolic process","BP",3.40738879974133e-06
"GO:1901360","GO:1901360",7.02148274517227e-09,1,446,2555,"organic cyclic compound metabolic process","BP",3.82862304595848e-06
"GO:0046483","GO:0046483",7.46990677275165e-09,1,429,2442,"heterocycle metabolic process","BP",3.89604354982299e-06
"GO:1990904","GO:1990904",1.27696194011036e-08,1,113,567,"ribonucleoprotein complex","CC",6.3826814306516e-06
"GO:0071840","GO:0071840",1.59278449277045e-08,1,504,2870,"cellular component organization or biogenesis","BP",7.64281711010972e-06
"GO:0006139","GO:0006139",2.15985167388838e-08,1,416,2370,"nucleobase-containing compound metabolic process","BP",9.96522333844809e-06
"GO:0006725","GO:0006725",2.41248504215325e-08,1,434,2496,"cellular aromatic compound metabolic process","BP",1.0718581690989e-05
"GO:0031981","GO:0031981",3.45841527699317e-08,1,154,755,"nuclear lumen","CC",1.48168391652893e-05
"GO:0048518","GO:0048518",4.31494148910202e-08,1,326,1694,"positive regulation of biological process","BP",1.78489786562993e-05
"GO:0010468","GO:0010468",5.37777871991758e-08,1,302,1567,"regulation of gene expression","BP",2.15039445080438e-05
"GO:0016070","GO:0016070",5.92791940381726e-08,1,337,1859,"RNA metabolic process","BP",2.2939135860707e-05
"GO:0065007","GO:0065007",6.46769215515072e-08,1,708,4233,"biological regulation","BP",2.42457609666213e-05
"GO:0050789","GO:0050789",7.37018966652907e-08,1,651,3831,"regulation of biological process","BP",2.67917561332372e-05
"GO:0005654","GO:0005654",8.02870043457223e-08,1,108,480,"nucleoplasm","CC",2.83271442391554e-05
"GO:0051171","GO:0051171",9.50646943059e-08,1,319,1700,"regulation of nitrogen compound metabolic process","BP",3.25827449398165e-05
"GO:0005488","GO:0005488",9.88966687874908e-08,1,802,5076,"binding","MF",3.29545677437428e-05
"GO:0140640","GO:0140640",1.0408190039393e-07,1,86,361,"catalytic activity, acting on a nucleic acid","MF",3.3745039922313e-05
"GO:0006412","GO:0006412",1.3120317272112e-07,1,89,447,"translation","BP",4.12302187075854e-05
"GO:0005694","GO:0005694",1.34042891763574e-07,1,128,569,"chromosome","CC",4.12302187075854e-05
"GO:0043227","GO:0043227",1.4617498464049e-07,1,744,4850,"membrane-bounded organelle","CC",4.38378778936828e-05
"GO:0016043","GO:0016043",1.53980654242009e-07,1,474,2701,"cellular component organization","BP",4.50524860557839e-05
"GO:0051246","GO:0051246",1.76563830005431e-07,1,112,502,"regulation of protein metabolic process","BP",5.04299929701227e-05
"GO:0043043","GO:0043043",2.38198416149789e-07,1,97,496,"peptide biosynthetic process","BP",6.64518186077412e-05
"GO:0140535","GO:0140535",3.04402458449103e-07,1,115,562,"intracellular protein-containing complex","CC",8.29911793535328e-05
"GO:0140513","GO:0140513",3.82568862486298e-07,1,161,820,"nuclear protein-containing complex","CC",0.00010198435720857
"GO:0048522","GO:0048522",4.2429114831598e-07,1,291,1509,"positive regulation of cellular process","BP",0.000110647752504315
"GO:0044271","GO:0044271",4.41383043989385e-07,1,327,1874,"cellular nitrogen compound biosynthetic process","BP",0.000112655978631844
"GO:0006997","GO:0006997",6.53895738263324e-07,0.999999823430649,29,78,"nucleus organization","BP",0.000163419443254309
"GO:0006518","GO:0006518",7.12894786564546e-07,1,111,591,"peptide metabolic process","BP",0.000174528282849557
"GO:0080090","GO:0080090",9.10209736985449e-07,0.999999620547342,318,1725,"regulation of primary metabolic process","BP",0.000218377520097549
"GO:0051276","GO:0051276",1.31577451160256e-06,0.999999560198275,76,295,"chromosome organization","BP",0.000309490804729103
"GO:0043604","GO:0043604",1.3753933372217e-06,0.999999503646133,101,533,"amide biosynthetic process","BP",0.000317292662948299
"GO:0031974","GO:0031974",2.06662939980748e-06,0.999998933961449,170,935,"membrane-enclosed lumen","CC",0.00045909789407575
"GO:0043233","GO:0043233",2.06662939980748e-06,0.999998933961449,170,935,"organelle lumen","CC",0.00045909789407575
"GO:0009059","GO:0009059",2.86534431160762e-06,0.999998127670225,320,1841,"macromolecule biosynthetic process","BP",0.000624957642946272
"GO:0010604","GO:0010604",3.21322701238476e-06,0.999998345279493,165,795,"positive regulation of macromolecule metabolic process","BP",0.00068831912929585
"GO:0070013","GO:0070013",3.27674526828507e-06,0.999998120371434,169,934,"intracellular organelle lumen","CC",0.000689611162076275
"GO:0033044","GO:0033044",3.54353393967961e-06,0.99999901616027,27,68,"regulation of chromosome organization","BP",0.000732900571386148
"GO:0016071","GO:0016071",5.16590592881692e-06,0.999997394875965,88,403,"mRNA metabolic process","BP",0.00105034250037437
"GO:0009893","GO:0009893",6.24198252509695e-06,0.999996179833456,179,883,"positive regulation of metabolic process","BP",0.00124798037285105
"GO:0050794","GO:0050794",7.457612279295e-06,0.999994492369767,592,3509,"regulation of cellular process","BP",0.00146658224430201
"GO:0007049","GO:0007049",1.01554906015153e-05,0.99999375797324,150,721,"cell cycle","BP",0.0019649236331577
"GO:0019538","GO:0019538",1.10877387455613e-05,0.999991943427567,372,2330,"protein metabolic process","BP",0.00210440010773567
"GO:0000779","GO:0000779",1.12272096444717e-05,0.999997425937803,19,48,"condensed chromosome, centromeric region","CC",0.00210440010773567
"GO:0044248","GO:0044248",1.21147302225762e-05,0.999992214136606,170,912,"cellular catabolic process","BP",0.00223582005769268
"GO:1901363","GO:1901363",1.25058521149253e-05,0.999990784375253,437,2586,"heterocyclic compound binding","MF",0.00227303336319158
"GO:0043603","GO:0043603",1.29169025615939e-05,0.999992332724594,119,667,"cellular amide metabolic process","BP",0.00231270392729671
"GO:0098687","GO:0098687",1.31308948598451e-05,0.999994349034045,46,167,"chromosomal region","CC",0.00231644433439268
"GO:0110165","GO:0110165",1.38609474178689e-05,0.999990504739619,1193,8341,"cellular anatomical entity","CC",0.00240979601775008
"GO:0010629","GO:0010629",1.47149458347655e-05,0.999992252016552,82,351,"negative regulation of gene expression","BP",0.00252172128905496
"GO:0051173","GO:0051173",1.69339447108587e-05,0.999989336896296,149,725,"positive regulation of nitrogen compound metabolic process","BP",0.00285385596304858
"GO:0003727","GO:0003727",1.71288453934226e-05,0.999996392235041,17,40,"single-stranded RNA binding","MF",0.00285385596304858
"GO:0004812","GO:0004812",1.81881764646355e-05,0.999996481865689,15,38,"aminoacyl-tRNA ligase activity","MF",0.00288775556422001
"GO:0006418","GO:0006418",1.81881764646355e-05,0.999996481865689,15,38,"tRNA aminoacylation for protein translation","BP",0.00288775556422001
"GO:0016875","GO:0016875",1.81881764646355e-05,0.999996481865689,15,38,"ligase activity, forming carbon-oxygen bonds","MF",0.00288775556422001
"GO:0031323","GO:0031323",1.82952169790531e-05,0.999986765977871,319,1774,"regulation of cellular metabolic process","BP",0.00288775556422001
"GO:0097159","GO:0097159",1.98105671509689e-05,0.999985139767945,438,2605,"organic cyclic compound binding","MF",0.00308633199406523
"GO:0048519","GO:0048519",2.09048899912295e-05,0.999985209662052,274,1459,"negative regulation of biological process","BP",0.00321506487608704
"GO:0008023","GO:0008023",2.13121346405819e-05,0.99999542672498,17,40,"transcription elongation factor complex","CC",0.00323620717909393
"GO:0006417","GO:0006417",2.21461318391287e-05,0.999990495645163,43,162,"regulation of translation","BP",0.00332081246927735
"GO:0043228","GO:0043228",2.3706369489975e-05,0.999983093672937,271,1555,"non-membrane-bounded organelle","CC",0.00346806839514317
"GO:0043232","GO:0043232",2.3706369489975e-05,0.999983093672937,271,1555,"intracellular non-membrane-bounded organelle","CC",0.00346806839514317
"GO:0009056","GO:0009056",2.43744909681838e-05,0.99998354769867,190,1062,"catabolic process","BP",0.00352284811631726
"GO:0010646","GO:0010646",2.76627500847724e-05,0.999981477270246,182,912,"regulation of cell communication","BP",0.0038974384371346
"GO:0023051","GO:0023051",2.76627500847724e-05,0.999981477270246,182,912,"regulation of signaling","BP",0.0038974384371346
"GO:0000776","GO:0000776",2.79409557847262e-05,0.999993716763278,17,43,"kinetochore","CC",0.0038974384371346
"GO:0005829","GO:0005829",3.02339223959109e-05,0.999980342143013,154,859,"cytosol","CC",0.00416880612714191
"GO:0004386","GO:0004386",3.20963921925359e-05,0.999989214367016,28,81,"helicase activity","MF",0.00437532182660978
"GO:0010608","GO:0010608",3.41123483519863e-05,0.999983502978334,55,225,"post-transcriptional regulation of gene expression","BP",0.00452533668958522
"GO:0044249","GO:0044249",3.41818755679219e-05,0.999974307638188,381,2323,"cellular biosynthetic process","BP",0.00452533668958522
"GO:0017101","GO:0017101",3.43285794224954e-05,0.99999825493662,7,10,"aminoacyl-tRNA synthetase multienzyme complex","CC",0.00452533668958522
"GO:0006397","GO:0006397",3.62276642331756e-05,0.999980920552286,69,317,"mRNA processing","BP",0.00470684653961137
"GO:0034248","GO:0034248",3.64902240900181e-05,0.999982670255713,52,212,"regulation of cellular amide metabolic process","BP",0.00470684653961137
"GO:0043039","GO:0043039",3.72513194621132e-05,0.999992179630458,15,40,"tRNA aminoacylation","BP",0.00475390242837777
"GO:0003729","GO:0003729",3.82791685812711e-05,0.999981246600662,56,235,"mRNA binding","MF",0.00483365164527293
"GO:0010605","GO:0010605",3.93715891222749e-05,0.999974422438695,148,720,"negative regulation of macromolecule metabolic process","BP",0.00491980815740427
"GO:0048583","GO:0048583",4.00961979515325e-05,0.999972588095523,192,979,"regulation of response to stimulus","BP",0.00495870093429468
"GO:0017056","GO:0017056",5.5171831572242e-05,0.999992599228228,11,20,"structural constituent of nuclear pore","MF",0.00675348256674097
"GO:0051248","GO:0051248",5.59684176877754e-05,0.999974080881333,46,180,"negative regulation of protein metabolic process","BP",0.00678178927861166
"GO:0034504","GO:0034504",6.09821375455898e-05,0.999981245518505,23,64,"protein localization to nucleus","BP",0.00724654277387507
"GO:1901576","GO:1901576",6.10120723709055e-05,0.9999536397332,383,2353,"organic substance biosynthetic process","BP",0.00724654277387507
"GO:0031325","GO:0031325",6.2451302097689e-05,0.999958625905261,152,752,"positive regulation of cellular metabolic process","BP",0.00734476294082232
"GO:0006396","GO:0006396",6.73766099140727e-05,0.999957911940267,112,606,"RNA processing","BP",0.00783560961303741
"GO:0044265","GO:0044265",6.79312603997908e-05,0.999959285759282,95,476,"cellular macromolecule catabolic process","BP",0.00783560961303741
"GO:0045935","GO:0045935",7.08074316131154e-05,0.99995649688568,107,488,"positive regulation of nucleobase-containing compound metabolic process","BP",0.00808958047267555
"GO:0048523","GO:0048523",7.25785254472069e-05,0.999948050701066,230,1209,"negative regulation of cellular process","BP",0.008213698030799
"GO:0034645","GO:0034645",7.5158985463833e-05,0.999952762124121,111,642,"cellular macromolecule biosynthetic process","BP",0.00842623541704804
"GO:1901575","GO:1901575",8.03164219501682e-05,0.999945811317655,157,878,"organic substance catabolic process","BP",0.00892107220105757
"GO:0009058","GO:0009058",8.3215182919734e-05,0.999936287382681,385,2374,"biosynthetic process","BP",0.00909432712150497
"GO:0043038","GO:0043038",8.33924627680516e-05,0.999980854888597,15,42,"amino acid activation","BP",0.00909432712150497
"GO:2000112","GO:2000112",8.46823576867813e-05,0.999961042760042,43,171,"regulation of cellular macromolecule biosynthetic process","BP",0.00915179786315882
"GO:0006606","GO:0006606",0.000111375779120929,0.9999674404464,20,55,"protein import into nucleus","BP",0.0119291414851309
"GO:0034249","GO:0034249",0.000113897414546064,0.9999583314162,27,90,"negative regulation of cellular amide metabolic process","BP",0.0120912688928725
"GO:0009892","GO:0009892",0.000115985086992961,0.999921627925128,154,774,"negative regulation of metabolic process","BP",0.0121557275255874
"GO:0030371","GO:0030371",0.000116531232531056,0.999977709728239,13,28,"translation repressor activity","MF",0.0121557275255874
"GO:0022402","GO:0022402",0.000119522005176269,0.999923093589995,120,577,"cell cycle process","BP",0.012360223914608
"GO:0005637","GO:0005637",0.000125798827003217,0.999988512173482,8,13,"nuclear inner membrane","CC",0.0128981429806033
"GO:0140098","GO:0140098",0.00012941918266069,0.999933573944423,53,244,"catalytic activity, acting on RNA","MF",0.0131568857220139
"GO:0009057","GO:0009057",0.000131643915882469,0.999916951082991,107,560,"macromolecule catabolic process","BP",0.0132705917220681
