"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0010467","GO:0010467",1,"GO:0010467",0.873,10.1672102397245,2,"gene expression","gene expression"
"GO:0009987","GO:0009987",2,"GO:0009987",0.357,10.0720002206184,2,"cellular process","cellular process"
"GO:0071704","GO:0071704",1,"GO:0010467",0.554,8.56681363877703,1,"organic substance metabolic process","gene expression"
"GO:0043170","GO:0043170",1,"GO:0010467",0.645,8.56681363877703,0,"macromolecule metabolic process","gene expression"
"GO:0044238","GO:0044238",1,"GO:0010467",0.496,8.45410648923511,0,"primary metabolic process","gene expression"
"GO:0008152","GO:0008152",1,"GO:0010467",0.523,8.03641294557164,0,"metabolic process","gene expression"
"GO:0034641","GO:0034641",1,"GO:0010467",0.43,7.60150636091873,0,"cellular nitrogen compound metabolic process","gene expression"
"GO:0044237","GO:0044237",1,"GO:0010467",0.484,7.12082469718355,2,"cellular metabolic process","gene expression"
"GO:0060255","GO:0060255",3,"GO:0060255",0.913,7.04341268823396,0,"regulation of macromolecule metabolic process","regulation of macromolecule metabolic process"
"GO:0006807","GO:0006807",1,"GO:0010467",0.486,6.81266869962272,6,"nitrogen compound metabolic process","gene expression"
"GO:0090304","GO:0090304",1,"GO:0010467",0.527,6.77228138500573,0,"nucleic acid metabolic process","gene expression"
"GO:0044260","GO:0044260",4,"GO:0044260",0.926,6.67770564880422,0,"cellular macromolecule metabolic process","cellular macromolecule metabolic process"
"GO:0019222","GO:0019222",3,"GO:0060255",0.892,6.56843562891648,2,"regulation of metabolic process","regulation of macromolecule metabolic process"
"GO:1901360","GO:1901360",1,"GO:0010467",0.443,6.4009026939129,0,"organic cyclic compound metabolic process","gene expression"
"GO:0046483","GO:0046483",1,"GO:0010467",0.406,6.387327264998,0,"heterocycle metabolic process","gene expression"
"GO:0071840","GO:0071840",5,"GO:0071840",0.85,6.15973594005353,0,"cellular component organization or biogenesis","cellular component organization or biogenesis"
"GO:0006139","GO:0006139",1,"GO:0010467",0.436,6.05456410331672,8,"nucleobase-containing compound metabolic process","gene expression"
"GO:0006725","GO:0006725",1,"GO:0010467",0.407,5.88911754257158,0,"cellular aromatic compound metabolic process","gene expression"
"GO:0048518","GO:0048518",6,"GO:0048518",0.931,5.66084654834867,0,"positive regulation of biological process","positive regulation of biological process"
"GO:0010468","GO:0010468",3,"GO:0060255",0.881,5.63233043217765,107,"regulation of gene expression","regulation of macromolecule metabolic process"
"GO:0016070","GO:0016070",1,"GO:0010467",0.505,5.4675783084784,5,"RNA metabolic process","gene expression"
"GO:0065007","GO:0065007",7,"GO:0065007",0.715,5.41695739080014,0,"biological regulation","biological regulation"
"GO:0050789","GO:0050789",7,"GO:0065007",0.683,5.40937619723949,0,"regulation of biological process","biological regulation"
"GO:0051171","GO:0051171",3,"GO:0060255",0.838,5.19499683132811,0,"regulation of nitrogen compound metabolic process","regulation of macromolecule metabolic process"
"GO:0006412","GO:0006412",8,"GO:0006412",0.972,5.11674653280289,545,"translation","translation"
"GO:0016043","GO:0016043",5,"GO:0071840",0.841,5.00151296353964,0,"cellular component organization","cellular component organization or biogenesis"
"GO:0051246","GO:0051246",3,"GO:0060255",0.683,4.96986267775222,0,"regulation of protein metabolic process","regulation of macromolecule metabolic process"
"GO:0043043","GO:0043043",8,"GO:0006412",0.963,4.82924443329888,0,"peptide biosynthetic process","translation"
"GO:0048522","GO:0048522",6,"GO:0048518",0.902,4.74838662978281,0,"positive regulation of cellular process","positive regulation of biological process"
"GO:0044271","GO:0044271",9,"GO:0044271",0.911,4.66748186934248,0,"cellular nitrogen compound biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:0006997","GO:0006997",10,"GO:0006997",0.998,4.63942294641711,9,"nucleus organization","nucleus organization"
"GO:0006518","GO:0006518",8,"GO:0006412",0.946,4.61536418076197,6,"peptide metabolic process","translation"
"GO:0080090","GO:0080090",3,"GO:0060255",0.839,4.57199881853147,0,"regulation of primary metabolic process","regulation of macromolecule metabolic process"
"GO:0051276","GO:0051276",10,"GO:0006997",0.452,4.5477972060546,52,"chromosome organization","nucleus organization"
"GO:0043604","GO:0043604",8,"GO:0006412",0.957,4.48701233126142,0,"amide biosynthetic process","translation"
"GO:0009059","GO:0009059",9,"GO:0044271",0.811,4.48208438051109,0,"macromolecule biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:0010604","GO:0010604",6,"GO:0048518",0.785,4.47179005372707,0,"positive regulation of macromolecule metabolic process","positive regulation of biological process"
"GO:0016071","GO:0016071",1,"GO:0010467",0.376,4.38478436145754,0,"mRNA metabolic process","gene expression"
"GO:0033044","GO:0033044",10,"GO:0006997",0.393,4.38478436145754,1,"regulation of chromosome organization","nucleus organization"
"GO:0009893","GO:0009893",6,"GO:0048518",0.799,4.35815047736516,0,"positive regulation of metabolic process","positive regulation of biological process"
"GO:0050794","GO:0050794",7,"GO:0065007",0.637,4.34628123907961,0,"regulation of cellular process","biological regulation"
"GO:0007049","GO:0007049",11,"GO:0007049",0.962,4.29731109238096,0,"cell cycle","cell cycle"
"GO:0019538","GO:0019538",1,"GO:0010467",0.533,4.17749312908545,1,"protein metabolic process","gene expression"
"GO:0044248","GO:0044248",12,"GO:0044248",0.968,4.08096806378844,0,"cellular catabolic process","cellular catabolic process"
"GO:0043603","GO:0043603",8,"GO:0006412",0.934,3.99146643705168,0,"cellular amide metabolic process","translation"
"GO:0010629","GO:0010629",13,"GO:0010629",0.984,3.9560574031094,78,"negative regulation of gene expression","negative regulation of gene expression"
"GO:0051173","GO:0051173",6,"GO:0048518",0.771,3.94824575540113,0,"positive regulation of nitrogen compound metabolic process","positive regulation of biological process"
"GO:0006418","GO:0006418",14,"GO:0006418",0.998,3.78669627341127,0,"tRNA aminoacylation for protein translation","tRNA aminoacylation for protein translation"
"GO:0031323","GO:0031323",3,"GO:0060255",0.842,3.75813418423383,2,"regulation of cellular metabolic process","regulation of macromolecule metabolic process"
"GO:0048519","GO:0048519",13,"GO:0010629",0.74,3.66079207018008,0,"negative regulation of biological process","negative regulation of gene expression"
"GO:0006417","GO:0006417",4,"GO:0044260",0.625,3.50935224976094,21,"regulation of translation","cellular macromolecule metabolic process"
"GO:0009056","GO:0009056",12,"GO:0044248",0.936,3.49853997037645,1,"catabolic process","cellular catabolic process"
"GO:0023051","GO:0023051",15,"GO:0023051",0.962,3.33809469937813,0,"regulation of signaling","regulation of signaling"
"GO:0010646","GO:0010646",7,"GO:0065007",0.397,3.33809469937813,0,"regulation of cell communication","biological regulation"
"GO:0010608","GO:0010608",3,"GO:0060255",0.633,3.20414941634884,6,"post-transcriptional regulation of gene expression","regulation of macromolecule metabolic process"
"GO:0044249","GO:0044249",9,"GO:0044271",0.858,3.16221016066247,0,"cellular biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:0006397","GO:0006397",1,"GO:0010467",0.567,3.16139571761707,22,"mRNA processing","gene expression"
"GO:0034248","GO:0034248",8,"GO:0006412",0.764,3.1349549397208,0,"regulation of cellular amide metabolic process","translation"
"GO:0043039","GO:0043039",14,"GO:0006418",0.992,2.9786690611509,1,"tRNA aminoacylation","tRNA aminoacylation for protein translation"
"GO:0010605","GO:0010605",13,"GO:0010629",0.894,2.90379224480545,0,"negative regulation of macromolecule metabolic process","negative regulation of gene expression"
"GO:0048583","GO:0048583",16,"GO:0048583",0.957,2.83369357724873,0,"regulation of response to stimulus","regulation of response to stimulus"
"GO:0051248","GO:0051248",3,"GO:0060255",0.597,2.70665432383446,0,"negative regulation of protein metabolic process","regulation of macromolecule metabolic process"
"GO:1901576","GO:1901576",9,"GO:0044271",0.849,2.67687168464098,0,"organic substance biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:0034504","GO:0034504",17,"GO:0034504",0.998,2.67687168464098,4,"protein localization to nucleus","protein localization to nucleus"
"GO:0031325","GO:0031325",6,"GO:0048518",0.773,2.65056315208069,0,"positive regulation of cellular metabolic process","positive regulation of biological process"
"GO:0006396","GO:0006396",1,"GO:0010467",0.627,2.64339418972876,21,"RNA processing","gene expression"
"GO:0044265","GO:0044265",12,"GO:0044248",0.886,2.63587996211547,0,"cellular macromolecule catabolic process","cellular catabolic process"
"GO:0045935","GO:0045935",6,"GO:0048518",0.725,2.63517813170368,0,"positive regulation of nucleobase-containing compound metabolic process","positive regulation of biological process"
"GO:0048523","GO:0048523",13,"GO:0010629",0.707,2.61801971763875,0,"negative regulation of cellular process","negative regulation of gene expression"
"GO:0034645","GO:0034645",4,"GO:0044260",0.808,2.59830291511198,0,"cellular macromolecule biosynthetic process","cellular macromolecule metabolic process"
"GO:0009058","GO:0009058",9,"GO:0044271",0.85,2.54456794994308,11,"biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:1901575","GO:1901575",12,"GO:0044248",0.905,2.54456794994308,2,"organic substance catabolic process","cellular catabolic process"
"GO:0034249","GO:0034249",8,"GO:0006412",0.705,2.53943957066028,0,"negative regulation of cellular amide metabolic process","translation"
"GO:0006606","GO:0006606",17,"GO:0034504",0.978,2.53943957066028,58,"protein import into nucleus","protein localization to nucleus"
"GO:2000112","GO:2000112",4,"GO:0044260",0.627,2.53943957066028,0,"regulation of cellular macromolecule biosynthetic process","cellular macromolecule metabolic process"
"GO:0043038","GO:0043038",14,"GO:0006418",0.99,2.53943957066028,0,"amino acid activation","tRNA aminoacylation for protein translation"
"GO:0009892","GO:0009892",13,"GO:0010629",0.886,2.51055735907798,0,"negative regulation of metabolic process","negative regulation of gene expression"
"GO:0022402","GO:0022402",11,"GO:0007049",0.929,2.4928102591185,0,"cell cycle process","cell cycle"
"GO:0009057","GO:0009057",12,"GO:0044248",0.856,2.48996368302482,0,"macromolecule catabolic process","cellular catabolic process"
"GO:0033365","GO:0033365",17,"GO:0034504",0.881,2.47875564889954,2,"protein localization to organelle","protein localization to nucleus"
"GO:0051170","GO:0051170",17,"GO:0034504",0.462,2.45991234621879,1,"import into nucleus","protein localization to nucleus"
"GO:0044085","GO:0044085",5,"GO:0071840",0.656,2.45991234621879,0,"cellular component biogenesis","cellular component organization or biogenesis"
"GO:0009966","GO:0009966",15,"GO:0023051",0.943,2.45310608053923,14,"regulation of signal transduction","regulation of signaling"
"GO:0018279","GO:0018279",18,"GO:0018279",1,2.40922073608111,8,"protein N-linked glycosylation via asparagine","protein N-linked glycosylation via asparagine"
"GO:0018196","GO:0018196",18,"GO:0018279",1,2.40922073608111,0,"peptidyl-asparagine modification","protein N-linked glycosylation via asparagine"
"GO:0017148","GO:0017148",4,"GO:0044260",0.581,2.40922073608111,60,"negative regulation of translation","cellular macromolecule metabolic process"
"GO:0006950","GO:0006950",16,"GO:0048583",0.499,2.37998830153244,0,"response to stress","regulation of response to stimulus"
"GO:0051254","GO:0051254",6,"GO:0048518",0.719,2.35898999695473,0,"positive regulation of RNA metabolic process","positive regulation of biological process"
"GO:0000280","GO:0000280",10,"GO:0006997",0.456,2.34434910331197,4,"nuclear division","nucleus organization"
"GO:0010557","GO:0010557",6,"GO:0048518",0.716,2.34434910331197,0,"positive regulation of macromolecule biosynthetic process","positive regulation of biological process"
"GO:0022613","GO:0022613",5,"GO:0071840",0.486,2.34434910331197,0,"ribonucleoprotein complex biogenesis","cellular component organization or biogenesis"
"GO:0034660","GO:0034660",1,"GO:0010467",0.363,2.32726996104892,0,"ncRNA metabolic process","gene expression"
"GO:2000113","GO:2000113",4,"GO:0044260",0.582,2.32726996104892,0,"negative regulation of cellular macromolecule biosynthetic process","cellular macromolecule metabolic process"
"GO:0008589","GO:0008589",15,"GO:0023051",0.692,2.32294973620733,2,"regulation of smoothened signaling pathway","regulation of signaling"
"GO:0072594","GO:0072594",17,"GO:0034504",0.854,2.31572465181566,2,"establishment of protein localization to organelle","protein localization to nucleus"
"GO:0010498","GO:0010498",12,"GO:0044248",0.768,2.30805183174587,27,"proteasomal protein catabolic process","cellular catabolic process"
"GO:0019395","GO:0019395",19,"GO:0019395",0.999,2.30463208378434,3,"fatty acid oxidation","fatty acid oxidation"
"GO:1901564","GO:1901564",1,"GO:0010467",0.453,2.17047221687466,0,"organonitrogen compound metabolic process","gene expression"
"GO:0065003","GO:0065003",5,"GO:0071840",0.528,2.16865570859478,2,"protein-containing complex assembly","cellular component organization or biogenesis"
"GO:0051169","GO:0051169",17,"GO:0034504",0.504,2.13986913995775,0,"nuclear transport","protein localization to nucleus"
"GO:0006913","GO:0006913",17,"GO:0034504",0.504,2.13986913995775,12,"nucleocytoplasmic transport","protein localization to nucleus"
"GO:0048285","GO:0048285",10,"GO:0006997",0.458,2.1340222169131,0,"organelle fission","nucleus organization"
"GO:0000278","GO:0000278",11,"GO:0007049",0.865,2.10592720962563,170,"mitotic cell cycle","cell cycle"
"GO:0031328","GO:0031328",6,"GO:0048518",0.727,2.10592720962563,0,"positive regulation of cellular biosynthetic process","positive regulation of biological process"
"GO:0009891","GO:0009891",6,"GO:0048518",0.727,2.09207400040582,0,"positive regulation of biosynthetic process","positive regulation of biological process"
"GO:0006354","GO:0006354",9,"GO:0044271",0.498,2.08546126763386,0,"DNA-templated transcription elongation","cellular nitrogen compound biosynthetic process"
"GO:0034440","GO:0034440",19,"GO:0019395",0.998,2.07436641146876,1,"lipid oxidation","fatty acid oxidation"
"GO:0010556","GO:0010556",9,"GO:0044271",0.728,2.04958294573386,0,"regulation of macromolecule biosynthetic process","cellular nitrogen compound biosynthetic process"
"GO:0006403","GO:0006403",17,"GO:0034504",0.591,2.04122942834628,3,"RNA localization","protein localization to nucleus"
"GO:0033045","GO:0033045",10,"GO:0006997",0.379,2.04122942834628,0,"regulation of sister chromatid segregation","nucleus organization"
"GO:0051128","GO:0051128",5,"GO:0071840",0.571,2.03849358075868,0,"regulation of cellular component organization","cellular component organization or biogenesis"
"GO:0051028","GO:0051028",17,"GO:0034504",0.526,1.92339081045258,13,"mRNA transport","protein localization to nucleus"
"GO:0032501","GO:0032501",20,"GO:0032501",0.745,1.91752812062343,0,"multicellular organismal process","multicellular organismal process"
"GO:0045893","GO:0045893",6,"GO:0048518",0.706,1.91521904332886,151,"positive regulation of DNA-templated transcription","positive regulation of biological process"
"GO:0006635","GO:0006635",19,"GO:0019395",0.991,1.91521904332886,37,"fatty acid beta-oxidation","fatty acid oxidation"
"GO:1902680","GO:1902680",6,"GO:0048518",0.706,1.90797366160984,0,"positive regulation of RNA biosynthetic process","positive regulation of biological process"
"GO:1903508","GO:1903508",6,"GO:0048518",0.706,1.8894728130598,0,"positive regulation of nucleic acid-templated transcription","positive regulation of biological process"
"GO:0071103","GO:0071103",10,"GO:0006997",0.364,1.88084689748529,0,"DNA conformation change","nucleus organization"
"GO:0008356","GO:0008356",21,"GO:0008356",0.997,1.8771097119585,27,"asymmetric cell division","asymmetric cell division"
"GO:0006999","GO:0006999",10,"GO:0006997",0.855,1.87451773192038,11,"nuclear pore organization","nucleus organization"
"GO:0022607","GO:0022607",5,"GO:0071840",0.637,1.84716539158569,0,"cellular component assembly","cellular component organization or biogenesis"
"GO:0000375","GO:0000375",1,"GO:0010467",0.551,1.83825672381432,3,"RNA splicing, via transesterification reactions","gene expression"
"GO:0000377","GO:0000377",1,"GO:0010467",0.55,1.82163613756721,0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","gene expression"
"GO:0000398","GO:0000398",1,"GO:0010467",0.55,1.8134417307208,340,"mRNA splicing, via spliceosome","gene expression"
