"","GO:0010467","GO:0009987","GO:0043170","GO:0071704","GO:0044238","GO:0008152","GO:0034641","GO:0044237","GO:0060255","GO:0006807","GO:0090304","GO:0044260","GO:0019222","GO:1901360","GO:0046483","GO:0071840","GO:0006139","GO:0006725","GO:0048518","GO:0010468","GO:0016070","GO:0065007","GO:0050789","GO:0051171","GO:0006412","GO:0016043","GO:0051246","GO:0043043","GO:0048522","GO:0044271","GO:0006997","GO:0006518","GO:0080090","GO:0051276","GO:0043604","GO:0009059","GO:0010604","GO:0033044","GO:0016071","GO:0009893","GO:0050794","GO:0007049","GO:0019538","GO:0044248","GO:0043603","GO:0010629","GO:0051173","GO:0006418","GO:0031323","GO:0048519","GO:0006417","GO:0009056","GO:0010646","GO:0023051","GO:0010608","GO:0044249","GO:0006397","GO:0034248","GO:0043039","GO:0010605","GO:0048583","GO:0051248","GO:0034504","GO:1901576","GO:0031325","GO:0006396","GO:0044265","GO:0045935","GO:0048523","GO:0034645","GO:1901575","GO:0009058","GO:0043038","GO:2000112","GO:0006606","GO:0034249","GO:0009892","GO:0022402","GO:0009057","GO:0033365","GO:0044085","GO:0051170","GO:0009966","GO:0017148","GO:0018196","GO:0018279","GO:0006950","GO:0051254","GO:0022613","GO:0010557","GO:0000280","GO:2000113","GO:0034660","GO:0008589","GO:0072594","GO:0010498","GO:0019395","GO:1901564","GO:0065003","GO:0006913","GO:0051169","GO:0048285","GO:0031328","GO:0000278","GO:0009891","GO:0006354","GO:0034440","GO:0010556","GO:0033045","GO:0006403","GO:0051128","GO:0051028","GO:0032501","GO:0006635","GO:0045893","GO:1902680","GO:1903508","GO:0071103","GO:0008356","GO:0006999","GO:0022607","GO:0000375","GO:0000377","GO:0000398"
"GO:0010467",0.873,0,0.645,0.554,0.496,0.523,0.43,0.484,0.508,0.486,0.527,0.49,0.387,0.443,0.406,0,0.436,0.407,0,0.77,0.505,0,0,0.362,0.639,0,0.372,0.332,0,0.382,0,0.338,0.363,0,0.309,0.508,0.398,0,0.376,0.304,0,0,0.533,0.311,0.317,0.582,0.293,0.429,0.364,0,0.502,0.322,0,0,0.541,0.399,0.567,0.246,0.275,0.41,0,0.323,0,0.433,0.294,0.627,0.371,0.296,0,0.422,0.334,0.401,0.224,0.321,0,0.224,0.31,0,0.384,0,0,0,0,0.465,0.212,0.212,0,0.361,0,0.36,0,0.296,0.363,0,0,0.336,0.212,0.453,0,0,0,0,0.274,0,0.274,0.423,0.212,0.452,0,0,0,0,0,0.209,0.558,0.354,0.558,0,0,0,0,0.551,0.55,0.55
"GO:0009987",0,0.357,0,0,0,0,0.133,0.164,0,0,0.116,0.103,0,0,0.121,0.135,0.12,0.122,0,0,0.108,0,0,0,0.078,0.132,0,0.079,0.095,0.11,0.048,0.081,0,0.064,0.08,0,0,0.048,0.071,0,0.157,0.084,0,0.081,0.083,0,0,0.047,0.102,0,0.057,0,0.085,0,0,0.117,0.066,0.059,0.047,0,0,0,0.048,0,0.075,0.076,0.069,0.068,0.091,0.083,0,0,0.047,0.057,0.046,0.052,0,0.079,0,0.059,0.091,0.046,0.082,0.051,0,0.034,0,0.067,0.061,0,0.065,0.052,0.067,0.05,0.055,0,0.044,0,0.068,0.054,0.054,0.066,0.068,0.07,0,0.046,0.044,0,0.045,0,0.075,0,0,0.043,0.065,0.065,0.065,0.042,0.05,0.037,0.087,0.064,0.064,0.064
"GO:0043170",0.645,0,0.772,0.671,0.596,0.636,0.503,0.579,0.583,0.583,0.608,0.561,0.446,0.514,0.47,0,0.505,0.473,0,0.558,0.58,0,0,0.413,0.452,0,0.411,0.37,0,0.439,0,0.378,0.414,0,0.345,0.584,0.443,0,0.416,0.339,0,0,0.617,0.348,0.355,0.408,0.325,0.293,0.415,0,0.347,0.361,0,0,0.376,0.461,0.396,0.269,0.296,0.457,0,0.352,0,0.501,0.326,0.443,0.41,0.326,0,0.473,0.373,0.464,0.241,0.349,0,0.242,0.347,0,0.425,0,0,0,0,0.32,0.224,0.224,0,0.398,0,0.396,0,0.32,0.4,0,0,0.368,0.227,0.528,0,0,0,0,0.302,0,0.303,0.288,0.227,0.511,0,0,0,0,0,0.224,0.389,0.389,0.389,0,0,0,0,0.384,0.384,0.384
"GO:0071704",0.554,0,0.671,0.723,0.64,0.686,0.534,0.621,0.498,0.624,0.521,0.478,0.47,0.544,0.497,0,0.534,0.5,0,0.476,0.495,0,0,0.434,0.382,0,0.346,0.386,0,0.462,0,0.394,0.434,0,0.359,0.499,0.374,0,0.35,0.353,0,0,0.529,0.362,0.37,0.343,0.337,0.244,0.436,0,0.29,0.377,0,0,0.315,0.487,0.333,0.278,0.246,0.386,0,0.294,0,0.529,0.339,0.373,0.345,0.338,0,0.4,0.388,0.49,0.247,0.292,0,0.249,0.361,0,0.358,0,0,0,0,0.266,0.185,0.185,0,0.334,0,0.333,0,0.267,0.336,0,0,0.308,0.232,0.559,0,0,0,0,0.313,0,0.313,0.24,0.233,0.434,0,0,0,0,0,0.229,0.327,0.327,0.327,0,0,0,0,0.322,0.322,0.322
"GO:0044238",0.496,0,0.596,0.64,0.753,0.656,0.515,0.596,0.447,0.599,0.573,0.429,0.456,0.486,0.481,0,0.586,0.484,0,0.427,0.545,0,0,0.422,0.423,0,0.384,0.348,0,0.449,0,0.356,0.518,0,0.351,0.447,0.338,0,0.389,0.345,0,0,0.581,0.354,0.361,0.311,0.33,0.273,0.424,0,0.324,0.368,0,0,0.286,0.472,0.37,0.273,0.275,0.349,0,0.328,0,0.474,0.331,0.414,0.312,0.375,0,0.361,0.351,0.475,0.276,0.265,0,0.245,0.352,0,0.324,0,0,0,0,0.298,0.208,0.208,0,0.371,0,0.301,0,0.243,0.373,0,0,0.343,0.26,0.5,0,0,0,0,0.307,0,0.307,0.268,0.26,0.391,0,0,0,0,0,0.257,0.363,0.363,0.363,0,0,0,0,0.358,0.358,0.358
"GO:0008152",0.523,0,0.636,0.686,0.656,0.704,0.545,0.636,0.469,0.639,0.491,0.449,0.479,0.513,0.507,0,0.503,0.51,0,0.447,0.466,0,0,0.441,0.358,0,0.324,0.362,0,0.471,0,0.37,0.442,0,0.364,0.469,0.35,0,0.327,0.358,0,0,0.498,0.367,0.375,0.321,0.342,0.227,0.444,0,0.271,0.382,0,0,0.295,0.496,0.311,0.281,0.23,0.362,0,0.275,0,0.499,0.343,0.35,0.323,0.316,0,0.375,0.364,0.5,0.23,0.273,0,0.251,0.366,0,0.336,0,0,0,0,0.249,0.172,0.172,0,0.313,0,0.311,0,0.249,0.314,0,0,0.288,0.217,0.527,0,0,0,0,0.317,0,0.317,0.224,0.217,0.407,0,0,0,0,0,0.214,0.306,0.306,0.306,0,0,0,0,0.301,0.301,0.301
"GO:0034641",0.43,0.133,0.503,0.534,0.515,0.545,0.855,0.67,0.392,0.663,0.784,0.504,0.399,0.423,0.558,0.082,0.8,0.56,0,0.377,0.75,0,0,0.489,0.599,0.081,0.374,0.605,0.066,0.757,0.039,0.616,0.373,0.049,0.609,0.393,0.306,0.039,0.554,0.312,0.09,0.06,0.542,0.425,0.624,0.283,0.393,0.4,0.499,0,0.469,0.33,0.06,0,0.263,0.548,0.53,0.483,0.403,0.315,0,0.324,0.039,0.413,0.4,0.587,0.379,0.537,0.064,0.432,0.316,0.414,0.28,0.326,0.038,0.438,0.318,0.058,0.295,0.046,0.064,0.038,0.059,0.434,0.211,0.214,0,0.532,0.047,0.276,0.05,0.301,0.534,0.041,0.044,0.337,0.265,0.568,0.051,0.043,0.043,0.05,0.373,0.053,0.28,0.393,0.265,0.349,0.037,0,0.055,0,0,0.262,0.522,0.522,0.522,0.035,0.04,0.031,0.062,0.515,0.515,0.515
"GO:0044237",0.484,0.164,0.579,0.621,0.596,0.636,0.67,0.772,0.437,0.583,0.608,0.56,0.446,0.476,0.627,0.093,0.622,0.63,0,0.419,0.579,0,0,0.413,0.452,0.092,0.309,0.456,0.073,0.585,0.042,0.466,0.414,0.053,0.46,0.438,0.333,0.042,0.415,0.34,0.103,0.066,0.463,0.463,0.473,0.306,0.325,0.293,0.553,0,0.347,0.361,0.066,0,0.282,0.614,0.396,0.358,0.296,0.343,0,0.264,0.041,0.463,0.434,0.442,0.41,0.402,0.07,0.473,0.345,0.464,0.296,0.349,0.04,0.323,0.347,0.063,0.319,0.049,0.07,0.04,0.064,0.319,0.168,0.224,0,0.397,0.051,0.297,0.054,0.32,0.399,0.043,0.047,0.276,0.279,0.488,0.055,0.046,0.046,0.054,0.403,0.057,0.303,0.288,0.28,0.384,0.039,0,0.06,0,0,0.276,0.389,0.389,0.389,0.037,0.043,0.033,0.068,0.384,0.383,0.383
"GO:0060255",0.508,0,0.583,0.498,0.447,0.469,0.392,0.437,0.913,0.439,0.485,0.454,0.892,0.406,0.372,0,0.4,0.374,0.402,0.881,0.466,0.486,0.539,0.838,0.38,0,0.683,0.311,0.388,0.352,0,0.316,0.839,0,0.289,0.469,0.728,0.242,0.354,0.713,0.514,0,0.49,0.291,0.296,0.679,0.687,0.261,0.842,0.4,0.591,0.3,0.36,0.36,0.633,0.366,0.34,0.584,0.263,0.748,0.367,0.597,0,0.398,0.689,0.373,0.35,0.644,0.377,0.395,0.312,0.368,0.214,0.594,0,0.533,0.725,0,0.361,0,0,0,0.352,0.549,0.205,0.205,0,0.664,0,0.662,0,0.55,0.342,0.249,0,0.319,0.203,0.414,0,0,0,0,0.646,0,0.647,0.257,0.203,0.82,0.23,0,0.332,0,0,0.201,0.652,0.652,0.652,0,0,0,0,0.331,0.33,0.33
"GO:0006807",0.486,0,0.583,0.624,0.599,0.639,0.663,0.583,0.439,0.768,0.601,0.422,0.448,0.478,0.473,0,0.616,0.475,0,0.42,0.573,0,0,0.544,0.446,0,0.406,0.451,0,0.579,0,0.461,0.415,0,0.454,0.44,0.334,0,0.41,0.341,0,0,0.61,0.349,0.467,0.307,0.427,0.289,0.417,0,0.343,0.363,0,0,0.283,0.463,0.391,0.354,0.292,0.344,0,0.347,0,0.465,0.327,0.437,0.309,0.397,0,0.356,0.346,0.466,0.293,0.263,0,0.318,0.348,0,0.32,0,0,0,0,0.315,0.221,0.221,0,0.392,0,0.298,0,0.241,0.394,0,0,0.363,0.21,0.643,0,0,0,0,0.303,0,0.303,0.284,0.21,0.385,0,0,0,0,0,0.207,0.384,0.384,0.384,0,0,0,0,0.379,0.379,0.379
"GO:0090304",0.527,0.116,0.608,0.521,0.573,0.491,0.784,0.608,0.485,0.601,0.897,0.469,0.369,0.851,0.863,0.075,0.871,0.857,0,0.467,0.862,0,0,0.455,0.563,0.075,0.36,0.568,0.061,0.701,0.038,0.579,0.426,0.047,0.572,0.485,0.384,0.038,0.649,0.293,0.082,0.057,0.508,0.399,0.586,0.357,0.37,0.475,0.464,0,0.447,0.309,0.057,0,0.333,0.506,0.622,0.46,0.48,0.394,0,0.313,0.037,0.412,0.377,0.686,0.359,0.6,0.059,0.406,0.321,0.382,0.269,0.311,0.036,0.419,0.298,0.054,0.371,0.044,0.059,0.036,0.055,0.415,0.208,0.208,0,0.624,0.045,0.348,0.047,0.288,0.627,0.039,0.042,0.326,0.254,0.522,0.049,0.041,0.041,0.048,0.353,0.05,0.265,0.468,0.255,0.434,0.036,0,0.052,0,0,0.251,0.613,0.613,0.613,0.034,0.039,0.03,0.058,0.605,0.605,0.605
"GO:0044260",0.49,0.103,0.561,0.478,0.429,0.449,0.504,0.56,0.454,0.422,0.469,0.926,0.345,0.392,0.479,0.07,0.477,0.481,0,0.439,0.452,0,0,0.325,0.779,0.069,0.342,0.373,0.058,0.455,0.036,0.379,0.326,0.044,0.375,0.454,0.364,0.036,0.346,0.278,0.076,0.053,0.474,0.378,0.384,0.34,0.268,0.539,0.435,0,0.625,0.292,0.054,0,0.318,0.472,0.332,0.305,0.258,0.374,0,0.3,0.036,0.385,0.358,0.364,0.719,0.335,0.056,0.808,0.304,0.356,0.259,0.627,0.035,0.279,0.283,0.051,0.352,0.042,0.056,0.035,0.052,0.581,0.202,0.424,0,0.333,0.043,0.332,0.045,0.582,0.334,0.037,0.04,0.312,0.246,0.4,0.046,0.04,0.04,0.045,0.336,0.047,0.253,0.253,0.246,0.409,0.035,0,0.05,0,0,0.243,0.327,0.327,0.327,0.033,0.037,0.029,0.055,0.323,0.323,0.323
"GO:0019222",0.387,0,0.446,0.47,0.456,0.479,0.399,0.446,0.892,0.448,0.369,0.345,0.906,0.382,0.379,0,0.376,0.38,0.408,0.861,0.355,0.496,0.55,0.851,0.289,0,0.665,0.291,0.394,0.358,0,0.296,0.852,0,0.293,0.357,0.709,0.244,0.269,0.722,0.523,0,0.374,0.295,0.3,0.661,0.695,0.197,0.855,0.406,0.574,0.304,0.365,0.365,0.615,0.373,0.258,0.59,0.199,0.728,0.372,0.58,0,0.374,0.698,0.283,0.266,0.652,0.382,0.3,0.293,0.374,0.2,0.577,0,0.538,0.735,0,0.274,0,0,0,0.356,0.533,0.155,0.155,0,0.646,0,0.644,0,0.534,0.26,0.251,0,0.241,0.189,0.39,0,0,0,0,0.654,0,0.654,0.194,0.19,0.8,0.232,0,0.336,0,0,0.187,0.634,0.634,0.634,0,0,0,0,0.251,0.251,0.251
"GO:1901360",0.443,0,0.514,0.544,0.486,0.513,0.423,0.476,0.406,0.478,0.851,0.392,0.382,0.881,0.4,0,0.868,0.401,0,0.391,0.816,0,0,0.357,0.325,0,0.299,0.328,0,0.377,0,0.334,0.358,0,0.305,0.406,0.319,0,0.61,0.301,0,0,0.426,0.307,0.313,0.297,0.289,0.443,0.359,0,0.256,0.318,0,0,0.276,0.393,0.584,0.244,0.447,0.328,0,0.26,0,0.426,0.29,0.645,0.298,0.591,0,0.338,0.33,0.395,0.222,0.258,0,0.222,0.306,0,0.308,0,0,0,0,0.238,0.171,0.171,0,0.586,0,0.289,0,0.238,0.588,0,0,0.27,0.21,0.446,0,0,0,0,0.272,0,0.272,0.437,0.21,0.362,0,0,0,0,0,0.208,0.575,0.575,0.575,0,0,0,0,0.568,0.567,0.567
"GO:0046483",0.406,0.121,0.47,0.497,0.481,0.507,0.558,0.627,0.372,0.473,0.863,0.479,0.379,0.4,0.885,0.077,0.88,0.53,0,0.359,0.828,0,0,0.355,0.398,0.077,0.275,0.401,0.063,0.498,0.038,0.409,0.355,0.047,0.404,0.373,0.294,0.038,0.62,0.299,0.084,0.058,0.391,0.407,0.414,0.273,0.288,0.451,0.475,0,0.314,0.316,0.058,0,0.254,0.519,0.594,0.324,0.456,0.302,0,0.239,0.038,0.391,0.384,0.655,0.365,0.601,0.061,0.414,0.303,0.392,0.272,0.316,0.037,0.294,0.304,0.055,0.283,0.044,0.061,0.037,0.056,0.291,0.157,0.21,0,0.596,0.046,0.266,0.048,0.292,0.598,0.039,0.042,0.248,0.258,0.408,0.049,0.042,0.042,0.048,0.359,0.051,0.27,0.445,0.258,0.333,0.036,0,0.053,0,0,0.255,0.584,0.584,0.584,0.034,0.039,0.031,0.059,0.577,0.577,0.577
"GO:0071840",0,0.135,0,0,0,0,0.082,0.093,0,0,0.075,0.07,0,0,0.077,0.85,0.077,0.078,0,0,0.072,0,0,0,0.057,0.841,0,0.058,0.066,0.073,0.404,0.059,0,0.506,0.058,0,0,0.405,0.053,0,0.091,0.061,0,0.059,0.06,0,0,0.038,0.069,0,0.045,0,0.061,0,0,0.076,0.051,0.046,0.039,0,0,0,0.039,0,0.055,0.056,0.053,0.052,0.064,0.06,0,0,0.039,0.045,0.038,0.042,0,0.058,0,0.046,0.656,0.038,0.059,0.042,0,0.03,0,0.051,0.486,0,0.512,0.042,0.051,0.041,0.044,0,0.037,0,0.528,0.043,0.043,0.517,0.052,0.053,0,0.038,0.037,0,0.384,0,0.571,0,0,0.036,0.05,0.05,0.05,0.36,0.041,0.322,0.637,0.049,0.049,0.049
