"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005634","GO:0005634",1,"GO:0005634",0.806,10.1672102397245,2827,"nucleus","nucleus"
"GO:0032991","GO:0032991",2,"GO:0032991",0.801,10.0720002206184,76,"protein-containing complex","protein-containing complex"
"GO:0043226","GO:0043226",3,"GO:0043226",0.54,8.56681363877703,0,"organelle","organelle"
"GO:0005622","GO:0005622",4,"GO:0005622",0.405,8.56681363877703,20,"intracellular anatomical structure","intracellular anatomical structure"
"GO:0043229","GO:0043229",3,"GO:0043226",0.532,8.45410648923511,6,"intracellular organelle","organelle"
"GO:0043231","GO:0043231",3,"GO:0043226",0.452,8.03641294557164,95,"intracellular membrane-bounded organelle","organelle"
"GO:1990904","GO:1990904",2,"GO:0032991",0.548,7.60150636091873,67,"ribonucleoprotein complex","protein-containing complex"
"GO:0031981","GO:0031981",5,"GO:0031981",0.953,7.12082469718355,1,"nuclear lumen","nuclear lumen"
"GO:0005654","GO:0005654",5,"GO:0031981",0.883,7.04341268823396,202,"nucleoplasm","nuclear lumen"
"GO:0005694","GO:0005694",6,"GO:0005694",0.949,6.81266869962272,79,"chromosome","chromosome"
"GO:0043227","GO:0043227",3,"GO:0043226",0.463,6.77228138500573,2,"membrane-bounded organelle","organelle"
"GO:0140535","GO:0140535",7,"GO:0140535",0.958,6.67770564880422,0,"intracellular protein-containing complex","intracellular protein-containing complex"
"GO:0140513","GO:0140513",1,"GO:0005634",0.612,6.56843562891648,0,"nuclear protein-containing complex","nucleus"
"GO:0031974","GO:0031974",5,"GO:0031981",0.907,6.4009026939129,0,"membrane-enclosed lumen","nuclear lumen"
"GO:0043233","GO:0043233",5,"GO:0031981",0.907,6.387327264998,0,"organelle lumen","nuclear lumen"
"GO:0070013","GO:0070013",5,"GO:0031981",0.907,6.15973594005353,0,"intracellular organelle lumen","nuclear lumen"
"GO:0000779","GO:0000779",6,"GO:0005694",0.644,6.05456410331672,11,"condensed chromosome, centromeric region","chromosome"
"GO:0098687","GO:0098687",6,"GO:0005694",0.745,5.88911754257158,0,"chromosomal region","chromosome"
"GO:0110165","GO:0110165",8,"GO:0110165",0.125,5.66084654834867,0,"cellular anatomical entity","cellular anatomical entity"
"GO:0008023","GO:0008023",5,"GO:0031981",0.646,5.63233043217765,21,"transcription elongation factor complex","nuclear lumen"
"GO:0043228","GO:0043228",6,"GO:0005694",0.694,5.4675783084784,0,"non-membrane-bounded organelle","chromosome"
"GO:0043232","GO:0043232",6,"GO:0005694",0.694,5.41695739080014,0,"intracellular non-membrane-bounded organelle","chromosome"
"GO:0000776","GO:0000776",6,"GO:0005694",0.635,5.40937619723949,50,"kinetochore","chromosome"
"GO:0005829","GO:0005829",9,"GO:0005829",0.944,5.19499683132811,1167,"cytosol","cytosol"
"GO:0017101","GO:0017101",7,"GO:0140535",0.568,5.11674653280289,16,"aminoacyl-tRNA synthetase multienzyme complex","intracellular protein-containing complex"
"GO:0005637","GO:0005637",10,"GO:0005637",0.999,5.00151296353964,8,"nuclear inner membrane","nuclear inner membrane"
"GO:0005643","GO:0005643",10,"GO:0005637",0.729,4.96986267775222,47,"nuclear pore","nuclear inner membrane"
"GO:0005681","GO:0005681",2,"GO:0032991",0.445,4.82924443329888,54,"spliceosomal complex","protein-containing complex"
"GO:0000775","GO:0000775",6,"GO:0005694",0.686,4.74838662978281,33,"chromosome, centromeric region","chromosome"
"GO:0000793","GO:0000793",6,"GO:0005694",0.686,4.66748186934248,19,"condensed chromosome","chromosome"
"GO:1902494","GO:1902494",2,"GO:0032991",0.607,4.63942294641711,0,"catalytic complex","protein-containing complex"
"GO:0071011","GO:0071011",2,"GO:0032991",0.379,4.61536418076197,161,"precatalytic spliceosome","protein-containing complex"
"GO:0005635","GO:0005635",10,"GO:0005637",0.783,4.57199881853147,71,"nuclear envelope","nuclear inner membrane"
"GO:0101031","GO:0101031",7,"GO:0140535",0.561,4.5477972060546,5,"chaperone complex","intracellular protein-containing complex"
"GO:0005700","GO:0005700",6,"GO:0005694",0.753,4.48701233126142,183,"polytene chromosome","chromosome"
"GO:0044611","GO:0044611",10,"GO:0005637",0.603,4.48208438051109,5,"nuclear pore inner ring","nuclear inner membrane"
