"","GO:0005634","GO:0032991","GO:0005622","GO:0043226","GO:0043229","GO:0043231","GO:1990904","GO:0031981","GO:0005654","GO:0005694","GO:0043227","GO:0140535","GO:0140513","GO:0031974","GO:0043233","GO:0070013","GO:0000779","GO:0098687","GO:0110165","GO:0008023","GO:0043228","GO:0043232","GO:0000776","GO:0005829","GO:0017101","GO:0005637","GO:0005643","GO:0005681","GO:0000775","GO:0000793","GO:1902494","GO:0071011","GO:0005635","GO:0101031","GO:0005700","GO:0044611"
"GO:0005634",0.806,0,0.195,0.347,0.362,0.524,0,0.564,0.512,0.191,0.5,0,0.612,0.008,0.187,0.197,0.119,0.141,0.019,0.349,0.23,0.243,0.117,0.093,0,0.287,0.353,0.453,0.128,0.128,0,0.386,0.402,0,0.143,0.256
"GO:0032991",0,0.801,0,0,0,0,0.548,0,0,0,0,0.54,0.602,0,0,0,0,0,0,0.342,0,0,0,0,0.283,0,0.346,0.445,0,0,0.607,0.379,0,0.279,0,0.251
"GO:0005622",0.195,0,0.405,0.026,0.318,0.263,0,0.118,0.104,0.12,0.022,0,0.131,0.01,0.01,0.125,0.067,0.082,0.051,0.065,0.013,0.167,0.065,0.123,0,0.052,0.066,0.089,0.073,0.073,0,0.073,0.077,0,0.083,0.046
"GO:0043226",0.347,0,0.026,0.54,0.532,0.452,0,0.219,0.195,0.223,0.463,0,0.243,0.009,0.232,0.232,0.128,0.156,0.037,0.125,0.302,0.302,0.125,0.009,0,0.1,0.126,0.169,0.139,0.139,0,0.14,0.147,0,0.158,0.089
"GO:0043229",0.362,0,0.318,0.532,0.551,0.47,0,0.229,0.204,0.234,0.456,0,0.254,0.009,0.231,0.243,0.134,0.163,0.036,0.131,0.3,0.316,0.131,0.114,0,0.105,0.133,0.177,0.145,0.145,0,0.147,0.154,0,0.165,0.093
"GO:0043231",0.524,0,0.263,0.452,0.47,0.66,0,0.345,0.309,0.218,0.632,0,0.379,0.009,0.214,0.226,0.128,0.155,0.028,0.203,0.273,0.287,0.126,0.106,0,0.164,0.205,0.27,0.139,0.139,0,0.227,0.237,0,0.157,0.146
"GO:1990904",0,0.548,0,0,0,0,0.955,0,0,0,0,0.412,0.447,0,0,0,0,0,0,0.286,0,0,0,0,0.243,0,0.289,0.811,0,0,0.45,0.713,0,0.24,0,0.219
"GO:0031981",0.564,0,0.118,0.219,0.229,0.345,0,0.953,0.883,0.146,0.327,0,0.462,0.907,0.907,0.907,0.1,0.115,0.011,0.646,0.166,0.175,0.098,0.071,0,0.249,0.297,0.365,0.106,0.106,0,0.32,0.331,0,0.116,0.226
"GO:0005654",0.512,0,0.104,0.195,0.204,0.309,0,0.883,0.971,0.136,0.293,0,0.426,0.839,0.839,0.839,0.095,0.109,0.009,0.723,0.152,0.16,0.093,0.065,0,0.238,0.282,0.342,0.1,0.1,0,0.303,0.313,0,0.11,0.217
"GO:0005694",0.191,0,0.12,0.223,0.234,0.218,0,0.146,0.136,0.949,0.209,0,0.156,0.006,0.144,0.152,0.644,0.745,0.011,0.099,0.694,0.694,0.635,0.072,0,0.084,0.1,0.123,0.686,0.686,0,0.108,0.112,0,0.753,0.076
