"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0003723","GO:0003723",1,"GO:0003723",0.943,10.1672102397245,440,"RNA binding","RNA binding"
"GO:0003676","GO:0003676",1,"GO:0003723",0.736,10.0720002206184,110,"nucleic acid binding","RNA binding"
"GO:0005488","GO:0005488",2,"GO:0005488",0.59,8.56681363877703,0,"binding","binding"
"GO:1901363","GO:1901363",1,"GO:0003723",0.634,8.45410648923511,0,"heterocyclic compound binding","RNA binding"
"GO:0003727","GO:0003727",1,"GO:0003723",0.598,8.03641294557164,19,"single-stranded RNA binding","RNA binding"
"GO:0004812","GO:0004812",3,"GO:0004812",0.997,7.60150636091873,0,"aminoacyl-tRNA ligase activity","aminoacyl-tRNA ligase activity"
"GO:0016875","GO:0016875",3,"GO:0004812",0.997,7.12082469718355,0,"ligase activity, forming carbon-oxygen bonds","aminoacyl-tRNA ligase activity"
"GO:0097159","GO:0097159",2,"GO:0005488",0.396,7.04341268823396,0,"organic cyclic compound binding","binding"
"GO:0004386","GO:0004386",4,"GO:0004386",0.995,6.81266869962272,25,"helicase activity","helicase activity"
"GO:0003729","GO:0003729",1,"GO:0003723",0.844,6.77228138500573,254,"mRNA binding","RNA binding"
"GO:0017056","GO:0017056",5,"GO:0017056",0.999,6.67770564880422,33,"structural constituent of nuclear pore","structural constituent of nuclear pore"
"GO:0030371","GO:0030371",6,"GO:0030371",0.996,6.56843562891648,12,"translation repressor activity","translation repressor activity"
"GO:0140098","GO:0140098",7,"GO:0140098",0.984,6.4009026939129,0,"catalytic activity, acting on RNA","catalytic activity, acting on RNA"
"GO:0005515","GO:0005515",8,"GO:0005515",0.853,6.387327264998,946,"protein binding","protein binding"
"GO:0008266","GO:0008266",1,"GO:0003723",0.495,6.15973594005353,9,"poly(U) RNA binding","RNA binding"
"GO:0045182","GO:0045182",6,"GO:0030371",0.913,6.05456410331672,6,"translation regulator activity","translation repressor activity"
"GO:0140097","GO:0140097",9,"GO:0140097",0.99,5.88911754257158,0,"catalytic activity, acting on DNA","catalytic activity, acting on DNA"
"GO:0003682","GO:0003682",10,"GO:0003682",0.988,5.66084654834867,205,"chromatin binding","chromatin binding"
"GO:0016796","GO:0016796",11,"GO:0016796",0.998,5.63233043217765,0,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"
"GO:0019899","GO:0019899",8,"GO:0005515",0.548,5.4675783084784,13,"enzyme binding","protein binding"
"GO:0005521","GO:0005521",12,"GO:0005521",1,5.41695739080014,5,"lamin binding","lamin binding"
