"","GO:0003723","GO:0003676","GO:0005488","GO:1901363","GO:0003727","GO:0004812","GO:0016875","GO:0097159","GO:0004386","GO:0003729","GO:0017056","GO:0030371","GO:0140098","GO:0005515","GO:0008266","GO:0045182","GO:0140097","GO:0003682","GO:0016796","GO:0019899","GO:0005521"
"GO:0003723",0.943,0.736,0.28,0.634,0.598,0,0,0.631,0,0.844,0,0,0,0.22,0.495,0,0,0.144,0,0.152,0.091
"GO:0003676",0.736,0.875,0.354,0.764,0.441,0,0,0.76,0,0.648,0,0,0,0.263,0.36,0,0,0.161,0,0.172,0.098
"GO:0005488",0.28,0.354,0.59,0.395,0.149,0,0,0.396,0,0.237,0,0,0,0.375,0.118,0,0,0.197,0,0.213,0.11
"GO:1901363",0.634,0.764,0.395,0.83,0.37,0,0,0.297,0,0.554,0,0,0,0.285,0.3,0,0,0.169,0,0.181,0.101
"GO:0003727",0.598,0.441,0.149,0.37,0.998,0,0,0.368,0,0.556,0,0,0,0.13,0.866,0,0,0.099,0,0.103,0.071
"GO:0004812",0,0,0,0,0,0.997,0.997,0,0.173,0,0,0,0.822,0,0,0,0.184,0,0.159,0,0
"GO:0016875",0,0,0,0,0,0.997,0.997,0,0.173,0,0,0,0.192,0,0,0,0.184,0,0.159,0,0
"GO:0097159",0.631,0.76,0.396,0.297,0.368,0,0,0.829,0,0.551,0,0,0,0.286,0.298,0,0,0.169,0,0.181,0.101
"GO:0004386",0,0,0,0,0,0.173,0.173,0,0.995,0,0,0,0.204,0,0,0,0.194,0,0.166,0,0
"GO:0003729",0.844,0.648,0.237,0.554,0.556,0,0,0.551,0,0.971,0,0,0,0.193,0.466,0,0,0.132,0,0.139,0.086
"GO:0017056",0,0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0
"GO:0030371",0,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0,0.913,0,0,0,0,0
"GO:0140098",0,0,0,0,0,0.822,0.192,0,0.204,0,0,0,0.984,0,0,0,0.218,0,0.184,0,0
"GO:0005515",0.22,0.263,0.375,0.285,0.13,0,0,0.286,0,0.193,0,0,0,0.853,0.105,0,0,0.165,0,0.548,0.309
"GO:0008266",0.495,0.36,0.118,0.3,0.866,0,0,0.298,0,0.466,0,0,0,0.105,1,0,0,0.084,0,0.087,0.063
"GO:0045182",0,0,0,0,0,0,0,0,0,0,0,0.913,0,0,0,0.99,0,0,0,0,0
"GO:0140097",0,0,0,0,0,0.184,0.184,0,0.194,0,0,0,0.218,0,0,0,0.99,0,0.176,0,0
"GO:0003682",0.144,0.161,0.197,0.169,0.099,0,0,0.169,0,0.132,0,0,0,0.165,0.084,0,0,0.988,0,0.124,0.08
"GO:0016796",0,0,0,0,0,0.159,0.159,0,0.166,0,0,0,0.184,0,0,0,0.176,0,0.998,0,0
"GO:0019899",0.152,0.172,0.213,0.181,0.103,0,0,0.181,0,0.139,0,0,0,0.548,0.087,0,0,0.124,0,0.982,0.258
"GO:0005521",0.091,0.098,0.11,0.101,0.071,0,0,0.101,0,0.086,0,0,0,0.309,0.063,0,0,0.08,0,0.258,1
