"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00970","path:dme00970",0.000423549088503908,0.999886809429703,15,42,0.0413664965180388,"Aminoacyl-tRNA biosynthesis"
"dme00240","path:dme00240",0.000766642446525793,0.999794195695444,14,38,0.0413664965180388,"Pyrimidine metabolism"
"dme03013","path:dme03013",0.00088013822378806,0.99961287066012,30,106,0.0413664965180388,"Nucleocytoplasmic transport"
"dme01232","path:dme01232",0.00342082599788421,0.998716071491078,17,60,0.120584116425418,"Nucleotide metabolism"
"dme00510","path:dme00510",0.0230795044521568,0.991251360649512,11,39,0.625242938938113,"N-Glycan biosynthesis"
"dme00513","path:dme00513",0.0350132778569294,0.986567580329341,10,34,0.625242938938113,"Various types of N-glycan biosynthesis"
"dme03015","path:dme03015",0.0350262444117668,0.981431626703147,20,84,0.625242938938113,"mRNA surveillance pathway"
"dme00280","path:dme00280",0.0354747766773398,0.986989081062122,9,33,0.625242938938113,"Valine, leucine and isoleucine degradation"
"dme01212","path:dme01212",0.0515666604627039,0.975455736579953,13,55,0.807877680582362,"Fatty acid metabolism"
"dme00071","path:dme00071",0.0577301749036786,0.976633146961794,9,34,0.813995466141868,"Fatty acid degradation"
"dme03030","path:dme03030",0.0663935358855527,0.972358557682987,9,34,0.834146615210479,"DNA replication"
"dme00640","path:dme00640",0.0709912012945088,0.971945818273076,8,29,0.834146615210479,"Propanoate metabolism"
"dme04141","path:dme04141",0.0862453578256117,0.944248683919271,27,138,0.845903930651804,"Protein processing in endoplasmic reticulum"
"dme00730","path:dme00730",0.0914423821092101,0.97099926773751,5,18,0.845903930651804,"Thiamine metabolism"
"dme03050","path:dme03050",0.0935801828012547,0.953280724249579,11,54,0.845903930651804,"Proteasome"
"dme04120","path:dme04120",0.0980418662262013,0.938866191108555,22,106,0.845903930651804,"Ubiquitin mediated proteolysis"
"dme03440","path:dme03440",0.101988417170785,0.959180726886856,7,25,0.845903930651804,"Homologous recombination"
"dme00592","path:dme00592",0.113434578653681,0.968383826857104,4,12,0.888570866120502,"alpha-Linolenic acid metabolism"
"dme00565","path:dme00565",0.122715996485356,0.952003191813522,6,23,0.896731802928134,"Ether lipid metabolism"
"dme00760","path:dme00760",0.13109407395919,0.953405523300293,5,18,0.896731802928134,"Nicotinate and nicotinamide metabolism"
"dme03010","path:dme03010",0.146651009258268,0.905018690543374,19,143,0.896731802928134,"Ribosome"
"dme03040","path:dme03040",0.148640061947062,0.899734541876197,24,129,0.896731802928134,"Spliceosome"
"dme00100","path:dme00100",0.158361095406224,0.975139234635711,2,5,0.896731802928134,"Steroid biosynthesis"
"dme00310","path:dme00310",0.163518973619203,0.916325601617128,9,37,0.896731802928134,"Lysine degradation"
"dme03410","path:dme03410",0.16734448673947,0.922203113000431,7,29,0.896731802928134,"Base excision repair"
"dme00920","path:dme00920",0.170620059311565,0.953917164692935,3,10,0.896731802928134,"Sulfur metabolism"
"dme01040","path:dme01040",0.171714600560707,0.925058958891289,6,25,0.896731802928134,"Biosynthesis of unsaturated fatty acids"
"dme00511","path:dme00511",0.201026267422949,0.916718754381806,5,19,0.926375999205038,"Other glycan degradation"
"dme00230","path:dme00230",0.201467751423413,0.865280416960741,19,93,0.926375999205038,"Purine metabolism"
"dme04070","path:dme04070",0.208668324640934,0.869758068518022,14,64,0.926375999205038,"Phosphatidylinositol signaling system"
"dme00410","path:dme00410",0.209354878642659,0.902847695149799,6,25,0.926375999205038,"beta-Alanine metabolism"
"dme00600","path:dme00600",0.212889302883206,0.893704254135272,7,30,0.926375999205038,"Sphingolipid metabolism"
"dme00062","path:dme00062",0.218274170020616,0.91555544745413,4,18,0.926375999205038,"Fatty acid elongation"
