"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005929","GO:0005929",7.94048324418106e-15,1,161,177,"cilium","CC",8.27017947513093e-11
"GO:0120025","GO:0120025",1.37882285347298e-14,1,488,613,"plasma membrane bounded cell projection","CC",8.27017947513093e-11
"GO:0042995","GO:0042995",2.99022110838809e-14,1,492,620,"cell projection","CC",1.19568974720745e-10
"GO:0044782","GO:0044782",7.9818188212918e-13,1,135,148,"cilium organization","BP",2.39374746450541e-09
"GO:0060271","GO:0060271",3.95730203527371e-12,1,122,133,"cilium assembly","BP",9.49435904302868e-09
"GO:0030031","GO:0030031",4.76270469241365e-10,1,173,203,"cell projection assembly","BP",9.5222342483657e-07
"GO:0120031","GO:0120031",5.91293534086893e-10,0.999999999826662,164,191,"plasma membrane bounded cell projection assembly","BP",1.01330817641519e-06
"GO:0003341","GO:0003341",1.58318571563767e-09,0.999999999838395,74,78,"cilium movement","BP",2.37398698059869e-06
"GO:0036064","GO:0036064",1.23613069616975e-08,1,44,44,"ciliary basal body","CC",1.63084938639115e-05
"GO:0015630","GO:0015630",1.35949432009932e-08,1,282,355,"microtubule cytoskeleton","CC",1.63084938639115e-05
"GO:0022626","GO:0022626",1.50209586997829e-08,0.999999997506224,90,97,"cytosolic ribosome","CC",1.63810382329632e-05
"GO:0007018","GO:0007018",3.3846788232466e-08,0.99999998783874,159,189,"microtubule-based movement","BP",3.38355059697218e-05
"GO:0007606","GO:0007606",8.52112632912405e-08,0.999999977061412,108,123,"sensory perception of chemical stimulus","BP",7.86303318801324e-05
"GO:0000502","GO:0000502",1.14133229029054e-07,0.999999991767346,52,54,"proteasome complex","CC",9.77958725308951e-05
"GO:0005815","GO:0005815",1.85090087076063e-07,0.999999929465029,154,185,"microtubule organizing center","CC",0.000148022712304297
"GO:0097014","GO:0097014",2.74335852429449e-07,0.999999971858014,54,57,"ciliary plasm","CC",0.000187530816908584
"GO:0051606","GO:0051606",2.78019727022149e-07,0.999999913165587,114,133,"detection of stimulus","BP",0.000187530816908584
"GO:0035082","GO:0035082",2.81390022036888e-07,0.999999978721605,50,52,"axoneme assembly","BP",0.000187530816908584
"GO:0005930","GO:0005930",3.94179436011969e-07,0.999999958837848,53,56,"axoneme","CC",0.000248872448126294
"GO:0001539","GO:0001539",8.9141754331372e-07,0.999999880716564,56,60,"cilium or flagellum-dependent cell motility","BP",0.000509211659504352
"GO:0060285","GO:0060285",8.9141754331372e-07,0.999999880716564,56,60,"cilium-dependent cell motility","BP",0.000509211659504352
"GO:0007600","GO:0007600",1.63948162371536e-06,1,177,220,"sensory perception","BP",0.000893964616276795
"GO:0007017","GO:0007017",1.75979489425697e-06,1,356,470,"microtubule-based process","BP",0.000917847806587243
"GO:0031514","GO:0031514",2.64231553431939e-06,0.999999774823046,43,45,"motile cilium","CC",0.00132071738123731
"GO:0060294","GO:0060294",9.94123817312048e-06,0.999998486859108,49,53,"cilium movement involved in cell motility","BP",0.00477020372499013
"GO:0030425","GO:0030425",1.1923357490467e-05,0.99999565732736,102,122,"dendrite","CC",0.00527767918410127
"GO:0097447","GO:0097447",1.1923357490467e-05,0.99999565732736,102,122,"dendritic tree","CC",0.00527767918410127
"GO:0009593","GO:0009593",1.2318690993234e-05,0.999998104157983,48,52,"detection of chemical stimulus","BP",0.00527767918410127
"GO:0005856","GO:0005856",2.23352400700252e-05,0.99998600734146,393,528,"cytoskeleton","CC",0.00897058382958626
"GO:0005838","GO:0005838",2.243393755315e-05,1,26,26,"proteasome regulatory particle","CC",0.00897058382958626
"GO:0022627","GO:0022627",2.70269206778536e-05,0.999997267797307,41,43,"cytosolic small ribosomal subunit","CC",0.0104585464661784
"GO:0030286","GO:0030286",2.8036920521691e-05,0.999996236466363,43,46,"dynein complex","CC",0.0105103405805689
"GO:0070286","GO:0070286",2.95927769867336e-05,1,26,26,"axonemal dynein complex assembly","BP",0.0107574228100866
"GO:1905369","GO:1905369",3.41197341694273e-05,0.999992820847882,53,59,"endopeptidase complex","CC",0.0119045625156716
"GO:0036477","GO:0036477",3.4733218410179e-05,0.999982978014374,156,197,"somatodendritic compartment","CC",0.0119045625156716
"GO:0038023","GO:0038023",4.70573023623534e-05,0.999974246370013,222,290,"signaling receptor activity","MF",0.0152567405172646
"GO:0060089","GO:0060089",4.70573023623534e-05,0.999974246370013,222,290,"molecular transducer activity","MF",0.0152567405172646
"GO:0005813","GO:0005813",4.93689510059274e-05,0.999979871405366,106,129,"centrosome","CC",0.0155849983228185
"GO:0007186","GO:0007186",5.46703651795325e-05,0.99997334406976,170,217,"G protein-coupled receptor signaling pathway","BP",0.0168160436075301
"GO:0005887","GO:0005887",5.73775308695428e-05,0.999963642767102,344,463,"integral component of plasma membrane","CC",0.0172075215077759
"GO:0031226","GO:0031226",6.24946981860904e-05,0.999960056105538,355,479,"intrinsic component of plasma membrane","CC",0.0182850341326912
"GO:0005839","GO:0005839",6.82570454183472e-05,1,24,24,"proteasome core complex","CC",0.0189919782292949
"GO:0120036","GO:0120036",7.14335403350161e-05,0.999950576565503,491,675,"plasma membrane bounded cell projection organization","BP",0.0189919782292949
"GO:0030030","GO:0030030",7.20060201814018e-05,0.999950023172878,500,688,"cell projection organization","BP",0.0189919782292949
"GO:0030317","GO:0030317",7.28268588319078e-05,0.999987459358587,43,47,"flagellated sperm motility","BP",0.0189919782292949
"GO:0097722","GO:0097722",7.28268588319078e-05,0.999987459358587,43,47,"sperm motility","BP",0.0189919782292949
"GO:0043005","GO:0043005",0.000107483465577887,0.999933422827919,287,384,"neuron projection","CC",0.027433439427071
"GO:0050770","GO:0050770",0.000116059061057022,0.999976473767861,44,49,"regulation of axonogenesis","BP",0.0288026782337102
"GO:0022625","GO:0022625",0.000117650152838596,0.999975612372987,50,55,"cytosolic large ribosomal subunit","CC",0.0288026782337102
"GO:0098609","GO:0098609",0.000128735019398291,0.999942289839577,111,138,"cell-cell adhesion","BP",0.0308861058540381
"GO:0002181","GO:0002181",0.00014114645722969,0.999939314844061,110,133,"cytoplasmic translation","BP",0.0331998608024973
"GO:0004888","GO:0004888",0.00015986509268805,0.999912476668027,180,234,"transmembrane signaling receptor activity","MF",0.0368796471516508
"GO:0099568","GO:0099568",0.000205572141877568,0.999902681827696,117,147,"cytoplasmic region","CC",0.0465291210181755
"GO:0022624","GO:0022624",0.000220085484902411,0.999985105335817,26,27,"proteasome accessory complex","CC",0.0488915829053579
"GO:0032590","GO:0032590",0.000289935285761517,1,20,20,"dendrite membrane","CC",0.063237521599912
"GO:0032838","GO:0032838",0.000346574264165039,0.99988128760612,64,76,"plasma membrane bounded cell projection cytoplasm","CC",0.0742411584450679
"GO:0070925","GO:0070925",0.000367025412991479,0.999759065679,298,401,"organelle assembly","BP",0.0772427518288735
"GO:0007608","GO:0007608",0.000409199679305409,0.999882278840863,53,61,"sensory perception of smell","BP",0.0846337819473738
"GO:0050909","GO:0050909",0.000417203908588586,0.999948813377655,29,31,"sensory perception of taste","BP",0.0848267472445539
"GO:0032589","GO:0032589",0.000468903024125731,0.999894936413042,40,45,"neuron projection membrane","CC",0.0937493446235378
"GO:0007254","GO:0007254",0.000537515830407151,0.99980459109777,65,78,"JNK cascade","BP",0.10570557215679
"GO:0036126","GO:0036126",0.000576353739167734,0.999927223817782,28,30,"sperm flagellum","CC",0.109745070715177
"GO:0097729","GO:0097729",0.000576353739167734,0.999927223817782,28,30,"9+2 motile cilium","CC",0.109745070715177
"GO:0050906","GO:0050906",0.000676920423748405,0.999788212965419,52,61,"detection of stimulus involved in sensory perception","BP",0.126880271926342
"GO:0004930","GO:0004930",0.000891738158199455,0.999599390514505,85,106,"G protein-coupled receptor activity","MF",0.164573706857856
"GO:0001578","GO:0001578",0.000946446889480239,0.99968110771584,55,65,"microtubule bundle formation","BP",0.172023892215226
"GO:0009581","GO:0009581",0.00098394075872813,0.999607336973562,68,83,"detection of external stimulus","BP",0.173578725613274
"GO:0009582","GO:0009582",0.00098394075872813,0.999607336973562,68,83,"detection of abiotic stimulus","BP",0.173578725613274
"GO:0005125","GO:0005125",0.00103276638699896,0.999918352632295,22,23,"cytokine activity","MF",0.177463096707319
"GO:0050877","GO:0050877",0.00103554657965258,0.999291636683081,300,409,"nervous system process","BP",0.177463096707319
"GO:0030150","GO:0030150",0.00107092127811516,0.999854698848676,28,30,"protein import into mitochondrial matrix","BP",0.180940445806612
"GO:0016881","GO:0016881",0.0012834129900151,1,16,16,"acid-amino acid ligase activity","MF",0.213830864280849
"GO:0044458","GO:0044458",0.00133297859327466,0.999890863012951,22,23,"motile cilium assembly","BP",0.219046728834559
"GO:0022603","GO:0022603",0.00143714310396933,0.999182032611526,139,182,"regulation of anatomical structure morphogenesis","BP",0.228986089428357
"GO:0070302","GO:0070302",0.00143901719193613,0.999462240750401,58,70,"regulation of stress-activated protein kinase signaling cascade","BP",0.228986089428357
"GO:0046328","GO:0046328",0.00145072880931603,0.999477154143888,55,66,"regulation of JNK cascade","BP",0.228986089428357
"GO:0008527","GO:0008527",0.00153201474756574,1,16,16,"taste receptor activity","MF",0.238675959893489
"GO:0031256","GO:0031256",0.0017987853109469,0.99946507280539,42,49,"leading edge membrane","CC",0.276643956283577
"GO:0032872","GO:0032872",0.0018284186052763,0.999305694576786,57,69,"regulation of stress-activated MAPK cascade","BP",0.27764189353031
"GO:0048056","GO:0048056",0.00186873656515985,1,15,15,"R3/R4 cell differentiation","BP",0.28021704794572
"GO:0050907","GO:0050907",0.00192844613622829,0.999572593279773,32,36,"detection of chemical stimulus involved in sensory perception","BP",0.285600491977711
"GO:0005814","GO:0005814",0.00205450792929794,0.999481244662409,35,40,"centriole","CC",0.30055947707144
