"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0044782","GO:0044782",1,"GO:0044782",0.994,10.0824850655124,9,"cilium organization","cilium organization"
"GO:0060271","GO:0060271",1,"GO:0044782",0.977,10.0824850655124,124,"cilium assembly","cilium organization"
"GO:0030031","GO:0030031",1,"GO:0044782",0.691,9.92238149472497,18,"cell projection assembly","cilium organization"
"GO:0120031","GO:0120031",1,"GO:0044782",0.692,8.62092166869854,0,"plasma membrane bounded cell projection assembly","cilium organization"
"GO:0003341","GO:0003341",2,"GO:0003341",0.998,8.02253434882814,38,"cilium movement","cilium movement"
"GO:0007018","GO:0007018",2,"GO:0003341",0.894,6.02126113902184,82,"microtubule-based movement","cilium movement"
"GO:0007606","GO:0007606",3,"GO:0007606",0.99,5.99425845299875,99,"sensory perception of chemical stimulus","sensory perception of chemical stimulus"
"GO:0051606","GO:0051606",4,"GO:0051606",0.991,5.62452166712938,0,"detection of stimulus","detection of stimulus"
"GO:0001539","GO:0001539",5,"GO:0001539",0.998,4.78758614544627,0,"cilium or flagellum-dependent cell motility","cilium or flagellum-dependent cell motility"
"GO:0035082","GO:0035082",1,"GO:0044782",0.878,4.78758614544627,17,"axoneme assembly","cilium organization"
"GO:0060285","GO:0060285",5,"GO:0001539",0.998,4.78565857604584,9,"cilium-dependent cell motility","cilium or flagellum-dependent cell motility"
"GO:0007600","GO:0007600",3,"GO:0007606",0.957,4.47062732477486,0,"sensory perception","sensory perception of chemical stimulus"
"GO:0007017","GO:0007017",2,"GO:0003341",0.754,4.10440989127503,13,"microtubule-based process","cilium movement"
"GO:0060294","GO:0060294",5,"GO:0001539",0.989,4.00967947419893,8,"cilium movement involved in cell motility","cilium or flagellum-dependent cell motility"
"GO:0009593","GO:0009593",4,"GO:0051606",0.932,3.82967164222906,46,"detection of chemical stimulus","detection of stimulus"
"GO:0120036","GO:0120036",1,"GO:0044782",0.802,3.72692735453027,0,"plasma membrane bounded cell projection organization","cilium organization"
"GO:0007186","GO:0007186",4,"GO:0051606",0.327,3.72692735453027,213,"G protein-coupled receptor signaling pathway","detection of stimulus"
"GO:0070286","GO:0070286",1,"GO:0044782",0.823,3.72692735453027,14,"axonemal dynein complex assembly","cilium organization"
"GO:0030030","GO:0030030",1,"GO:0044782",0.8,3.60402318008498,3,"cell projection organization","cilium organization"
"GO:0097722","GO:0097722",5,"GO:0001539",0.657,3.2931016607913,0,"sperm motility","cilium or flagellum-dependent cell motility"
"GO:0030317","GO:0030317",5,"GO:0001539",0.978,3.2931016607913,29,"flagellated sperm motility","cilium or flagellum-dependent cell motility"
"GO:0050770","GO:0050770",1,"GO:0044782",0.586,3.04867967053277,28,"regulation of axonogenesis","cilium organization"
"GO:0098609","GO:0098609",6,"GO:0098609",0.995,3.03722932559503,54,"cell-cell adhesion","cell-cell adhesion"
"GO:0002181","GO:0002181",7,"GO:0002181",0.995,2.87919010661004,199,"cytoplasmic translation","cytoplasmic translation"
