"","GO:0044782","GO:0060271","GO:0030031","GO:0120031","GO:0003341","GO:0007018","GO:0007606","GO:0051606","GO:0035082","GO:0001539","GO:0060285","GO:0007600","GO:0007017","GO:0060294","GO:0009593","GO:0070286","GO:0007186","GO:0120036","GO:0030030","GO:0030317","GO:0097722","GO:0050770","GO:0098609","GO:0002181"
"GO:0044782",0.994,0.977,0.691,0.692,0.028,0.031,0,0,0.878,0.027,0.027,0,0.036,0.027,0,0.823,0.033,0.802,0.8,0.027,0.027,0.586,0.03,0.03
"GO:0060271",0.977,0.995,0.959,0.964,0.028,0.031,0,0,0.895,0.027,0.027,0,0.035,0.027,0,0.84,0.032,0.787,0.784,0.026,0.026,0.577,0.03,0.03
"GO:0030031",0.691,0.959,0.992,0.987,0.029,0.032,0,0,0.86,0.028,0.028,0,0.036,0.027,0,0.805,0.033,0.814,0.816,0.027,0.027,0.591,0.031,0.031
"GO:0120031",0.692,0.964,0.987,0.993,0.029,0.032,0,0,0.865,0.028,0.028,0,0.036,0.027,0,0.81,0.033,0.814,0.811,0.027,0.027,0.592,0.031,0.031
"GO:0003341",0.028,0.028,0.029,0.029,0.998,0.894,0,0,0.598,0.025,0.025,0,0.754,0.958,0,0.563,0.03,0.033,0.033,0.947,0.025,0.025,0.028,0.028
"GO:0007018",0.031,0.031,0.032,0.032,0.894,0.993,0,0,0.656,0.028,0.028,0,0.848,0.855,0,0.614,0.033,0.037,0.037,0.844,0.027,0.027,0.03,0.031
"GO:0007606",0,0,0,0,0,0,0.99,0,0,0,0,0.957,0,0,0,0,0,0,0,0,0,0.18,0,0
"GO:0051606",0,0,0,0,0,0,0,0.991,0,0,0,0,0,0,0.932,0,0.327,0,0,0,0,0,0,0
"GO:0035082",0.878,0.895,0.86,0.865,0.598,0.656,0,0,0.998,0.025,0.025,0,0.73,0.575,0,0.942,0.029,0.695,0.692,0.568,0.024,0.526,0.027,0.027
"GO:0001539",0.027,0.027,0.028,0.028,0.025,0.028,0,0,0.025,0.998,0.998,0,0.031,0.989,0,0.023,0.029,0.031,0.032,0.978,0.657,0.024,0.027,0.027
"GO:0060285",0.027,0.027,0.028,0.028,0.025,0.028,0,0,0.025,0.998,0.998,0,0.031,0.989,0,0.023,0.029,0.031,0.032,0.978,0.657,0.024,0.027,0.027
"GO:0007600",0,0,0,0,0,0,0.957,0,0,0,0,0.987,0,0,0,0,0,0,0,0,0,0.184,0,0
"GO:0007017",0.036,0.035,0.036,0.036,0.754,0.848,0,0,0.73,0.031,0.031,0,0.978,0.717,0,0.679,0.038,0.043,0.043,0.707,0.03,0.03,0.034,0.035
"GO:0060294",0.027,0.027,0.027,0.027,0.958,0.855,0,0,0.575,0.989,0.989,0,0.717,0.999,0,0.542,0.028,0.031,0.031,0.987,0.651,0.024,0.026,0.027
"GO:0009593",0,0,0,0,0,0,0,0.932,0,0,0,0,0,0,0.995,0,0.307,0,0,0,0,0,0,0
"GO:0070286",0.823,0.84,0.805,0.81,0.563,0.614,0,0,0.942,0.023,0.023,0,0.679,0.542,0,0.999,0.027,0.645,0.643,0.536,0.023,0.497,0.025,0.025
"GO:0007186",0.033,0.032,0.033,0.033,0.03,0.033,0,0.327,0.029,0.029,0.029,0,0.038,0.028,0.307,0.027,0.989,0.039,0.039,0.028,0.028,0.219,0.032,0.032
"GO:0120036",0.802,0.787,0.814,0.814,0.033,0.037,0,0,0.695,0.031,0.031,0,0.043,0.031,0,0.645,0.039,0.971,0.969,0.031,0.031,0.671,0.035,0.036
"GO:0030030",0.8,0.784,0.816,0.811,0.033,0.037,0,0,0.692,0.032,0.032,0,0.043,0.031,0,0.643,0.039,0.969,0.971,0.031,0.031,0.669,0.035,0.036
"GO:0030317",0.027,0.026,0.027,0.027,0.947,0.844,0,0,0.568,0.978,0.978,0,0.707,0.987,0,0.536,0.028,0.031,0.031,0.999,0.999,0.023,0.026,0.026
"GO:0097722",0.027,0.026,0.027,0.027,0.025,0.027,0,0,0.024,0.657,0.657,0,0.03,0.651,0,0.023,0.028,0.031,0.031,0.999,0.999,0.023,0.026,0.026
"GO:0050770",0.586,0.577,0.591,0.592,0.025,0.027,0.18,0,0.526,0.024,0.024,0.184,0.03,0.024,0,0.497,0.219,0.671,0.669,0.023,0.023,0.999,0.026,0.026
"GO:0098609",0.03,0.03,0.031,0.031,0.028,0.03,0,0,0.027,0.027,0.027,0,0.034,0.026,0,0.025,0.032,0.035,0.035,0.026,0.026,0.026,0.995,0.03
"GO:0002181",0.03,0.03,0.031,0.031,0.028,0.031,0,0,0.027,0.027,0.027,0,0.035,0.027,0,0.025,0.032,0.036,0.036,0.026,0.026,0.026,0.03,0.995
