"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0120025","GO:0120025",1,"GO:0120025",0.96,10.0824850655124,0,"plasma membrane bounded cell projection","plasma membrane bounded cell projection"
"GO:0005929","GO:0005929",1,"GO:0120025",0.803,10.0824850655124,66,"cilium","plasma membrane bounded cell projection"
"GO:0042995","GO:0042995",1,"GO:0120025",0.958,9.92238149472497,12,"cell projection","plasma membrane bounded cell projection"
"GO:0036064","GO:0036064",2,"GO:0036064",0.998,8.62092166869854,48,"ciliary basal body","ciliary basal body"
"GO:0015630","GO:0015630",2,"GO:0036064",0.689,8.02253434882814,24,"microtubule cytoskeleton","ciliary basal body"
"GO:0022626","GO:0022626",3,"GO:0022626",0.986,6.02126113902184,221,"cytosolic ribosome","cytosolic ribosome"
"GO:0000502","GO:0000502",4,"GO:0000502",0.993,5.99425845299875,34,"proteasome complex","proteasome complex"
"GO:0005815","GO:0005815",2,"GO:0036064",0.814,5.62452166712938,22,"microtubule organizing center","ciliary basal body"
"GO:0097014","GO:0097014",5,"GO:0097014",0.997,4.78758614544627,1,"ciliary plasm","ciliary plasm"
"GO:0005930","GO:0005930",5,"GO:0097014",0.996,4.78758614544627,46,"axoneme","ciliary plasm"
"GO:0031514","GO:0031514",1,"GO:0120025",0.645,4.78565857604584,19,"motile cilium","plasma membrane bounded cell projection"
"GO:0030425","GO:0030425",6,"GO:0030425",0.992,4.47062732477486,134,"dendrite","dendrite"
"GO:0097447","GO:0097447",6,"GO:0030425",0.992,4.10440989127503,0,"dendritic tree","dendrite"
"GO:0005856","GO:0005856",2,"GO:0036064",0.638,4.00967947419893,51,"cytoskeleton","ciliary basal body"
"GO:0005838","GO:0005838",4,"GO:0000502",0.912,3.82967164222906,38,"proteasome regulatory particle","proteasome complex"
"GO:1905369","GO:1905369",4,"GO:0000502",0.987,3.72692735453027,0,"endopeptidase complex","proteasome complex"
"GO:0030286","GO:0030286",2,"GO:0036064",0.558,3.72692735453027,22,"dynein complex","ciliary basal body"
"GO:0022627","GO:0022627",3,"GO:0022626",0.832,3.72692735453027,86,"cytosolic small ribosomal subunit","cytosolic ribosome"
"GO:0036477","GO:0036477",6,"GO:0030425",0.928,3.60402318008498,0,"somatodendritic compartment","dendrite"
"GO:0005813","GO:0005813",2,"GO:0036064",0.767,3.2931016607913,146,"centrosome","ciliary basal body"
"GO:0005887","GO:0005887",7,"GO:0005887",0.977,3.2931016607913,550,"integral component of plasma membrane","integral component of plasma membrane"
"GO:0031226","GO:0031226",7,"GO:0005887",0.974,3.04867967053277,1,"intrinsic component of plasma membrane","integral component of plasma membrane"
"GO:0005839","GO:0005839",4,"GO:0000502",0.91,3.03722932559503,38,"proteasome core complex","proteasome complex"
"GO:0043005","GO:0043005",1,"GO:0120025",0.889,2.87919010661004,100,"neuron projection","plasma membrane bounded cell projection"
"GO:0022625","GO:0022625",3,"GO:0022626",0.851,2.32146307279433,108,"cytosolic large ribosomal subunit","cytosolic ribosome"
"GO:0022624","GO:0022624",4,"GO:0000502",0.912,2.27755701290512,0,"proteasome accessory complex","proteasome complex"
"GO:0099568","GO:0099568",5,"GO:0097014",0.912,2.27755701290512,0,"cytoplasmic region","ciliary plasm"
