"","GO:0005929","GO:0120025","GO:0042995","GO:0036064","GO:0015630","GO:0022626","GO:0000502","GO:0005815","GO:0097014","GO:0005930","GO:0031514","GO:0030425","GO:0097447","GO:0005856","GO:0005838","GO:0022627","GO:0030286","GO:1905369","GO:0036477","GO:0005813","GO:0005887","GO:0031226","GO:0005839","GO:0043005","GO:0022625","GO:0099568","GO:0022624"
"GO:0005929",0.989,0.803,0.801,0.816,0.105,0.096,0,0.093,0.86,0.859,0.818,0.663,0.663,0.109,0.003,0.081,0.081,0,0.004,0.087,0.004,0.004,0,0.753,0.083,0.004,0.003
"GO:0120025",0.803,0.96,0.958,0.644,0.005,0.004,0,0.004,0.683,0.682,0.645,0.767,0.767,0.005,0.004,0.004,0.004,0,0.004,0.004,0.005,0.005,0,0.889,0.004,0.004,0.004
"GO:0042995",0.801,0.958,0.96,0.642,0.005,0.004,0,0.004,0.682,0.681,0.644,0.765,0.766,0.005,0.004,0.004,0.004,0,0.004,0.004,0.005,0.005,0,0.887,0.004,0.004,0.004
"GO:0036064",0.816,0.644,0.642,0.998,0.689,0.324,0,0.814,0.726,0.725,0.696,0.551,0.551,0.638,0.034,0.282,0.558,0,0.003,0.767,0.003,0.003,0,0.611,0.288,0.037,0.034
"GO:0015630",0.105,0.005,0.005,0.689,0.97,0.444,0,0.854,0.09,0.652,0.085,0.004,0.004,0.912,0.045,0.369,0.73,0,0.004,0.787,0.005,0.005,0,0.005,0.378,0.05,0.045
"GO:0022626",0.096,0.004,0.004,0.324,0.444,0.986,0,0.395,0.159,0.341,0.079,0.004,0.004,0.464,0.042,0.832,0.342,0,0.004,0.367,0.004,0.004,0,0.004,0.851,0.174,0.042
"GO:0000502",0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0.912,0.24,0.456,0.987,0,0,0,0,0.91,0,0.245,0,0.912
"GO:0005815",0.093,0.004,0.004,0.814,0.854,0.395,0,0.989,0.081,0.592,0.077,0.004,0.004,0.797,0.041,0.335,0.662,0,0.004,0.92,0.004,0.004,0,0.004,0.342,0.044,0.041
"GO:0097014",0.86,0.683,0.682,0.726,0.09,0.159,0,0.081,0.997,0.996,0.727,0.579,0.58,0.093,0.036,0.138,0.072,0,0.003,0.076,0.003,0.003,0,0.647,0.14,0.912,0.036
"GO:0005930",0.859,0.682,0.681,0.725,0.652,0.341,0,0.592,0.996,0.997,0.727,0.579,0.579,0.676,0.036,0.295,0.523,0,0.003,0.555,0.003,0.003,0,0.646,0.301,0.911,0.036
"GO:0031514",0.818,0.645,0.644,0.696,0.085,0.079,0,0.077,0.727,0.727,0.998,0.552,0.552,0.088,0.003,0.069,0.069,0,0.003,0.073,0.003,0.003,0,0.613,0.07,0.003,0.003
"GO:0030425",0.663,0.767,0.765,0.551,0.004,0.004,0,0.004,0.579,0.579,0.552,0.992,0.992,0.004,0.003,0.003,0.003,0,0.928,0.003,0.004,0.004,0,0.85,0.003,0.003,0.003
"GO:0097447",0.663,0.767,0.766,0.551,0.004,0.004,0,0.004,0.58,0.579,0.552,0.992,0.992,0.004,0.003,0.003,0.003,0,0.928,0.003,0.004,0.004,0,0.85,0.003,0.003,0.003
"GO:0005856",0.109,0.005,0.005,0.638,0.912,0.464,0,0.797,0.093,0.676,0.088,0.004,0.004,0.959,0.047,0.383,0.678,0,0.004,0.733,0.005,0.005,0,0.005,0.393,0.052,0.047
"GO:0005838",0.003,0.004,0.004,0.034,0.045,0.042,0.912,0.041,0.036,0.036,0.003,0.003,0.003,0.047,0.997,0.222,0.422,0.906,0.003,0.038,0.004,0.004,0.841,0.004,0.226,0.039,0.996
"GO:0022627",0.081,0.004,0.004,0.282,0.369,0.832,0.24,0.335,0.138,0.295,0.069,0.003,0.003,0.383,0.222,0.997,0.296,0.241,0.003,0.314,0.003,0.004,0.222,0.004,0.74,0.149,0.222
"GO:0030286",0.081,0.004,0.004,0.558,0.73,0.342,0.456,0.662,0.072,0.523,0.069,0.003,0.003,0.678,0.422,0.296,0.997,0.458,0.003,0.622,0.003,0.004,0.421,0.004,0.302,0.039,0.422
"GO:1905369",0,0,0,0,0,0,0.987,0,0,0,0,0,0,0,0.906,0.241,0.458,0.992,0,0,0,0,0.904,0,0.247,0,0.907
"GO:0036477",0.004,0.004,0.004,0.003,0.004,0.004,0,0.004,0.003,0.003,0.003,0.928,0.928,0.004,0.003,0.003,0.003,0,0.987,0.004,0.004,0.004,0,0.004,0.003,0.004,0.003
"GO:0005813",0.087,0.004,0.004,0.767,0.787,0.367,0,0.92,0.076,0.555,0.073,0.003,0.003,0.733,0.038,0.314,0.622,0,0.004,0.994,0.004,0.004,0,0.004,0.321,0.042,0.038
"GO:0005887",0.004,0.005,0.005,0.003,0.005,0.004,0,0.004,0.003,0.003,0.003,0.004,0.004,0.005,0.004,0.003,0.003,0,0.004,0.004,0.977,0.974,0,0.004,0.004,0.004,0.004
"GO:0031226",0.004,0.005,0.005,0.003,0.005,0.004,0,0.004,0.003,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0,0.004,0.004,0.974,0.977,0,0.004,0.004,0.004,0.004
"GO:0005839",0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0.841,0.222,0.421,0.904,0,0,0,0,0.997,0,0.226,0,0.842
"GO:0043005",0.753,0.889,0.887,0.611,0.005,0.004,0,0.004,0.647,0.646,0.613,0.85,0.85,0.005,0.004,0.004,0.004,0,0.004,0.004,0.004,0.004,0,0.976,0.004,0.004,0.004
"GO:0022625",0.083,0.004,0.004,0.288,0.378,0.851,0.245,0.342,0.14,0.301,0.07,0.003,0.003,0.393,0.226,0.74,0.302,0.247,0.003,0.321,0.004,0.004,0.226,0.004,0.996,0.152,0.227
"GO:0099568",0.004,0.004,0.004,0.037,0.05,0.174,0,0.044,0.912,0.911,0.003,0.003,0.003,0.052,0.039,0.149,0.039,0,0.004,0.042,0.004,0.004,0,0.004,0.152,0.993,0.039
"GO:0022624",0.003,0.004,0.004,0.034,0.045,0.042,0.912,0.041,0.036,0.036,0.003,0.003,0.003,0.047,0.996,0.222,0.422,0.907,0.003,0.038,0.004,0.004,0.842,0.004,0.227,0.039,0.997
