"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03050","path:dme03050",4.90108918392462e-09,0.999999999706535,52,54,6.91053574933372e-07,"Proteasome"
"dme04350","path:dme04350",0.000221524403724207,0.999949417797148,40,46,0.00925480821769394,"TGF-beta signaling pathway"
"dme04213","path:dme04213",0.000252319665785726,0.999928108226635,48,57,0.00925480821769394,"Longevity regulating pathway"
"dme04068","path:dme04068",0.000263229221722677,0.999913849427579,56,68,0.00925480821769394,"FoxO signaling pathway"
"dme04745","path:dme04745",0.000380726951094026,0.999940718023367,29,32,0.00925480821769394,"Phototransduction"
"dme04140","path:dme04140",0.000393821626284849,0.999831988512385,79,101,0.00925480821769394,"Autophagy"
"dme04310","path:dme04310",0.000538182681270419,0.999770357931696,76,97,0.0108405368655899,"Wnt signaling pathway"
"dme03010","path:dme03010",0.000738087002827725,0.999628838071863,111,143,0.0130087834248386,"Ribosome"
"dme04144","path:dme04144",0.00291072335413179,0.998404161219621,100,136,0.0456013325480647,"Endocytosis"
"dme04814","path:dme04814",0.0037910929739415,0.998028878553176,83,111,0.0534544109325752,"Motor proteins"
"dme04013","path:dme04013",0.00901268276880121,0.995122304886277,75,102,0.115526206400088,"MAPK signaling pathway"
"dme04136","path:dme04136",0.0122615285047823,0.99680485945864,22,26,0.144072959931193,"Autophagy"
"dme00620","path:dme00620",0.0327189777526314,0.98457625602207,38,50,0.354875066393925,"Pyruvate metabolism"
"dme04080","path:dme04080",0.0387185873258019,0.97863547581929,53,72,0.380018045843472,"Neuroactive ligand-receptor interaction"
"dme04137","path:dme04137",0.0404274516854758,0.981659283984131,33,43,0.380018045843472,"Mitophagy"
"dme04142","path:dme04142",0.0494762656627937,0.967923333938767,82,117,0.422995711531964,"Lysosome"
"dme04320","path:dme04320",0.0509994829506624,0.979309534773501,24,31,0.422995711531964,"Dorso-ventral axis formation"
"dme03250","path:dme03250",0.0573046430127232,0.97509124156498,26,34,0.448886370266332,"Viral life cycle"
"dme04145","path:dme04145",0.0695218283599704,0.957616152374506,56,79,0.515925147302938,"Phagosome"
"dme04391","path:dme04391",0.0772023070108489,0.955215091890465,45,63,0.544276264426485,"Hippo signaling pathway"
"dme00330","path:dme00330",0.097107749010757,0.948146661391954,32,44,0.652009171929369,"Arginine and proline metabolism"
"dme04711","path:dme04711",0.104886518992626,0.9737813976507,10,12,0.672227235361829,"Circadian rhythm"
"dme04330","path:dme04330",0.11263068606948,0.948456513363853,21,28,0.690475075469418,"Notch signaling pathway"
"dme04070","path:dme04070",0.118907527042283,0.926523432376766,45,64,0.698581721373415,"Phosphatidylinositol signaling system"
"dme00340","path:dme00340",0.128121708014574,0.978390752177358,7,8,0.722606433202196,"Histidine metabolism"
"dme00561","path:dme00561",0.142493322169439,0.91632804122485,34,48,0.772752247149649,"Glycerolipid metabolism"
"dme00052","path:dme00052",0.148443465334381,0.917778710383514,28,39,0.77520476341288,"Galactose metabolism"
"dme00010","path:dme00010",0.155686807612876,0.903070091052884,39,56,0.783994281193413,"Glycolysis / Gluconeogenesis"
"dme00230","path:dme00230",0.164115026005032,0.884862564620345,63,93,0.797938574714119,"Purine metabolism"
"dme00350","path:dme00350",0.173519728627172,0.918727692794503,17,23,0.815542724547708,"Tyrosine metabolism"
"dme04341","path:dme04341",0.183414275712553,0.892359168066467,29,41,0.82041762519914,"Hedgehog signaling pathway"
"dme00360","path:dme00360",0.186194070967181,0.964878792430598,6,7,0.82041762519914,"Phenylalanine metabolism"
"dme04150","path:dme04150",0.214491505074275,0.84187051307826,68,102,0.916463703499176,"mTOR signaling pathway"
"dme00470","path:dme00470",0.247992251656046,1,3,3,0.999996462388475,"D-Amino acid metabolism"
"dme00051","path:dme00051",0.256756991814344,0.847496791655998,23,33,0.999996462388475,"Fructose and mannose metabolism"
"dme00440","path:dme00440",0.263493936275357,0.9439995434448,5,6,0.999996462388475,"Phosphonate and phosphinate metabolism"
"dme00564","path:dme00564",0.301659618912124,0.782846096830669,43,65,0.999996462388475,"Glycerophospholipid metabolism"
"dme04624","path:dme04624",0.324443767038503,0.754488078358723,55,83,0.999996462388475,"Toll and Imd signaling pathway"
"dme00534","path:dme00534",0.337850862694565,0.839173781318866,10,14,0.999996462388475,"Glycosaminoglycan biosynthesis"
"dme02010","path:dme02010",0.359405302612349,0.754258297737332,27,41,0.999996462388475,"ABC transporters"
"dme00532","path:dme00532",0.363253011062741,0.868737201720201,6,8,0.999996462388475,"Glycosaminoglycan biosynthesis"
"dme00600","path:dme00600",0.375989006554093,0.758016065301037,20,30,0.999996462388475,"Sphingolipid metabolism"
"dme00512","path:dme00512",0.377159435472638,0.777509203542136,15,22,0.999996462388475,"Mucin type O-glycan biosynthesis"
"dme00601","path:dme00601",0.388083575211101,1,2,2,0.999996462388475,"Glycosphingolipid biosynthesis"
"dme00910","path:dme00910",0.390938727814114,0.789624413666102,11,16,0.999996462388475,"Nitrogen metabolism"
"dme00760","path:dme00760",0.451495061503059,0.730939506127041,12,18,0.999996462388475,"Nicotinate and nicotinamide metabolism"
"dme00860","path:dme00860",0.456557515144533,0.666871601734373,27,42,0.999996462388475,"Porphyrin metabolism"
"dme00232","path:dme00232",0.466206128995433,0.812566125523741,5,7,0.999996462388475,"Caffeine metabolism"
"dme00750","path:dme00750",0.48246906649949,0.801751984671849,5,7,0.999996462388475,"Vitamin B6 metabolism"
"dme00565","path:dme00565",0.489004086345438,0.678229226714941,15,23,0.999996462388475,"Ether lipid metabolism"
"dme03060","path:dme03060",0.492609152732789,0.683599814956216,14,21,0.999996462388475,"Protein export"
"dme00515","path:dme00515",0.508126936362168,0.853419784548023,3,4,0.999996462388475,"Mannose type O-glycan biosynthesis"
"dme00603","path:dme00603",0.508514225162764,0.853210151671867,3,4,0.999996462388475,"Glycosphingolipid biosynthesis"
"dme03083","path:dme03083",0.508994934836393,0.602317907211228,35,55,0.999996462388475,"Polycomb repressive complex"
"dme01232","path:dme01232",0.522518299406108,0.584480467492764,38,60,0.999996462388475,"Nucleotide metabolism"
"dme00130","path:dme00130",0.55736615569643,0.708851884776286,6,9,0.999996462388475,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00480","path:dme00480",0.56619024478336,0.528077631608096,49,78,0.999996462388475,"Glutathione metabolism"
"dme04392","path:dme04392",0.57282663620609,0.614268627693072,12,19,0.999996462388475,"Hippo signaling pathway"
"dme04214","path:dme04214",0.581952376566718,0.518074076974229,42,68,0.999996462388475,"Apoptosis"
"dme04120","path:dme04120",0.582889391778422,0.497857251971591,66,106,0.999996462388475,"Ubiquitin mediated proteolysis"
"dme00020","path:dme00020",0.587722518844199,0.53894425504132,26,42,0.999996462388475,"Citrate cycle (TCA cycle)"
"dme00982","path:dme00982",0.640822467986194,0.460851487008621,39,63,0.999996462388475,"Drug metabolism"
