"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0016491","GO:0016491",3.03060275751044e-09,1,60,543,"oxidoreductase activity","MF",3.63551106790952e-05
"GO:0019752","GO:0019752",1.60830674788913e-08,1,44,356,"carboxylic acid metabolic process","BP",6.29661700130293e-05
"GO:0043436","GO:0043436",1.74668783142731e-08,1,44,357,"oxoacid metabolic process","BP",6.29661700130293e-05
"GO:0032787","GO:0032787",2.42701809753248e-08,0.999999993849622,29,181,"monocarboxylic acid metabolic process","BP",6.29661700130293e-05
"GO:0006082","GO:0006082",2.62446523895587e-08,1,44,362,"organic acid metabolic process","BP",6.29661700130293e-05
"GO:0003824","GO:0003824",1.0514628060962e-07,1,226,3415,"catalytic activity","MF",0.000210222463698833
"GO:0044281","GO:0044281",1.45758007711583e-07,1,70,752,"small molecule metabolic process","BP",0.000249787580072592
"GO:0005838","GO:0005838",2.40425360783589e-07,0.99999998203095,10,26,"proteasome regulatory particle","CC",0.000360517828494992
"GO:0022624","GO:0022624",3.64857381225157e-07,0.999999971032819,10,27,"proteasome accessory complex","CC",0.000486314349464109
"GO:0000502","GO:0000502",1.85650396344486e-06,0.999999722640005,13,54,"proteasome complex","CC",0.00222706215454845
"GO:1901575","GO:1901575",2.41654179381534e-06,0.999998933081347,75,878,"organic substance catabolic process","BP",0.00263534866896444
"GO:1905369","GO:1905369",5.3808751945967e-06,0.999999099147033,13,59,"endopeptidase complex","CC",0.00537908156953183
"GO:0042335","GO:0042335",6.2775597646862e-06,0.999997992909115,26,198,"cuticle development","BP",0.00579273899516736
"GO:0016053","GO:0016053",1.21628878190894e-05,0.999996925054246,18,113,"organic acid biosynthetic process","BP",0.0097270668185198
"GO:0046394","GO:0046394",1.21628878190894e-05,0.999996925054246,18,113,"carboxylic acid biosynthetic process","BP",0.0097270668185198
"GO:0048856","GO:0048856",1.47463679414851e-05,0.999990812951878,167,2500,"anatomical structure development","BP",0.0110560893641285
"GO:0005576","GO:0005576",1.99016066523961e-05,0.999989730869986,65,770,"extracellular region","CC",0.0136526414376399
"GO:0009888","GO:0009888",2.04857907533777e-05,0.999988825111648,79,994,"tissue development","BP",0.0136526414376399
"GO:0006631","GO:0006631",2.21868862173887e-05,0.999993840037543,19,129,"fatty acid metabolic process","BP",0.0140080993191471
"GO:0009056","GO:0009056",2.34157912122187e-05,0.999987016497094,83,1062,"catabolic process","BP",0.0140447915690888
"GO:0032502","GO:0032502",2.84021181428969e-05,0.99998151996557,175,2672,"developmental process","BP",0.0162243718686758
"GO:0004497","GO:0004497",3.0642496288546e-05,0.999992426927629,16,99,"monooxygenase activity","MF",0.0167085175216999
"GO:0040003","GO:0040003",5.3687377405298e-05,0.99998280701044,21,161,"chitin-based cuticle development","BP",0.0280014686675633
"GO:0005506","GO:0005506",7.52810993061015e-05,0.999977812839726,18,129,"iron ion binding","MF",0.0376280028031664
"GO:0099080","GO:0099080",8.79439488172073e-05,0.999961813398824,34,339,"supramolecular complex","CC",0.0421990244004487
"GO:0006090","GO:0006090",0.000103684922749137,0.999984130056748,9,39,"pyruvate metabolic process","BP",0.0478386282037943
"GO:0005975","GO:0005975",0.000110996776108815,0.999955578349976,28,260,"carbohydrate metabolic process","BP",0.0493154565259759
