"","GO:0009888","GO:0032787","GO:0048856","GO:0032502","GO:0019752","GO:0043436","GO:0006082","GO:0060429","GO:1901575","GO:0009056","GO:0006090","GO:0048513","GO:0016053","GO:0046394","GO:0006091","GO:0030029","GO:0030036","GO:1901607","GO:0044281","GO:0009135","GO:0009179","GO:0046031","GO:0005975","GO:0002009","GO:0044283","GO:0005977","GO:0006073","GO:0006112","GO:0044042","GO:0007275","GO:0009185","GO:0002064","GO:0030707","GO:0008652"
"GO:0009888",0.949,0,0.548,0.515,0,0,0,0.935,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,0,0,0,0.518,0,0.748,0.74,0
"GO:0032787",0,0.992,0,0,0.914,0.914,0.913,0,0.222,0.211,0.841,0,0.81,0.811,0.231,0.034,0.034,0.706,0.813,0.572,0.572,0.572,0.191,0,0.696,0.194,0.194,0.194,0.158,0,0.576,0.033,0.033,0.715
"GO:0048856",0.548,0,0.792,0.75,0,0,0,0.538,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0.477,0,0,0,0,0,0.73,0,0.406,0.4,0
"GO:0032502",0.515,0,0.75,0.773,0,0,0,0.505,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0.69,0,0.379,0.374,0
"GO:0019752",0,0.914,0,0,0.985,0.985,0.984,0,0.24,0.229,0.766,0,0.865,0.867,0.248,0.037,0.036,0.748,0.882,0.605,0.605,0.605,0.204,0,0.746,0.206,0.206,0.206,0.167,0,0.61,0.036,0.035,0.758
"GO:0043436",0,0.914,0,0,0.985,0.985,0.984,0,0.24,0.229,0.766,0,0.865,0.866,0.248,0.037,0.036,0.748,0.882,0.605,0.605,0.605,0.204,0,0.746,0.206,0.206,0.206,0.167,0,0.61,0.036,0.035,0.758
"GO:0006082",0,0.913,0,0,0.984,0.984,0.985,0,0.241,0.229,0.765,0,0.866,0.865,0.248,0.037,0.036,0.747,0.883,0.606,0.606,0.606,0.204,0,0.747,0.206,0.206,0.206,0.167,0,0.61,0.036,0.036,0.757
"GO:0060429",0.935,0,0.538,0.505,0,0,0,0.953,0,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0,0.869,0,0,0,0,0,0.509,0,0.764,0.756,0
"GO:1901575",0,0.222,0,0,0.24,0.24,0.241,0,0.97,0.93,0.183,0,0.209,0.209,0.202,0,0,0.178,0.245,0.176,0.176,0.176,0.222,0,0.204,0.179,0.179,0.165,0.179,0,0.177,0,0,0.181
"GO:0009056",0,0.211,0,0,0.229,0.229,0.229,0,0.93,0.962,0.173,0,0.198,0.198,0.207,0,0,0.169,0.253,0.166,0.166,0.166,0.211,0,0.209,0.169,0.169,0.169,0.169,0,0.168,0,0,0.171
