"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0022624","GO:0022624",1,"GO:0022624",0.997,3.66571413132782,0,"proteasome accessory complex","proteasome accessory complex"
"GO:0005838","GO:0005838",1,"GO:0022624",0.996,3.66571413132782,38,"proteasome regulatory particle","proteasome accessory complex"
"GO:0000502","GO:0000502",1,"GO:0022624",0.912,3.59682113000046,34,"proteasome complex","proteasome accessory complex"
"GO:1905369","GO:1905369",1,"GO:0022624",0.907,3.44840550699181,0,"endopeptidase complex","proteasome accessory complex"
"GO:0099080","GO:0099080",2,"GO:0099080",0.98,3.29484936077433,0,"supramolecular complex","supramolecular complex"
"GO:0099512","GO:0099512",2,"GO:0099080",0.916,2.87142254201109,0,"supramolecular fiber","supramolecular complex"
"GO:1905368","GO:1905368",1,"GO:0022624",0.885,2.8542932373403,0,"peptidase complex","proteasome accessory complex"
"GO:0099081","GO:0099081",2,"GO:0099080",0.918,2.67438041202163,0,"supramolecular polymer","supramolecular complex"
"GO:0005829","GO:0005829",3,"GO:0005829",0.944,2.67438041202163,1167,"cytosol","cytosol"
"GO:0043292","GO:0043292",2,"GO:0099080",0.818,2.67438041202163,0,"contractile fiber","supramolecular complex"
"GO:0008541","GO:0008541",1,"GO:0022624",0.883,2.57284361406283,20,"proteasome regulatory particle, lid subcomplex","proteasome accessory complex"
"GO:0030016","GO:0030016",2,"GO:0099080",0.813,2.48999640203451,3,"myofibril","supramolecular complex"
"GO:0008540","GO:0008540",1,"GO:0022624",0.912,2.48999640203451,30,"proteasome regulatory particle, base subcomplex","proteasome accessory complex"
"GO:0030018","GO:0030018",2,"GO:0099080",0.754,2.37425137103693,56,"Z disc","supramolecular complex"
"GO:0005576","GO:0005576",4,"GO:0005576",0.95,2.23154839411301,531,"extracellular region","extracellular region"
"GO:0031674","GO:0031674",2,"GO:0099080",0.76,2.23154839411301,4,"I band","supramolecular complex"
