"","GO:0005838","GO:0022624","GO:0000502","GO:1905369","GO:0099080","GO:0099512","GO:1905368","GO:0099081","GO:0005829","GO:0043292","GO:0008541","GO:0008540","GO:0030016","GO:0030018","GO:0031674","GO:0005576"
"GO:0005838",0.997,0.996,0.912,0.906,0.003,0.003,0.884,0.003,0.048,0.037,0.884,0.913,0.037,0.035,0.035,0.004
"GO:0022624",0.996,0.997,0.912,0.907,0.003,0.003,0.885,0.003,0.048,0.037,0.883,0.912,0.037,0.035,0.035,0.004
"GO:0000502",0.912,0.912,0.993,0.987,0,0,0.965,0,0,0,0.801,0.829,0,0,0,0
"GO:1905369",0.906,0.907,0.987,0.992,0,0,0.971,0,0,0,0.795,0.823,0,0,0,0
"GO:0099080",0.003,0.003,0,0,0.98,0.916,0,0.918,0.005,0.818,0.003,0.003,0.813,0.754,0.76,0.005
"GO:0099512",0.003,0.003,0,0,0.916,0.988,0,0.987,0.005,0.888,0.003,0.003,0.883,0.822,0.828,0.005
"GO:1905368",0.884,0.885,0.965,0.971,0,0,0.991,0,0,0,0.775,0.802,0,0,0,0
"GO:0099081",0.003,0.003,0,0,0.918,0.987,0,0.988,0.005,0.886,0.003,0.003,0.882,0.821,0.826,0.005
"GO:0005829",0.048,0.048,0,0,0.005,0.005,0,0.005,0.944,0.192,0.041,0.043,0.191,0.176,0.177,0.006
"GO:0043292",0.037,0.037,0,0,0.818,0.888,0,0.886,0.192,0.996,0.033,0.034,0.991,0.929,0.935,0.004
"GO:0008541",0.884,0.883,0.801,0.795,0.003,0.003,0.775,0.003,0.041,0.033,0.999,0.817,0.033,0.031,0.031,0.003
"GO:0008540",0.913,0.912,0.829,0.823,0.003,0.003,0.802,0.003,0.043,0.034,0.817,0.999,0.034,0.032,0.032,0.003
"GO:0030016",0.037,0.037,0,0,0.813,0.883,0,0.882,0.191,0.991,0.033,0.034,0.996,0.934,0.939,0.004
"GO:0030018",0.035,0.035,0,0,0.754,0.822,0,0.821,0.176,0.929,0.031,0.032,0.934,0.998,0.992,0.004
"GO:0031674",0.035,0.035,0,0,0.76,0.828,0,0.826,0.177,0.935,0.031,0.032,0.939,0.992,0.998,0.004
"GO:0005576",0.004,0.004,0,0,0.005,0.005,0,0.005,0.006,0.004,0.003,0.003,0.004,0.004,0.004,0.95
