"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03050","path:dme03050",9.54401186814261e-06,0.99999837040638,13,54,0.00134570567340811,"Proteasome"
"dme01200","path:dme01200",7.19674221811155e-05,0.99997882653687,19,122,0.00507370326376864,"Carbon metabolism"
"dme00010","path:dme00010",0.000336243042432055,0.999926175408257,11,56,0.0158034229943066,"Glycolysis / Gluconeogenesis"
"dme01230","path:dme01230",0.000588654548614419,0.999849550925268,12,69,0.0207500728386583,"Biosynthesis of amino acids"
"dme01100","path:dme01100",0.00271722819180719,0.998329026471675,85,1125,0.07425963486923,"Metabolic pathways"
"dme00220","path:dme00220",0.00315998446252043,0.999590934460063,5,18,0.07425963486923,"Arginine biosynthesis"
"dme00232","path:dme00232",0.00601510985029722,0.999635930803186,3,7,0.12116149841313,"Caffeine metabolism"
"dme00061","path:dme00061",0.00749135551771798,0.99910324490745,4,14,0.128892301738214,"Fatty acid biosynthesis"
"dme00620","path:dme00620",0.00822716819605623,0.997752145866978,8,50,0.128892301738214,"Pyruvate metabolism"
"dme00400","path:dme00400",0.0100975362711278,0.999794274460423,2,3,0.142375261422901,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00630","path:dme00630",0.0134003674062391,0.996847875650841,6,34,0.157051850087361,"Glyoxylate and dicarboxylate metabolism"
"dme00410","path:dme00410",0.0139541395557312,0.99725160068193,5,25,0.157051850087361,"beta-Alanine metabolism"
"dme01212","path:dme01212",0.014479957809473,0.99559036584997,8,55,0.157051850087361,"Fatty acid metabolism"
"dme04392","path:dme04392",0.0229221983552783,0.995932521201036,4,19,0.230859283435303,"Hippo signaling pathway"
"dme00640","path:dme00640",0.0257731255887455,0.993947614261658,5,29,0.242267380534208,"Propanoate metabolism"
"dme04146","path:dme04146",0.0383366640069409,0.983955938528342,10,90,0.337841851561166,"Peroxisome"
"dme00330","path:dme00330",0.0431955532617888,0.986390450926474,6,44,0.358269000583072,"Arginine and proline metabolism"
"dme00030","path:dme00030",0.0501115897121175,0.988268827856143,4,24,0.386723014183128,"Pentose phosphate pathway"
"dme00500","path:dme00500",0.0530157043461822,0.984600848210389,5,35,0.386723014183128,"Starch and sucrose metabolism"
"dme00785","path:dme00785",0.0550826326888885,0.990253353477908,3,15,0.386723014183128,"Lipoic acid metabolism"
"dme00270","path:dme00270",0.0587848465571653,0.982384124427018,5,36,0.386723014183128,"Cysteine and methionine metabolism"
