"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005506","GO:0005506",5.72696399501397e-05,0.999992525070177,8,129,"iron ion binding","MF",0.687006600841876
"GO:0020037","GO:0020037",0.000310483326827664,0.999955459246797,7,125,"heme binding","MF",0.976754085969368
"GO:0016787","GO:0016787",0.000321083422056356,0.999868704482645,28,1397,"hydrolase activity","MF",0.976754085969368
"GO:0046906","GO:0046906",0.000325693259743037,0.999952892227554,7,126,"tetrapyrrole binding","MF",0.976754085969368
"GO:0004497","GO:0004497",0.000556365374459215,0.999927575895314,6,99,"monooxygenase activity","MF",1
"GO:0043052","GO:0043052",0.000618879529720047,0.999978620851489,3,17,"thermotaxis","BP",1
"GO:0031000","GO:0031000",0.00098985776457485,0.999990135688356,2,5,"response to caffeine","BP",1
"GO:0017085","GO:0017085",0.00104479746474108,0.99995578633138,3,20,"response to insecticide","BP",1
"GO:0009649","GO:0009649",0.0011180945142941,0.999951283297789,3,21,"entrainment of circadian clock","BP",1
"GO:0042578","GO:0042578",0.0015071218498579,0.999674179351718,8,213,"phosphoric ester hydrolase activity","MF",1
"GO:0016788","GO:0016788",0.00247755595580379,0.999210524487302,12,456,"hydrolase activity, acting on ester bonds","MF",1
"GO:0017171","GO:0017171",0.00261502283041201,0.999381684444856,8,228,"serine hydrolase activity","MF",1
"GO:0014074","GO:0014074",0.00269475850195174,0.999946642813603,2,8,"response to purine-containing compound","BP",1
"GO:0042577","GO:0042577",0.0029190556917895,0.999939787240024,2,8,"lipid phosphatase activity","MF",1
"GO:0016705","GO:0016705",0.00362917696737533,0.999310131985928,6,143,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",1
"GO:0046680","GO:0046680",0.00369038042678719,0.999911715776104,2,9,"response to DDT","BP",1
"GO:0008195","GO:0008195",0.0037213102854824,0.999910593535916,2,9,"phosphatidate phosphatase activity","MF",1
"GO:0009636","GO:0009636",0.00380060601156591,0.999564157350042,4,62,"response to toxic substance","BP",1
"GO:0014070","GO:0014070",0.00384442562582201,0.999398959598152,5,105,"response to organic cyclic compound","BP",1
"GO:0046033","GO:0046033",0.00464172222445013,0.99987234340415,2,10,"AMP metabolic process","BP",1
"GO:0004035","GO:0004035",0.00561728828427899,0.999826618318636,2,11,"alkaline phosphatase activity","MF",1
"GO:0003824","GO:0003824",0.00644965819345478,0.996336686714344,48,3415,"catalytic activity","MF",1
"GO:0004252","GO:0004252",0.00660866511238205,0.998575428573636,6,160,"serine-type endopeptidase activity","MF",1
"GO:0009648","GO:0009648",0.0071120871642148,0.999745640947364,2,13,"photoperiodism","BP",1
"GO:0098657","GO:0098657",0.00749104697546514,0.999326632685784,3,40,"import into cell","BP",1
"GO:0097678","GO:0097678",0.00917217369816615,1,1,1,"SOCS family protein binding","MF",1
"GO:0006651","GO:0006651",0.00924019116290687,1,1,1,"diacylglycerol biosynthetic process","BP",1
