"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00565","path:dme00565",0.00132486369762165,0.999941242596529,3,23,0.169416725957455,"Ether lipid metabolism"
"dme04745","path:dme04745",0.00328571867510019,0.999793716396418,3,32,0.169416725957455,"Phototransduction"
"dme00053","path:dme00053",0.00360461119058414,0.999766093569931,3,32,0.169416725957455,"Ascorbate and aldarate metabolism"
"dme01240","path:dme01240",0.0094085344265193,0.998293224751563,5,135,0.309594274540683,"Biosynthesis of cofactors"
"dme00561","path:dme00561",0.0110203210071686,0.998904454022525,3,48,0.309594274540683,"Glycerolipid metabolism"
"dme00730","path:dme00730",0.0131742244485397,0.99935075304152,2,18,0.309594274540683,"Thiamine metabolism"
"dme01232","path:dme01232",0.0202993953459282,0.997443987381822,3,60,0.408887820539412,"Nucleotide metabolism"
"dme00564","path:dme00564",0.0243704842875334,0.99670239404176,3,65,0.429529785567776,"Glycerophospholipid metabolism"
"dme00830","path:dme00830",0.0328723509484513,0.997274954608056,2,29,0.477740432270962,"Retinol metabolism"
"dme00600","path:dme00600",0.0338823001610612,0.997139898993428,2,30,0.477740432270962,"Sphingolipid metabolism"
"dme00440","path:dme00440",0.0571767092966428,0.998652440472007,1,6,0.552122880698294,"Phosphonate and phosphinate metabolism"
"dme00230","path:dme00230",0.0582358363166149,0.988812357180992,3,93,0.552122880698294,"Purine metabolism"
"dme00790","path:dme00790",0.0606673352910118,0.992855860566334,2,41,0.552122880698294,"Folate biosynthesis"
"dme00983","path:dme00983",0.0610792915495744,0.988039222889346,3,92,0.552122880698294,"Drug metabolism"
"dme03022","path:dme03022",0.0624114320501329,0.992527106151382,2,42,0.552122880698294,"Basal transcription factors"
"dme00860","path:dme00860",0.0642467614668836,0.992181697645033,2,42,0.552122880698294,"Porphyrin metabolism"
"dme00232","path:dme00232",0.0665680068927021,0.998114855319744,1,7,0.552122880698294,"Caffeine metabolism"
"dme00340","path:dme00340",0.0755033944497777,0.997516292143049,1,8,0.591443256523259,"Histidine metabolism"
"dme00040","path:dme00040",0.0840644167356859,0.988035953733598,2,49,0.623846461038511,"Pentose and glucuronate interconversions"
"dme04711","path:dme04711",0.106891718758237,0.994725237480954,1,12,0.753586617245573,"Circadian rhythm"
"dme00982","path:dme00982",0.129373781092098,0.97620537263953,2,63,0.843833616010617,"Drug metabolism"
"dme00980","path:dme00980",0.136187378698548,0.974160260011585,2,65,0.843833616010617,"Metabolism of xenobiotics by cytochrome P450"
"dme00770","path:dme00770",0.137646618214498,0.990989403657351,1,15,0.843833616010617,"Pantothenate and CoA biosynthesis"
"dme04080","path:dme04080",0.156645773889023,0.967610866462955,2,72,0.885735719263435,"Neuroactive ligand-receptor interaction"
"dme00220","path:dme00220",0.162837064674181,0.987115567964413,1,18,0.885735719263435,"Arginine biosynthesis"
"dme00760","path:dme00760",0.163327153906733,0.987035290413517,1,18,0.885735719263435,"Nicotinate and nicotinamide metabolism"
"dme01100","path:dme01100",0.174764030828285,0.904088769889856,14,1125,0.906517475077936,"Metabolic pathways"
"dme00380","path:dme00380",0.180017654625406,0.984053944831382,1,20,0.906517475077936,"Tryptophan metabolism"
"dme01210","path:dme01210",0.18669834159093,0.982760639295356,1,21,0.907740212562796,"2-Oxocarboxylic acid metabolism"
"dme00410","path:dme00410",0.218950466933927,0.975789627396782,1,25,0.9780161399855,"beta-Alanine metabolism"
"dme00900","path:dme00900",0.222047013419729,0.975067339591265,1,25,0.9780161399855,"Terpenoid backbone biosynthesis"
"dme04146","path:dme04146",0.222706073991051,0.942532073455415,2,90,0.9780161399855,"Peroxisome"
"dme04330","path:dme04330",0.228897394464691,0.973319364455933,1,28,0.9780161399855,"Notch signaling pathway"
"dme00981","path:dme00981",0.243858545373776,0.969523495288237,1,28,1,"Insect hormone biosynthesis"
"dme00280","path:dme00280",0.281946153439296,0.958368614222346,1,33,1,"Valine, leucine and isoleucine degradation"
"dme00071","path:dme00071",0.287550293046327,0.956553988776428,1,34,1,"Fatty acid degradation"
"dme00310","path:dme00310",0.297830854676519,0.953075845078821,1,37,1,"Lysine degradation"
"dme00514","path:dme00514",0.306199313442096,0.950215246956488,1,37,1,"Other types of O-glycan biosynthesis"
"dme00240","path:dme00240",0.313356041101637,0.947658333041596,1,38,1,"Pyrimidine metabolism"
"dme02010","path:dme02010",0.320067750251909,0.945130502340164,1,41,1,"ABC transporters"
"dme04350","path:dme04350",0.348915381774033,0.93376561189317,1,46,1,"TGF-beta signaling pathway"
"dme00330","path:dme00330",0.356784839227153,0.930548628768899,1,44,1,"Arginine and proline metabolism"
"dme00562","path:dme00562",0.372019373313536,0.92381804702267,1,48,1,"Inositol phosphate metabolism"
"dme00620","path:dme00620",0.394601537092261,0.913287631224976,1,50,1,"Pyruvate metabolism"
"dme03050","path:dme03050",0.420395605482954,0.900193134083698,1,54,1,"Proteasome"
"dme00010","path:dme00010",0.429332297032312,0.895377939059343,1,56,1,"Glycolysis / Gluconeogenesis"
"dme04070","path:dme04070",0.461955957368614,0.876599775234806,1,64,1,"Phosphatidylinositol signaling system"
"dme01230","path:dme01230",0.497810301625625,0.853800627699396,1,69,1,"Biosynthesis of amino acids"
"dme04145","path:dme04145",0.543060848867582,0.821294423370931,1,79,1,"Phagosome"
"dme04310","path:dme04310",0.612477478771064,0.762550109085743,1,97,1,"Wnt signaling pathway"
"dme04150","path:dme04150",0.633937579248141,0.741986240874586,1,102,1,"mTOR signaling pathway"
"dme04814","path:dme04814",0.646998780645587,0.728763737897905,1,111,1,"Motor proteins"
"dme04120","path:dme04120",0.64943106055604,0.726354637477676,1,106,1,"Ubiquitin mediated proteolysis"
"dme04141","path:dme04141",0.752034724188509,0.60368115780868,1,138,1,"Protein processing in endoplasmic reticulum"
"dme00512","path:dme00512",0.999999999999999,0.804837466169581,0,22,1,"Mucin type O-glycan biosynthesis"
"dme00592","path:dme00592",0.999999999999999,0.888587785915836,0,12,1,"alpha-Linolenic acid metabolism"
"dme00910","path:dme00910",0.999999999999999,0.85346080250548,0,16,1,"Nitrogen metabolism"
"dme03083","path:dme03083",0.999999999999999,0.594649131338708,0,55,1,"Polycomb repressive complex"
"dme00590","path:dme00590",0.999999999999999,0.861615268660583,0,15,1,"Arachidonic acid metabolism"
"dme00785","path:dme00785",0.999999999999999,0.862113366566642,0,15,1,"Lipoic acid metabolism"
"dme03010","path:dme03010",0.999999999999999,0.22721644086426,0,143,1,"Ribosome"
"dme04137","path:dme04137",0.999999999999999,0.651971811188213,0,43,1,"Mitophagy"
"dme00130","path:dme00130",0.999999999999999,0.913882552867262,0,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00534","path:dme00534",0.999999999999999,0.873821671130689,0,14,1,"Glycosaminoglycan biosynthesis"
"dme00563","path:dme00563",0.999999999999999,0.786684567488839,0,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme04122","path:dme04122",0.999999999999999,0.914579728408636,0,9,1,"Sulfur relay system"
"dme04136","path:dme04136",0.999999999999999,0.774865486058196,0,26,1,"Autophagy"
"dme04391","path:dme04391",0.999999999999999,0.551910924245651,0,63,1,"Hippo signaling pathway"
"dme00450","path:dme00450",1,0.887252389391307,0,12,1,"Selenocompound metabolism"
"dme00532","path:dme00532",1,0.923909586330595,0,8,1,"Glycosaminoglycan biosynthesis"
"dme04013","path:dme04013",1,0.373381655434543,0,102,1,"MAPK signaling pathway"
"dme00780","path:dme00780",1,0.971216575995242,0,3,1,"Biotin metabolism"
"dme04215","path:dme04215",1,0.798836770150696,0,23,1,"Apoptosis"
"dme04320","path:dme04320",1,0.745823416898987,0,31,1,"Dorso-ventral axis formation"
"dme00062","path:dme00062",1,0.835301795458446,0,18,1,"Fatty acid elongation"
"dme00400","path:dme00400",1,0.970429551146126,0,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00520","path:dme00520",1,0.602252776051346,0,51,1,"Amino sugar and nucleotide sugar metabolism"
"dme00630","path:dme00630",1,0.712611251913267,0,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme00750","path:dme00750",1,0.932590585287721,0,7,1,"Vitamin B6 metabolism"
"dme04214","path:dme04214",1,0.518331568421344,0,68,1,"Apoptosis"
"dme00250","path:dme00250",1,0.743652960622763,0,30,1,"Alanine, aspartate and glutamate metabolism"
"dme00290","path:dme00290",1,0.980523615074415,0,2,1,"Valine, leucine and isoleucine biosynthesis"
