"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0015453","GO:0015453",4.78338877223613e-07,0.999999970939885,8,32,"oxidoreduction-driven active transmembrane transporter activity","MF",0.00573815317117446
"GO:0016491","GO:0016491",1.06666755893823e-06,0.99999964632439,32,543,"oxidoreductase activity","MF",0.00628308110557723
"GO:0009055","GO:0009055",1.57129404107466e-06,0.999999884930764,8,37,"electron transfer activity","MF",0.00628308110557723
"GO:0004129","GO:0004129",1.22967789537274e-05,1,3,3,"cytochrome-c oxidase activity","MF",0.0295024320657828
"GO:0016675","GO:0016675",1.22967789537274e-05,1,3,3,"oxidoreductase activity, acting on a heme group of donors","MF",0.0295024320657828
"GO:0030512","GO:0030512",4.4812332142553e-05,0.999999745586835,3,4,"negative regulation of transforming growth factor beta receptor signaling pathway","BP",0.0767955337688665
"GO:0050431","GO:0050431",4.4812332142553e-05,0.999999745586835,3,4,"transforming growth factor beta binding","MF",0.0767955337688665
"GO:0003954","GO:0003954",5.7552863963055e-05,0.999996905449386,5,19,"NADH dehydrogenase activity","MF",0.086300519512601
"GO:0042600","GO:0042600",7.88207164196256e-05,0.99999541663286,5,20,"egg chorion","CC",0.100061507836642
"GO:0019955","GO:0019955",8.34123939951999e-05,0.999995090199626,5,20,"cytokine binding","MF",0.100061507836642
"GO:0017015","GO:0017015",0.000111724093970945,0.999998726641028,3,5,"regulation of transforming growth factor beta receptor signaling pathway","BP",0.101778917647841
"GO:1903844","GO:1903844",0.000111724093970945,0.999998726641028,3,5,"regulation of cellular response to transforming growth factor beta stimulus","BP",0.101778917647841
"GO:0015988","GO:0015988",0.000118781664477306,0.999998617476593,3,5,"energy coupled proton transmembrane transport, against electrochemical gradient","BP",0.101778917647841
"GO:0015990","GO:0015990",0.000118781664477306,0.999998617476593,3,5,"electron transport coupled proton transport","BP",0.101778917647841
"GO:0048019","GO:0048019",0.000221645950526088,0.999996203349662,3,6,"receptor antagonist activity","MF",0.177257654834063
"GO:0003824","GO:0003824",0.000283047551090942,0.999827365094093,106,3415,"catalytic activity","MF",0.212214901430434
"GO:0030547","GO:0030547",0.00039030366163292,0.999991023903029,3,7,"signaling receptor inhibitor activity","MF",0.275416630879324
"GO:0003955","GO:0003955",0.000528113430630959,0.999968370149077,4,17,"NAD(P)H dehydrogenase (quinone) activity","MF",0.301678510183285
"GO:0008137","GO:0008137",0.000528113430630959,0.999968370149077,4,17,"NADH dehydrogenase (ubiquinone) activity","MF",0.301678510183285
"GO:0016655","GO:0016655",0.000528113430630959,0.999968370149077,4,17,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","MF",0.301678510183285
"GO:0050136","GO:0050136",0.000528113430630959,0.999968370149077,4,17,"NADH dehydrogenase (quinone) activity","MF",0.301678510183285
"GO:0015399","GO:0015399",0.000600004201017683,0.999860767332161,10,122,"primary active transmembrane transporter activity","MF",0.309805554540062
"GO:0070341","GO:0070341",0.000626778711094226,1,2,2,"fat cell proliferation","BP",0.309805554540062
"GO:0070344","GO:0070344",0.000626778711094226,1,2,2,"regulation of fat cell proliferation","BP",0.309805554540062
"GO:0042593","GO:0042593",0.000676880446585738,0.99991073287816,6,46,"glucose homeostasis","BP",0.309805554540062
"GO:0016651","GO:0016651",0.000682131150747481,0.999932045260861,5,31,"oxidoreductase activity, acting on NAD(P)H","MF",0.309805554540062
"GO:0007304","GO:0007304",0.000697294929358259,0.999850636835664,9,101,"chorion-containing eggshell formation","BP",0.309805554540062
"GO:0030703","GO:0030703",0.000748313215589711,0.99983802568157,9,102,"eggshell formation","BP",0.32059876193622
"GO:0004866","GO:0004866",0.000880324140091193,0.999850591091704,7,67,"endopeptidase inhibitor activity","MF",0.364150633949447
"GO:0061135","GO:0061135",0.00105008058854807,0.999815964395894,7,69,"endopeptidase regulator activity","MF",0.41989222467409
"GO:0004867","GO:0004867",0.00109431971023949,0.999840363554259,6,51,"serine-type endopeptidase inhibitor activity","MF",0.423466427226869
"GO:0030414","GO:0030414",0.00114194532634747,0.999796771830617,7,70,"peptidase inhibitor activity","MF",0.428086754214507
"GO:0019838","GO:0019838",0.00131181573673893,0.999946801512645,3,10,"growth factor binding","MF",0.468202086164465
"GO:0007179","GO:0007179",0.00132701491577124,0.999945966977258,3,10,"transforming growth factor beta receptor signaling pathway","BP",0.468202086164465
"GO:0042578","GO:0042578",0.00150390120535797,0.999518203398377,13,213,"phosphoric ester hydrolase activity","MF",0.515451395984978
"GO:0033500","GO:0033500",0.00174575631986894,0.999719421351126,6,55,"carbohydrate homeostasis","BP",0.556631899494232
"GO:0070293","GO:0070293",0.00176325543354291,0.999985481201314,2,3,"renal absorption","BP",0.556631899494232
"GO:0097017","GO:0097017",0.00176325543354291,0.999985481201314,2,3,"renal protein absorption","BP",0.556631899494232
"GO:0043235","GO:0043235",0.00188486526443634,0.999632702809605,7,74,"receptor complex","CC",0.579765223389187
"GO:0061134","GO:0061134",0.00201209428940488,0.999602575298223,7,77,"peptidase regulator activity","MF",0.597657398867197
"GO:0015980","GO:0015980",0.0020426770051313,0.999395793871526,11,170,"energy derivation by oxidation of organic compounds","BP",0.597657398867197
"GO:0019199","GO:0019199",0.00209621155940601,0.999808380790019,4,23,"transmembrane receptor protein kinase activity","MF",0.598717949205582
"GO:0038024","GO:0038024",0.00231208610290006,0.999688865991604,5,40,"cargo receptor activity","MF",0.621172092485821
"GO:0071559","GO:0071559",0.00233017207084544,0.999878664859694,3,12,"response to transforming growth factor beta","BP",0.621172092485821
"GO:0071560","GO:0071560",0.00233017207084544,0.999878664859694,3,12,"cellular response to transforming growth factor beta stimulus","BP",0.621172092485821
"GO:0051482","GO:0051482",0.0032601399986004,0.999948111826331,2,4,"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway","BP",0.835928007866009
"GO:0051283","GO:0051283",0.00327514307850137,0.99994774955609,2,4,"negative regulation of sequestering of calcium ion","BP",0.835928007866009
"GO:0003014","GO:0003014",0.00356883999646965,0.999614700725654,4,27,"renal system process","BP",0.891912595784374
"GO:0005746","GO:0005746",0.00368375640553007,0.999184965712044,7,86,"mitochondrial respirasome","CC",0.901843711035484
"GO:0044242","GO:0044242",0.00386004276168982,0.999138662501157,7,86,"cellular lipid catabolic process","BP",0.90531256904222
"GO:0070469","GO:0070469",0.00392432924226371,0.999121262160783,7,87,"respirasome","CC",0.90531256904222
"GO:0098803","GO:0098803",0.00392432924226371,0.999121262160783,7,87,"respiratory chain complex","CC",0.90531256904222
"GO:0030141","GO:0030141",0.00433366316418627,0.999502402959833,4,29,"secretory granule","CC",0.975760353885206
"GO:0022804","GO:0022804",0.00439238572105711,0.998401797592152,13,240,"active transmembrane transporter activity","MF",0.975760353885206
"GO:0048878","GO:0048878",0.00495750876164764,0.998091100436975,14,273,"chemical homeostasis","BP",1
"GO:0043410","GO:0043410",0.00499775931342528,0.998995441722977,6,67,"positive regulation of MAPK cascade","BP",1
"GO:0046434","GO:0046434",0.00503667642014971,0.999176363331241,5,48,"organophosphate catabolic process","BP",1
"GO:0016137","GO:0016137",0.00520650747636435,0.999877663986829,2,5,"glycoside metabolic process","BP",1
"GO:0016139","GO:0016139",0.00520650747636435,0.999877663986829,2,5,"glycoside catabolic process","BP",1
"GO:0030976","GO:0030976",0.00528212943187551,0.999874956133275,2,5,"thiamine pyrophosphate binding","MF",1
"GO:0051282","GO:0051282",0.00531918677728409,0.999873621730078,2,5,"regulation of sequestering of calcium ion","BP",1
