"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00650","path:dme00650",0.000455092920782768,0.999974731421757,4,16,0.0546622979505215,"Butanoate metabolism"
"dme01100","path:dme01100",0.000775351743979029,0.999662818473388,41,1125,0.0546622979505215,"Metabolic pathways"
"dme00983","path:dme00983",0.00597177904537287,0.998597809364612,7,92,0.280673615132525,"Drug metabolism"
"dme00190","path:dme00190",0.010222729524981,0.99679661950938,9,153,0.295151478758392,"Oxidative phosphorylation"
"dme04213","path:dme04213",0.0122036639218216,0.997564536885386,5,57,0.295151478758392,"Longevity regulating pathway"
"dme00240","path:dme00240",0.0125596373939741,0.998041723470821,4,38,0.295151478758392,"Pyrimidine metabolism"
"dme00410","path:dme00410",0.0214838082768797,0.997256519500562,3,25,0.432745281005719,"beta-Alanine metabolism"
"dme00040","path:dme00040",0.0289689364955655,0.994103923922914,4,49,0.510577505734341,"Pentose and glucuronate interconversions"
"dme04140","path:dme04140",0.0348133604174162,0.989420105673718,6,101,0.540364841609429,"Autophagy"
"dme04745","path:dme04745",0.0418258771667242,0.992964597546049,3,32,0.540364841609429,"Phototransduction"
"dme01240","path:dme01240",0.0421561223950618,0.985187482169176,7,135,0.540364841609429,"Biosynthesis of cofactors"
"dme00770","path:dme00770",0.0496181536512356,0.994958145766766,2,15,0.583013305402018,"Pantothenate and CoA biosynthesis"
"dme01232","path:dme01232",0.0550975327061847,0.986134851408826,4,60,0.597596316274772,"Nucleotide metabolism"
"dme04142","path:dme04142",0.0616744950185018,0.978391576147766,6,117,0.621150271257768,"Lysosome"
"dme00790","path:dme00790",0.0749765473692892,0.983833693353594,3,41,0.662222675952401,"Folate biosynthesis"
"dme00230","path:dme00230",0.0751458355690668,0.975265216897848,5,93,0.662222675952401,"Purine metabolism"
"dme00561","path:dme00561",0.108405598816083,0.972532674270587,3,48,0.89912879018045,"Glycerolipid metabolism"
"dme04136","path:dme04136",0.130472403725405,0.975974710037588,2,26,1,"Autophagy"
"dme00640","path:dme00640",0.154560691416218,0.968326908869112,2,29,1,"Propanoate metabolism"
"dme00232","path:dme00232",0.158091107986205,0.988729088544674,1,7,1,"Caffeine metabolism"
"dme00250","path:dme00250",0.163938068955757,0.965129233041343,2,30,1,"Alanine, aspartate and glutamate metabolism"
"dme00600","path:dme00600",0.164001655699025,0.965107473150093,2,30,1,"Sphingolipid metabolism"
"dme00053","path:dme00053",0.179391218212563,0.959566920347522,2,32,1,"Ascorbate and aldarate metabolism"
"dme00051","path:dme00051",0.187166233464056,0.956640834229559,2,33,1,"Fructose and mannose metabolism"
"dme00071","path:dme00071",0.197512777744077,0.952632972696943,2,34,1,"Fatty acid degradation"
"dme00564","path:dme00564",0.208457839431528,0.928574488597841,3,65,1,"Glycerophospholipid metabolism"
"dme01230","path:dme01230",0.232810441516244,0.915810799533624,3,69,1,"Biosynthesis of amino acids"
"dme00592","path:dme00592",0.255429872574598,0.967307106046088,1,12,1,"alpha-Linolenic acid metabolism"
"dme00860","path:dme00860",0.268383397625912,0.921147347562137,2,42,1,"Porphyrin metabolism"
"dme00670","path:dme00670",0.272168601512271,0.962365423561505,1,13,1,"One carbon pool by folate"
"dme04137","path:dme04137",0.278318536834159,0.916190488821534,2,43,1,"Mitophagy"
"dme00330","path:dme00330",0.286807150159337,0.911840531124017,2,44,1,"Arginine and proline metabolism"
"dme00534","path:dme00534",0.293942433451384,0.955430693784745,1,14,1,"Glycosaminoglycan biosynthesis"
"dme00785","path:dme00785",0.308077513836839,0.9504980037775,1,15,1,"Lipoic acid metabolism"
"dme04624","path:dme04624",0.324606048930212,0.860958619544722,3,83,1,"Toll and Imd signaling pathway"
"dme00531","path:dme00531",0.342075381270529,0.93753732666862,1,17,1,"Glycosaminoglycan degradation"
"dme00730","path:dme00730",0.355788049147443,0.931783496436008,1,18,1,"Thiamine metabolism"
"dme00760","path:dme00760",0.357213810275193,0.931188905161133,1,18,1,"Nicotinate and nicotinamide metabolism"
"dme00220","path:dme00220",0.357837875534873,0.930927693062548,1,18,1,"Arginine biosynthesis"
"dme00511","path:dme00511",0.374917370440734,0.923348077078287,1,19,1,"Other glycan degradation"
"dme01212","path:dme01212",0.385060759426636,0.854275540892055,2,55,1,"Fatty acid metabolism"
"dme00380","path:dme00380",0.388210761441473,0.917086621495332,1,20,1,"Tryptophan metabolism"
"dme04130","path:dme04130",0.40026696859211,0.911144430406875,1,21,1,"SNARE interactions in vesicular transport"
"dme00565","path:dme00565",0.431627647804192,0.894655707442241,1,23,1,"Ether lipid metabolism"
"dme00030","path:dme00030",0.444869990023955,0.887154892764897,1,24,1,"Pentose phosphate pathway"
"dme00900","path:dme00900",0.456477671121505,0.880302020989062,1,25,1,"Terpenoid backbone biosynthesis"
"dme01040","path:dme01040",0.458962247773328,0.878838242985288,1,25,1,"Biosynthesis of unsaturated fatty acids"
"dme00980","path:dme00980",0.464982350696393,0.79720667858017,2,65,1,"Metabolism of xenobiotics by cytochrome P450"
"dme04070","path:dme04070",0.46926277630329,0.793954425805037,2,64,1,"Phosphatidylinositol signaling system"
"dme00981","path:dme00981",0.496265388761651,0.854977858615311,1,28,1,"Insect hormone biosynthesis"
"dme04068","path:dme04068",0.500582400893756,0.7687273973598,2,68,1,"FoxO signaling pathway"
"dme00830","path:dme00830",0.508177849242531,0.8467822987566,1,29,1,"Retinol metabolism"
"dme04330","path:dme04330",0.509442533855561,0.846064868250336,1,28,1,"Notch signaling pathway"
"dme04320","path:dme04320",0.542259694320157,0.821844398863049,1,31,1,"Dorso-ventral axis formation"
"dme00280","path:dme00280",0.554408155646704,0.812170835086176,1,33,1,"Valine, leucine and isoleucine degradation"
"dme01200","path:dme01200",0.571365165949572,0.660020476124515,3,122,1,"Carbon metabolism"
"dme00310","path:dme00310",0.605339519827073,0.768514304682459,1,37,1,"Lysine degradation"
"dme03015","path:dme03015",0.61123345771229,0.666329749352836,2,84,1,"mRNA surveillance pathway"
"dme00052","path:dme00052",0.615242313010691,0.75913982881529,1,39,1,"Galactose metabolism"
"dme04146","path:dme04146",0.645741885981264,0.62971921894827,2,90,1,"Peroxisome"
"dme02010","path:dme02010",0.645923236689246,0.728944345120788,1,41,1,"ABC transporters"
"dme04144","path:dme04144",0.655207485518279,0.571935737369935,3,136,1,"Endocytosis"
"dme04141","path:dme04141",0.656814128065942,0.57009938720309,3,138,1,"Protein processing in endoplasmic reticulum"
"dme03010","path:dme03010",0.667541933429369,0.557888598071454,3,143,1,"Ribosome"
"dme04350","path:dme04350",0.693629019439574,0.676376675859719,1,46,1,"TGF-beta signaling pathway"
"dme00562","path:dme00562",0.698794803979072,0.670113697240335,1,48,1,"Inositol phosphate metabolism"
"dme04150","path:dme04150",0.719401915165047,0.543006723194058,2,102,1,"mTOR signaling pathway"
"dme03013","path:dme03013",0.738769179779663,0.518007535552131,2,106,1,"Nucleocytoplasmic transport"
"dme00982","path:dme00982",0.786207926818726,0.551137583679343,1,63,1,"Drug metabolism"
"dme03040","path:dme03040",0.828804794369604,0.387115414449399,2,129,1,"Spliceosome"
"dme04080","path:dme04080",0.831262887782086,0.476360626303472,1,72,1,"Neuroactive ligand-receptor interaction"
"dme03008","path:dme03008",0.849198365344853,0.443337917511518,1,76,1,"Ribosome biogenesis in eukaryotes"
"dme04145","path:dme04145",0.86046546091046,0.421478393150665,1,79,1,"Phagosome"
"dme04310","path:dme04310",0.913033708739412,0.305602308047895,1,97,1,"Wnt signaling pathway"
"dme04814","path:dme04814",0.942961901829332,0.225733382736351,1,111,1,"Motor proteins"
"dme00010","path:dme00010",0.999999999999998,0.251438432466942,0,56,1,"Glycolysis / Gluconeogenesis"
"dme03440","path:dme03440",0.999999999999999,0.537731707379689,0,25,1,"Homologous recombination"
"dme04711","path:dme04711",0.999999999999999,0.739669170256088,0,12,1,"Circadian rhythm"
