"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0030512","GO:0030512",5.9813561668258e-05,0.999999625855819,3,4,"negative regulation of transforming growth factor beta receptor signaling pathway","BP",0.222685792299049
"GO:0050431","GO:0050431",5.9813561668258e-05,0.999999625855819,3,4,"transforming growth factor beta binding","MF",0.222685792299049
"GO:0008236","GO:0008236",7.89583958575449e-05,0.999981698677171,13,178,"serine-type peptidase activity","MF",0.222685792299049
"GO:0030414","GO:0030414",8.47841086628018e-05,0.999988418228443,8,70,"peptidase inhibitor activity","MF",0.222685792299049
"GO:0004252","GO:0004252",0.000129297659706599,0.999970617679539,12,160,"serine-type endopeptidase activity","MF",0.222685792299049
"GO:0017015","GO:0017015",0.000129943359961099,0.999998442826358,3,5,"regulation of transforming growth factor beta receptor signaling pathway","BP",0.222685792299049
"GO:1903844","GO:1903844",0.000129943359961099,0.999998442826358,3,5,"regulation of cellular response to transforming growth factor beta stimulus","BP",0.222685792299049
"GO:0061134","GO:0061134",0.000157348149222951,0.999976325644544,8,77,"peptidase regulator activity","MF",0.235943549759815
"GO:0090101","GO:0090101",0.000200352952706907,0.999984854589607,5,30,"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.25715349854757
"GO:0017171","GO:0017171",0.000234195259274248,0.999935387903933,14,228,"serine hydrolase activity","MF",0.25715349854757
"GO:0048019","GO:0048019",0.000235802641215678,0.999995880604436,3,6,"receptor antagonist activity","MF",0.25715349854757
"GO:0016787","GO:0016787",0.00027403404466397,0.999862263341165,45,1397,"hydrolase activity","MF",0.273942699982415
"GO:0030547","GO:0030547",0.000350501701193463,0.99999224633796,3,7,"signaling receptor inhibitor activity","MF",0.323432185193599
"GO:0004866","GO:0004866",0.000410842651992383,0.999938929413378,7,67,"endopeptidase inhibitor activity","MF",0.352033460950045
"GO:0061135","GO:0061135",0.000488845906458485,0.999925045632641,7,69,"endopeptidase regulator activity","MF",0.370157623690884
"GO:0042600","GO:0042600",0.000493708067610382,0.999970186089624,4,20,"egg chorion","CC",0.370157623690884
"GO:0090092","GO:0090092",0.000585176739559023,0.999923852063257,6,59,"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.412928245161767
"GO:0007179","GO:0007179",0.00083016893831759,0.999971359321632,3,10,"transforming growth factor beta receptor signaling pathway","BP",0.553261476892101
"GO:0019838","GO:0019838",0.000923613236872832,0.999966927794086,3,10,"growth factor binding","MF",0.581051286119992
"GO:0004857","GO:0004857",0.00101598994605519,0.999794271837976,8,103,"enzyme inhibitor activity","MF",0.581051286119992
"GO:0007178","GO:0007178",0.00106453799811062,0.999843413325248,6,67,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.581051286119992
"GO:0090287","GO:0090287",0.00106561589651882,0.999843223879166,6,67,"regulation of cellular response to growth factor stimulus","BP",0.581051286119992
"GO:0032488","GO:0032488",0.00115677149613462,0.999992331441864,2,3,"Cdc42 protein signal transduction","BP",0.603331776853518
"GO:0071559","GO:0071559",0.00156527924963139,0.999929290594488,3,12,"response to transforming growth factor beta","BP",0.751083595143124
"GO:0071560","GO:0071560",0.00156527924963139,0.999929290594488,3,12,"cellular response to transforming growth factor beta stimulus","BP",0.751083595143124
"GO:0016298","GO:0016298",0.00174156220385099,0.999717834830061,6,67,"lipase activity","MF",0.790559674190146
"GO:0007304","GO:0007304",0.00183158895891023,0.999641195742059,7,101,"chorion-containing eggshell formation","BP",0.790559674190146
"GO:0004175","GO:0004175",0.00184525432455186,0.99936608032769,14,286,"endopeptidase activity","MF",0.790559674190146
"GO:0030703","GO:0030703",0.00193269890582656,0.999617648716399,7,102,"eggshell formation","BP",0.799470899113635
"GO:0016042","GO:0016042",0.00234397352946067,0.999454730342596,8,122,"lipid catabolic process","BP",0.937276881980342
"GO:0015837","GO:0015837",0.00272967177458694,0.999840206455829,3,17,"amine transport","BP",1
"GO:0047389","GO:0047389",0.00279609066152543,0.999952374875413,2,5,"glycerophosphocholine phosphodiesterase activity","MF",1
"GO:2001070","GO:2001070",0.00279609066152543,0.999952374875413,2,5,"starch binding","MF",1
"GO:0005576","GO:0005576",0.00286675609244169,0.998597336586219,27,770,"extracellular region","CC",1
"GO:0043052","GO:0043052",0.0031078343386799,0.99980948690452,3,17,"thermotaxis","BP",1
"GO:0006629","GO:0006629",0.00341605472472699,0.998528800993365,19,504,"lipid metabolic process","BP",1
"GO:0004867","GO:0004867",0.00379152657886887,0.999419373691564,5,51,"serine-type endopeptidase inhibitor activity","MF",1
"GO:0006591","GO:0006591",0.00403113981094523,0.999917119749469,2,5,"ornithine metabolic process","BP",1
"GO:0008202","GO:0008202",0.00412045451723481,0.999352656927395,5,57,"steroid metabolic process","BP",1
"GO:0032958","GO:0032958",0.00420678252944573,0.999903890148127,2,6,"inositol phosphate biosynthetic process","BP",1
"GO:0019955","GO:0019955",0.00518849154067183,0.99960993395066,3,20,"cytokine binding","MF",1
"GO:1901617","GO:1901617",0.00524587019291664,0.999125231196938,5,60,"organic hydroxy compound biosynthetic process","BP",1
"GO:0005615","GO:0005615",0.00534618032794451,0.997598202364844,19,500,"extracellular space","CC",1
"GO:0044242","GO:0044242",0.00564361363063249,0.998827387301875,6,86,"cellular lipid catabolic process","BP",1
"GO:0008106","GO:0008106",0.00574829241912626,0.99955728876326,3,18,"alcohol dehydrogenase (NADP+) activity","MF",1
"GO:0016810","GO:0016810",0.00614447702503794,0.998702226362838,6,83,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF",1
"GO:0016788","GO:0016788",0.00632699525206263,0.99724608464778,17,456,"hydrolase activity, acting on ester bonds","MF",1
"GO:0035285","GO:0035285",0.00637893591033268,0.999475691995165,3,23,"appendage segmentation","BP",1
