"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00562","path:dme00562",0.0106723826556383,0.99895152628998,3,48,1,"Inositol phosphate metabolism"
"dme04070","path:dme04070",0.0231665514683846,0.996926741292805,3,64,1,"Phosphatidylinositol signaling system"
"dme04745","path:dme04745",0.0378225154701287,0.996600281169488,2,32,1,"Phototransduction"
"dme00604","path:dme00604",0.0476816818365052,0.999103384539182,1,5,1,"Glycosphingolipid biosynthesis"
"dme00330","path:dme00330",0.0671878469642555,0.991603224124335,2,44,1,"Arginine and proline metabolism"
"dme04122","path:dme04122",0.0842950531380673,0.996845021313288,1,9,1,"Sulfur relay system"
"dme01232","path:dme01232",0.11440478078888,0.980448396840196,2,60,1,"Nucleotide metabolism"
"dme00670","path:dme00670",0.119503324837239,0.993328882458136,1,13,1,"One carbon pool by folate"
"dme00534","path:dme00534",0.128043570264316,0.992270963909454,1,14,1,"Glycosaminoglycan biosynthesis"
"dme00650","path:dme00650",0.145030439008052,0.989924070482286,1,16,1,"Butanoate metabolism"
"dme04141","path:dme04141",0.148118222621354,0.957468774640902,3,138,1,"Protein processing in endoplasmic reticulum"
"dme00531","path:dme00531",0.153340275562109,0.988656110399904,1,17,1,"Glycosaminoglycan degradation"
"dme04080","path:dme04080",0.154016915568125,0.968478628549533,2,72,1,"Neuroactive ligand-receptor interaction"
"dme00760","path:dme00760",0.161647562967841,0.987309304213834,1,18,1,"Nicotinate and nicotinamide metabolism"
"dme03008","path:dme03008",0.167745169853882,0.963808609081798,2,76,1,"Ribosome biogenesis in eukaryotes"
"dme00511","path:dme00511",0.169806214252925,0.985908012395492,1,19,1,"Other glycan degradation"
"dme00480","path:dme00480",0.174745898266813,0.961326371306053,2,78,1,"Glutathione metabolism"
"dme00410","path:dme00410",0.217389923882171,0.976149233771255,1,25,1,"beta-Alanine metabolism"
"dme00230","path:dme00230",0.228135072904708,0.940194642485538,2,93,1,"Purine metabolism"
"dme00260","path:dme00260",0.232742319344466,0.972405027478519,1,27,1,"Glycine, serine and threonine metabolism"
"dme04330","path:dme04330",0.240134665647138,0.970494366300547,1,28,1,"Notch signaling pathway"
"dme03460","path:dme03460",0.240180160871072,0.97048260981221,1,28,1,"Fanconi anemia pathway"
"dme00640","path:dme00640",0.247648473065847,0.96848101264248,1,29,1,"Propanoate metabolism"
"dme00600","path:dme00600",0.255009014755451,0.966437019877822,1,30,1,"Sphingolipid metabolism"
"dme04320","path:dme04320",0.262244779568004,0.964357910621802,1,31,1,"Dorso-ventral axis formation"
"dme01100","path:dme01100",0.272287867670286,0.83599296474557,13,1125,1,"Metabolic pathways"
"dme00280","path:dme00280",0.276814803846491,0.959960902349116,1,33,1,"Valine, leucine and isoleucine degradation"
"dme00071","path:dme00071",0.283898566937188,0.957718941643678,1,34,1,"Fatty acid degradation"
"dme00270","path:dme00270",0.297968766164792,0.95306156523975,1,36,1,"Cysteine and methionine metabolism"
"dme00514","path:dme00514",0.304787205673986,0.950704722188707,1,37,1,"Other types of O-glycan biosynthesis"
"dme00240","path:dme00240",0.311674663694804,0.948257933843912,1,38,1,"Pyrimidine metabolism"
"dme04142","path:dme04142",0.315760811705393,0.897198856058193,2,117,1,"Lysosome"
"dme00052","path:dme00052",0.318485505674743,0.945771680070471,1,39,1,"Galactose metabolism"
"dme03022","path:dme03022",0.338435371669862,0.938100821071227,1,42,1,"Basal transcription factors"
"dme01212","path:dme01212",0.418469212317985,0.901172964884336,1,55,1,"Fatty acid metabolism"
"dme03018","path:dme03018",0.457617398212304,0.879230138848227,1,62,1,"RNA degradation"
"dme00982","path:dme00982",0.463134571362442,0.875917860750834,1,63,1,"Drug metabolism"
"dme00980","path:dme00980",0.473746856264095,0.869386890405712,1,65,1,"Metabolism of xenobiotics by cytochrome P450"
"dme01230","path:dme01230",0.494189638231846,0.856202829736739,1,69,1,"Biosynthesis of amino acids"
"dme04624","path:dme04624",0.56046253520639,0.807630530593189,1,83,1,"Toll and Imd signaling pathway"
"dme04146","path:dme04146",0.590286375213676,0.782601561356379,1,90,1,"Peroxisome"
"dme00983","path:dme00983",0.598524592073574,0.775312042298951,1,92,1,"Drug metabolism"
"dme04310","path:dme04310",0.618066800252575,0.757334845050814,1,97,1,"Wnt signaling pathway"
"dme01200","path:dme01200",0.703567348433399,0.666094042472712,1,122,1,"Carbon metabolism"
"dme03040","path:dme03040",0.723993609537978,0.640846613774151,1,129,1,"Spliceosome"
"dme01240","path:dme01240",0.740385055232893,0.619482427529357,1,135,1,"Biosynthesis of cofactors"
"dme04144","path:dme04144",0.742881265748929,0.616137647164166,1,136,1,"Endocytosis"
"dme00190","path:dme00190",0.784133311780086,0.557105382843351,1,153,1,"Oxidative phosphorylation"
"dme04814","path:dme04814",0.999999999999998,0.331576239250555,0,111,1,"Motor proteins"
"dme03010","path:dme03010",0.999999999999999,0.238836729283637,0,143,1,"Ribosome"
"dme00603","path:dme00603",0.999999999999999,0.961668360750813,0,4,1,"Glycosphingolipid biosynthesis"
"dme03250","path:dme03250",0.999999999999999,0.716179919437432,0,34,1,"Viral life cycle"
"dme00515","path:dme00515",0.999999999999999,0.961680257702036,0,4,1,"Mannose type O-glycan biosynthesis"
"dme00740","path:dme00740",0.999999999999999,0.942995730215058,0,6,1,"Riboflavin metabolism"
"dme00440","path:dme00440",0.999999999999999,0.943048685667352,0,6,1,"Phosphonate and phosphinate metabolism"
"dme00564","path:dme00564",0.999999999999999,0.526441667577291,0,65,1,"Glycerophospholipid metabolism"
"dme01250","path:dme01250",0.999999999999999,0.730380009659509,0,32,1,"Biosynthesis of nucleotide sugars"
"dme04213","path:dme04213",0.999999999999999,0.570204975978573,0,57,1,"Longevity regulating pathway"
"dme00040","path:dme00040",0.999999999999999,0.617228737932659,0,49,1,"Pentose and glucuronate interconversions"
"dme00051","path:dme00051",0.999999999999999,0.723136217753276,0,33,1,"Fructose and mannose metabolism"
"dme00510","path:dme00510",0.999999999999999,0.681554075518244,0,39,1,"N-Glycan biosynthesis"
"dme00920","path:dme00920",0.999999999999999,0.90679256385429,0,10,1,"Sulfur metabolism"
"dme04214","path:dme04214",0.999999999999999,0.510985594571176,0,68,1,"Apoptosis"
"dme00100","path:dme00100",1,0.95229697696417,0,5,1,"Steroid biosynthesis"
"dme00350","path:dme00350",1,0.798120616049466,0,23,1,"Tyrosine metabolism"
"dme00360","path:dme00360",1,0.933846105341173,0,7,1,"Phenylalanine metabolism"
"dme00780","path:dme00780",1,0.971111220767406,0,3,1,"Biotin metabolism"
"dme00400","path:dme00400",1,0.971106992764861,0,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme03450","path:dme03450",1,0.933867157874427,0,7,1,"Non-homologous end-joining"
"dme00500","path:dme00500",1,0.709059775199979,0,35,1,"Starch and sucrose metabolism"
"dme00520","path:dme00520",1,0.605123047732088,0,51,1,"Amino sugar and nucleotide sugar metabolism"
"dme03015","path:dme03015",1,0.435265545585202,0,84,1,"mRNA surveillance pathway"
"dme03083","path:dme03083",1,0.581584189940662,0,55,1,"Polycomb repressive complex"
"dme03420","path:dme03420",1,0.617190866301912,0,49,1,"Nucleotide excision repair"
"dme04013","path:dme04013",1,0.36323169151457,0,102,1,"MAPK signaling pathway"
"dme04512","path:dme04512",1,0.898054303225844,0,11,1,"ECM-receptor interaction"
"dme00250","path:dme00250",1,0.744967120925737,0,30,1,"Alanine, aspartate and glutamate metabolism"
"dme00310","path:dme00310",1,0.695249428677917,0,37,1,"Lysine degradation"
"dme00563","path:dme00563",1,0.79030121147368,0,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00730","path:dme00730",1,0.838312018535671,0,18,1,"Thiamine metabolism"
"dme00790","path:dme00790",1,0.668184676603886,0,41,1,"Folate biosynthesis"
"dme04068","path:dme04068",1,0.510941460704324,0,68,1,"FoxO signaling pathway"
"dme04215","path:dme04215",1,0.798110470074039,0,23,1,"Apoptosis"
"dme04392","path:dme04392",1,0.830212918012376,0,19,1,"Hippo signaling pathway"
"dme00010","path:dme00010",1,0.575782898879904,0,56,1,"Glycolysis / Gluconeogenesis"
"dme00030","path:dme00030",1,0.790312838605527,0,24,1,"Pentose phosphate pathway"
"dme00130","path:dme00130",1,0.915707312142172,0,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00380","path:dme00380",1,0.822040136967224,0,20,1,"Tryptophan metabolism"
"dme00430","path:dme00430",1,0.92475939225499,0,8,1,"Taurine and hypotaurine metabolism"
"dme00450","path:dme00450",1,0.889201749526452,0,12,1,"Selenocompound metabolism"
"dme00470","path:dme00470",1,0.971095504956537,0,3,1,"D-Amino acid metabolism"
