"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"Label","A","A","A","A","B","B","B","B","C","C","C","C","D","D","D","D","E","E","E","E","F","F","F","F"
"1,3-bisphospho-D-glycerate"," 3456810"," 2492623"," 3445093"," 2435900"," 2598119","12434556"," 2332798"," 2452417","13058335"," 2338415"," 2679067"," 2377857"," 2464035"," 2289891"," 2425126"," 2472508"," 2628534"," 2244771"," 2332949"," 3401050"," 3088740"," 2606638"," 2357532"," 2393549"
"2- / 3-phosphoglycerate"," 3581311418"," 4693620305"," 3141501939"," 2859777652"," 4868516277"," 7083359399"," 8616311086"," 4856289631","14955293896"," 3373731529"," 3812397685"," 5059733527"," 5949153971"," 5425778562"," 6296527280"," 6835385961"," 4464727545"," 6530426303"," 3938718741"," 2495851255"," 3925843247"," 7716959387"," 4022986821"," 5919038746"
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine"," 132704099"," 948693638"," 306572786"," 240625646"," 321779958"," 602835297"," 634663184"," 524426289","1015686184"," 188370871"," 465533419"," 930978198"," 551649096","1027692074"," 480838580"," 658860659"," 121175325"," 172452535"," 383786049"," 159288572"," 213461635"," 452829833"," 130290052"," 376592254"
"2,3-bisphospho-D-glycerate","89397031","66714237","62492175","27675846","38186225","81965474","32826582","23164373","37501293","42511007","75769725","77320816","23171704","35439972","33991475","50600711","37041414","24757082","24491293"," 9861486","29610124","44253293","52366744","32185088"
"2-aminobutanoate / 2-/3-aminoisobutanoate"," 49770797240"," 75146033931"," 69404925341"," 68819308110","115031808514"," 81171620896"," 73983665488"," 81899980802"," 76494041152"," 84859265149"," 60610323106"," 61290640760"," 94892452128"," 85471628289"," 94681809556"," 82754974641"," 58695018193"," 59201700627"," 70793306222"," 75125971776"," 61241049842"," 60487137693"," 65168595134"," 71566152692"
"2-HG","3.588288e+12","4.110032e+12","3.127163e+12","3.536721e+12","3.542573e+12","3.514289e+12","3.937790e+12","4.064784e+12","4.046849e+12","3.767358e+12","3.511486e+12","4.442466e+12","3.337985e+12","3.279863e+12","2.734277e+12","4.088451e+12","3.385093e+12","3.066851e+12","2.258100e+12","2.298245e+12","2.789321e+12","3.178127e+12","2.621901e+12","3.511195e+12"
"2-hydroxybutanoic acid","1949575349","1748911554","1414971529","1898722421","1141651136","1406203737","1742916730","1573453172"," 831651473","1957022775","1102212881"," 913239840","1396766690","1862260935","1663469385","2028175147","1331144901","1887896138","2591985721","1711828415","1810302160"," 978357197","1457578437","1252318840"
"2-keto-3-deoxy-d-gluconic acid","2667830726","5020733475","2385168591","5158670105","1841169583","3495467303","4440872593","5286842531","5277820475","6643099359","2555591100","4694920091","2607434447","2492676554","3294657027","4797754454","3390628324","3740636727","3824357856","2293696647","2139334505","4076965043","6653763411","4793928846"
"2-keto-isovaleric acid","16846835980","19622442391","20260829466","26335674278","24071857551","16920593179","18952936286","25283710953","23034146621","32174646720","12192341947","22128288390","43368790437","31893598146","41173779740","38221200377","23556981822","24268954406","21005675991","46844397181","19407527360","17594566180","30519043352","36262899289"
