Leg #,ID,Organism #,Genotype,Sex,Leg Location,Shortest Primary Branch (um),Longest Primary Branch (um),Mean Primary Branch Length (um),#Primary Branches,Mito:Branch in Random Branch #1,Mito:Branch in Random Branch #2,Mito:Branch in Random Branch #3,Mito:Branch in Random Branch #4,Mito:Branch in Random Branch #5,Mito:Branch in Random Branch #6,Avg Mito:Branch Length
1,19_GC_M_M,19,G85R cr/cr,M,middle,17.4,293.4,83.2,11,0.3,0.55,0.32,0.41,0.23,0.29,0.35
2,21_GC_M_F,21,G85R cr/cr,M,front,24.2,166.9,71,7,0.22,0.29,0.28,0.36,0.52,0.51,0.36
3,23_GC_F_M,23,G85R cr/cr,F,middle,9.1,210.2,64,17,0.03,0.25,0.08,0.02,0.19,0,0.1
4,20_GC_M_M,20,G85R cr/cr,M,middle,14.7,154.2,77.6,19,0.34,0.2,0.2,0.3,0.25,0.2,0.25
5,22_GC_M_F,22,G85R cr/cr,M,front,7.4,298.4,73.1,21,0.11,0.14,0.34,0.16,0.21,0.19,0.19
6,03_GC_M_M,3,G85R cr/cr,M,middle,20.8,177.3,80.3,19,0.21,0.25,0.3,0.24,0.23,0.4,0.27
7,02_GC_F_B,2,G85R cr/cr,F,back,7.1,147,63.1,15,0.23,0.24,0.26,0.24,0.34,0.16,0.24
8,20_GC_M_F,20,G85R cr/cr,M,front,32.3,155.5,62.8,10,0.06,0.3,0.3,0.27,0.18,0.35,0.24
9,03_GC_F_B,3,G85R cr/cr,F,back,15.2,220,65.8,22,0.18,0.32,0.33,0.23,0.25,0.23,0.26
10,03_GC_M_B,3,G85R cr/cr,M,back,46.1,193.3,99,8,0.22,0.19,0.17,0.24,0.36,0.16,0.22
11,03_GC_F_F,3,G85R cr/cr,F,front,10.2,147.8,68,20,0.19,0.54,0.37,0.29,0.25,0.33,0.33
12,19_GC_M_B,19,G85R cr/cr,M,back,15.2,136.1,73.7,19,0.36,0.3,0.3,0.39,0.22,0.34,0.32
13,20_GC_M_B,20,G85R cr/cr,M,back,15,171.7,95.2,14,0.11,0.22,0.23,0.18,0.26,0.4,0.23
14,03_GC_M_F,3,G85R cr/cr,M,front,14.8,170.6,69.3,18,0.24,0.18,0.35,0.2,0.27,0.23,0.25
15,22_GC_M_B,22,G85R cr/cr,M,back,15.43,109.7,43.01,22,0.03,0.19,0.15,0.1,0.19,0.13,0.13
16,02_GC_F_M,2,G85R cr/cr,F,middle,28.63,132.76,61.51,14,0.22,0.18,0.35,0.31,0.26,0.33,0.28
17,23_GC_F_F,23,G85R cr/cr,F,front,12,152,70,10,0.27,0.05,0.1,0.2,0.28,0.28,0.2
18,02_GC_F_F,2,G85R cr/cr,F,front,13.35,167.43,65.76,15,0.22,0.21,0.32,0.22,0.2,0.31,0.25
19,23_GC_F_B,23,G85R cr/cr,F,back,32.54,243.54,78.77,16,0.22,0.39,0.3,0.24,0.29,0.35,0.3
20,19_GC_M_F,19,G85R cr/cr,M,front,10.54,267.43,90.45,9,0.34,0.22,0.2,0.15,0.46,0.33,0.28
21,13_GCH_F_F,13,G85R cr/hr,F,front,22.8,286.9,132,13,0.06,0.04,0.23,0.21,0.44,0.34,0.22
22,09_GCH_M_M,9,G85R cr/hr,M,middle,29.8,185.4,110,17,0.17,0.16,0.12,0.1,0.12,0.05,0.12
23,17_GCH_F_B,17,G85R cr/hr,F,back,38.3,300.8,111.5,26,0.22,0.18,0.3,0.23,0.29,0.34,0.26
24,26_GCH_M_F,26,G85R cr/hr,M,front,11.5,192.2,59.3,28,0,0,0.02,0.02,0.02,0.01,0.01
25,24_GCH_M_M,24,G85R cr/hr,M,middle,38.1,218.3,92,10,0.34,0.21,0.28,0.19,0.25,0.18,0.24
26,15_GCH_F_B,15,G85R cr/hr,F,back,21.1,124.1,64.2,14,0.03,0.19,0.14,0.15,0.27,0.32,0.18
27,18_GCH_F_F,18,G85R cr/hr,F,front,7.3,110.8,45.6,23,0.39,0.19,0.33,0.25,0.35,0.15,0.28
28,12_GCH_F_B,12,G85R cr/hr,F,back,26.6,194.5,80,14,0.36,0.22,0.23,0.19,0.25,0.23,0.25
29,25_GCH_M_M,25,G85R cr/hr,M,middle,24.6,114.8,74.8,15,0.34,0.23,0.29,0.16,0.27,0.29,0.27
30,16_GCH_F_F,16,G85R cr/hr,F,front,25.6,97.5,51.8,9,0.25,0.11,0.23,0.28,0.21,0.11,0.2
31,15_GCH_F_M,15,G85R cr/hr,F,middle,10.3,108.8,50.5,19,0.12,0.23,0.25,0.25,0.14,0.32,0.22
32,25_GCH_M_B,25,G85R cr/hr,M,back,8.7,173.1,69.8,15,0.18,0.38,0.23,0.33,0.26,0.27,0.27
33,15_GCH_F_F,15,G85R cr/hr,F,front,19.9,243.4,78.2,9,0,0.05,0,0,0.09,0.05,0.03
34,17_GCH_F_M,17,G85R cr/hr,F,middle,39.7,332.9,120,12,0.32,0.19,0.13,0.23,0.16,0.17,0.2
