,AHH0009,AHH0012,AHH0017,AHH0018,AHH0026,AHH0010,AHH0011,AHH0014,AHH0019,AHH0003,AHH0004,AHH0006,AHH0002,AHH0007 ,AHH0015,AHH0001,AHH0008,AHH0016
FBgn0000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000008,516,361,447,468,225,493,618,452,545,419,1318,371,409,358,468,327,446,290
FBgn0000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000017,5425,5309,4167,4789,1821,4992,5049,5516,5285,7840,25074,6495,8792,8346,8016,5321,8203,7618
FBgn0000018,144,63,154,137,48,117,138,144,119,109,339,145,164,151,115,79,118,119
FBgn0000022,20,22,21,43,12,11,12,14,19,20,62,41,27,13,6,25,16,19
FBgn0000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000028,2994,2655,2151,2471,1074,2373,1660,3029,2143,2521,7172,3016,2706,2981,1670,1946,2839,2294
FBgn0000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000037,1952,1852,1599,2335,949,1922,1808,2746,2015,1808,4750,1861,1579,1823,1259,1223,1487,1317
FBgn0000038,3115,1814,3311,3008,1537,2181,2048,3783,2402,1608,3786,1693,1552,1581,885,1009,1311,1264
FBgn0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000042,65530,49392,54235,77412,32769,63046,77078,89608,60261,81292,285543,151883,105295,100442,72952,83100,81935,98605
FBgn0000043,10009,10242,8697,12269,5803,9580,12731,13913,11446,11360,43542,20642,17271,16377,12348,12105,12051,15648
FBgn0000044,4297,6754,5692,3514,13540,5382,184149,4461,1108,646,2982,752,906,648,698,285,443,478
FBgn0000045,56,63,83,118,100,80,598,111,90,84,272,120,122,63,82,118,74,60
FBgn0000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000052,872,744,571,584,323,660,1160,962,1007,410,1632,549,455,556,554,357,520,533
FBgn0000053,946,1006,695,766,347,786,1257,841,1047,518,2146,628,660,722,500,379,682,578
FBgn0000055,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0
FBgn0000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000057,335,230,168,307,72,285,358,289,237,268,935,400,320,299,201,237,262,214
FBgn0000061,54,11,1,81,21,32,33,22,29,31,174,52,107,53,53,64,24,97
FBgn0000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000075,37,5,36,11,18,14,54,11,30,41,113,38,46,51,27,47,27,35
FBgn0000077,76,59,122,114,34,113,79,117,76,130,406,208,212,154,88,109,123,122
FBgn0000078,7,9,0,11,0,14,25,0,4,8,49,6,23,23,14,20,15,42
FBgn0000079,2,72,18,13,9,0,0,12,2,4,17,6,21,20,0,29,3,21
FBgn0000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000084,344,186,134,242,139,134,299,317,278,316,903,547,325,338,273,305,331,251
FBgn0000092,47,92,29,30,26,33,48,55,36,34,176,90,40,24,43,55,32,9
FBgn0000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000097,1620,1850,1660,2143,910,2075,2181,2032,2081,3006,8625,3207,3297,2944,2772,2360,3088,3154
FBgn0000100,25013,19846,20577,26159,15824,19815,33231,32103,22760,17365,65308,27206,21893,24596,17856,15337,18977,22514
FBgn0000108,25898,21210,25259,34569,9584,25241,23590,26200,18891,32039,90663,36746,30654,30397,22813,18709,20236,20140
FBgn0000109,59,49,100,173,99,111,187,146,73,63,212,183,147,149,71,140,101,96
FBgn0000114,1550,1306,1253,1555,586,1381,1332,1910,1585,2318,6964,2720,2490,2294,1929,1736,2331,2006
FBgn0000115,564,389,341,802,322,520,664,769,528,665,2592,1290,924,880,478,764,654,753
