"","FBgn","Symbol","CHR","Complex","A3FH1","A3FH2","A3FH3","A3MH1","A3MH2","A3MH3","A40FH1","A40FH2","A40FH3","A9FH1","A9FH2","A9FH3","A9MH1","A9MH2","A9MH3","S3FH1","S3FH2","S3FH3","S3MH1","S3MH2","S3MH3","S40FH1","S40FH2","S40FH3","S9FH1","S9FH2","S9FH3","S9MH1","S9MH2","S9MH3"
"ND-B17","FBgn0001989","ND-B17","2L","Complex I",1.24284396944596,1.03945966910098,-0.108194379014302,1.3021894355464,1.22615578689536,1.16925857603621,-1.83049819339381,-1.46935463923756,-0.824225761721584,-0.0961546756242362,-0.088882095914149,1.44929589484437,-0.876694109156543,-0.354654301182888,-0.502658355470591,1.1144903815847,0.0933750431154341,-0.589070135638231,0.851258021618191,1.320085148048,0.931090833166951,-0.446046373802818,-1.05354686817789,-0.910680619931527,-0.364142172475781,-0.120282508231875,-0.814232639883404,1.17771501720426,-1.1103888519343,-1.35751109581533
"ND-ACP","FBgn0011361","ND-ACP","3L","Complex I",0.25639977237943,0.0764367908748889,0.219314514473064,0.120937806947144,0.074413542860986,-0.225034005322442,-1.77961555886251,-1.29710587469532,-1.29092788862384,-0.612379671425968,-0.344475572098504,0.0147936883777688,-0.386042220424449,-1.24531647359631,-1.18324802407602,1.55984021070699,-0.272280775003907,2.70067350737318,0.185526197783694,0.469257839111112,-0.0434968339027391,0.32084225796036,2.20263261090672,-0.0948940756123263,0.0167074369425963,1.12428769096122,0.435833678730734,0.756227250733638,-0.650464996089401,-1.1088428273898
"ND-SGDH","FBgn0011455","ND-SGDH","3L","Complex I",0.173298424927763,0.514658676884016,0.191621575746117,-0.197952588149363,0.112829076287498,-0.175680020438777,-1.31121921769861,-1.05504776736072,-0.73737491762246,-0.359174260475834,-0.384207783918629,0.918495525596044,-0.297286807884619,-0.709960238662129,-0.910398503069273,1.21802667946534,-0.133206780345282,1.63204418472416,-0.301859240535712,-0.145089973662426,0.0516586932747172,-0.0735193585780587,0.389911408520168,-0.669393243361715,-0.0697850827604368,1.64635124293462,0.217646336676689,3.28013072495343,-1.02230536535284,-1.79321140011368
"ND1","FBgn0013679","ND1","mt","Complex I",0.91412916802884,0.960563598319869,0.866138246256489,0.965582138024894,0.960576840829812,0.944874766322235,0.557518777946555,0.287616732503975,1.27977508926215,1.26552578311761,0.118269314248401,1.96086670944448,-1.65824629550423,1.08001525949817,0.651289949752726,-0.70154222915443,-0.295117535402256,-0.75485150386426,-1.01010526138572,-0.0480501463945707,0.00287334973122413,-0.83131629036715,-2.00859249111424,-0.917202177518737,-1.06676495283734,-1.15950129929386,-0.218419918642042,-0.705134100510616,-0.952329931507068,-0.48844158979091
"ND2","FBgn0013680","ND2","mt","Complex I",1.08874542256131,0.945881888432462,0.971335459034306,1.46737753174676,1.22099402525944,1.20673095638984,0.831727741839157,-0.365206004031697,1.41899159925712,0.973960005097414,-0.54845192839362,1.47654775508319,-1.30348086170795,1.13069401000208,0.634713061940912,-0.877043098321542,-0.140211329145369,-1.0609664501645,-0.896519103146873,-0.184453552443979,0.0328971090805782,-1.10173399140037,-1.35748699774582,-1.15307529523615,-0.945538752426173,-1.10906883778104,-0.086569515746952,-0.848417589194674,-1.04664556709164,-0.375727691746215
"ND3","FBgn0013681","ND3","mt","Complex I",1.31366904745747,1.06427938082198,1.22714906310763,1.33923948817121,1.25091498856359,1.17278114363568,0.213977727705329,-0.397543770141369,1.3609617454979,1.03368404225244,-0.776388808794386,1.49247171944127,-1.23597236598699,0.57466147934103,0.670380433710887,-0.953856476390996,-0.0302402528357512,-1.09889608750708,-1.19234839861937,0.24420937686598,0.202034324160722,-0.866334163683498,-1.33923533581977,-0.859549739495324,-1.25630620578899,-1.24724862734567,0.0112053413215474,-0.840732748119824,-0.922955662337191,-0.154010659188442
"ND4L","FBgn0013683","ND4L","mt","Complex I",0.764269439548307,0.315193214293258,0.636006241328919,1.52770403513233,1.48913508826729,0.680888427571434,1.35749483850465,0.775408299318581,0.865379180295515,0.226417909415387,0.143318281658935,0.649183295242991,-1.36430325423476,0.769319533803741,0.349243218372298,-1.15547680274356,0.0789526705000843,-1.50876308308973,-0.0482309523530981,0.189495765896026,0.220567056362166,-0.184149022464934,-1.69022274617682,-0.576495011101881,-0.62296920314137,-1.64214347796851,1.23371249598543,-1.55598505916275,-1.60616702497334,-0.3167833540866
"ND5","FBgn0013684","ND5","mt","Complex I",1.15246867699829,1.14931859031202,1.08322004245069,1.25336032628151,1.17599316747314,1.20523485574644,0.651223114595389,-0.534764220520312,1.18434617854713,1.06914932496989,-0.632090909815285,1.25617832933904,-1.24427414217547,0.917000671188102,0.496417300707419,-1.10707725628559,0.344079434664048,-1.21960279127946,-0.856546390272493,0.419830464559326,0.536695042138572,-0.770928260711752,-1.37418710013562,-0.81752406293571,-0.97637320562376,-1.28789712894283,-0.502010183069479,-1.19624786074246,-1.17810022679011,-0.196891780670686
"ND6","FBgn0013685","ND6","mt","Complex I",0.428465591223453,-0.301004346011586,0.458841830750366,0.335025203643482,-0.0396417226532538,-0.155238778816596,-0.389225854177646,3.09290626351942,1.47163648146938,-0.099838454763462,1.17053148382311,1.18776982686129,-1.74352890962128,0.595729472399276,0.844751886745619,-0.106352386969988,-0.750710976030771,-1.05792883841527,0.831134552109172,-0.421475234118598,-0.108310904736899,-0.57803989413127,-2.05490616622407,-0.795874550703789,-0.0613625429568453,-0.775240952298091,0.367242489915258,0.0494382039739882,-0.93776222946704,-0.457030544337364
"ND-75","FBgn0017566","ND-75","X","Complex I",0.906339295726024,1.07601756016241,1.21885337823254,1.23473838858453,1.48222442830375,1.20258830809559,-0.854809078504781,-1.39516470523446,-0.417340653806753,0.136375332239161,-0.469973354086643,1.28230435403113,-0.625802492228629,0.463783643090787,0.651729071185297,-0.173668726151658,0.638307809114614,-1.43266658029343,0.323857160100169,1.07384795731697,0.902343720282319,-0.394047803389638,0.176415929279675,-0.778967607713074,0.0288198158848433,-1.72045012938951,-1.32640786294866,-0.268579761830279,-1.21624063100617,-1.72442676504612
