Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,WTM1,RpL32,Unknown,SYBR,20.797469141048552,0.9587639312543622,2.5346034296268436,Amp,false,15162.482277159073,3,14,84.79109954833984,,,,,
A2,false,WTF1,RpL32,Unknown,SYBR,21.028155224595245,0.9590062360990929,2.5370365369836385,Amp,false,15162.482277159073,3,14,84.63006591796875,,,,,
A3,false,GRM1,RpL32,Unknown,SYBR,20.071762588217823,0.9772904340007258,2.5314327730471695,Amp,false,15162.482277159073,3,12,84.79523468017578,,,,,
A4,false,GRF1,RpL32,Unknown,SYBR,20.11990471954818,0.9529648949123749,2.529253892540973,Amp,false,15162.482277159073,3,14,84.79523468017578,,,,,
A5,false,WTM2,RpL32,Unknown,SYBR,21.172053873996212,0.9618690077522224,2.470462091933841,Amp,false,15162.482277159073,3,15,84.44047546386719,,,,,
A6,false,WTF2,RpL32,Unknown,SYBR,21.850849855134705,0.9514491935063446,2.4046130138462387,Amp,false,15162.482277159073,3,15,84.27963256835938,,,,,
A7,false,GRM2,RpL32,Unknown,SYBR,19.92406192348742,0.9173367034507576,2.5256611733184244,Amp,false,15162.482277159073,3,14,84.93604278564453,,,,,
A8,false,GRF2,RpL32,Unknown,SYBR,19.990151536748606,0.9747664161038079,2.5438538936497155,Amp,false,15162.482277159073,3,13,84.93604278564453,,,,,
A9,false,WTM3,RpL32,Unknown,SYBR,19.99704742770097,0.9823045026975306,2.5587668833050716,Amp,false,15162.482277159073,3,14,84.80693817138672,,,,,
A10,false,WTF3,RpL32,Unknown,SYBR,19.735218530809938,0.968063824689107,2.5582996826762603,Amp,false,15162.482277159073,3,14,84.80693817138672,,,,,
A11,false,WTM1_2.5,RpL32,Unknown,SYBR,21.1187635697721,0.9724190918054689,2.568816276794772,Amp,false,15162.482277159073,3,13,84.76428985595703,,,,,
A12,false,WTM1_10,RpL32,Unknown,SYBR,19.133093383720826,0.9688459790318,2.5793079489854143,Amp,false,15162.482277159073,3,12,84.76428985595703,,,,,
B1,false,WTM1,RpL32,Unknown,SYBR,20.29562365095927,0.9646706068768942,2.5427379962794685,Amp,false,15162.482277159073,3,14,84.63006591796875,,,,,
B2,false,WTF1,RpL32,Unknown,SYBR,20.498067892907237,0.9749843517515672,2.541162054087279,Amp,false,15162.482277159073,3,14,84.63006591796875,,,,,
B3,false,GRM1,RpL32,Unknown,SYBR,19.557536236600967,0.9639420154250243,2.545842984276199,Amp,false,15162.482277159073,3,13,84.6341781616211,,,,,
B4,false,GRF1,RpL32,Unknown,SYBR,19.538702634367645,0.9889676950635099,2.5403618774632264,Amp,false,15162.482277159073,3,13,84.6341781616211,,,,,
B5,false,WTM2,RpL32,Unknown,SYBR,19.72362322940598,0.9788315732714311,2.5526016113902363,Amp,false,15162.482277159073,3,13,84.76216125488281,,,,,
B6,false,WTF2,RpL32,Unknown,SYBR,20.132639571712723,0.9744387794721885,2.5349115170344465,Amp,false,15162.482277159073,3,13,84.76216125488281,,,,,
B7,false,GRM2,RpL32,Unknown,SYBR,19.86809924578663,0.9832577224331224,2.5357099461716888,Amp,false,15162.482277159073,3,12,84.93604278564453,,,,,
B8,false,GRF2,RpL32,Unknown,SYBR,20.044355043330995,0.9738843511853026,2.5386052338577234,Amp,false,15162.482277159073,3,13,84.93604278564453,,,,,
B9,false,WTM3,RpL32,Unknown,SYBR,20.85898338467924,0.9707391302966771,2.4189392700137966,Amp,false,15162.482277159073,3,14,84.48468017578125,,,,,
B10,false,WTF3,RpL32,Unknown,SYBR,19.63479084302655,0.9722117502657537,2.5459908493881143,Amp,false,15162.482277159073,3,12,84.80693817138672,,,,,
B11,false,WTM1_2.5,RpL32,Unknown,SYBR,20.93922228731641,0.9757537838712885,2.581276077707571,Amp,false,15162.482277159073,3,14,84.76428985595703,,,,,
B12,false,WTM1_10,RpL32,Unknown,SYBR,19.320654988477408,0.9742704740244315,2.574925542166777,Amp,false,15162.482277159073,3,14,84.76428985595703,,,,,
C2,false,WTF1,RpL32,Unknown,SYBR,20.205888696486085,0.9714934063638274,2.5692604504970964,Amp,false,15162.482277159073,3,14,84.63006591796875,,,,,
C3,false,GRM1,RpL32,Unknown,SYBR,19.166794380350694,0.9704974186726902,2.5391385827105855,Amp,false,15162.482277159073,3,12,84.4731216430664,,,,,
C4,false,GRF1,RpL32,Unknown,SYBR,19.052527482915387,0.9718986316423869,2.5366122101845012,Amp,false,15162.482277159073,3,11,84.6341781616211,,,,,
C5,false,WTM2,RpL32,Unknown,SYBR,19.411777043542685,0.9850825245717061,2.5537980770243345,Amp,false,15162.482277159073,3,12,84.601318359375,,,,,
C6,false,WTF2,RpL32,Unknown,SYBR,20.102191273221045,0.9792602227562429,2.5465764520927414,Amp,false,15162.482277159073,3,12,84.76216125488281,,,,,
C7,false,GRM2,RpL32,Unknown,SYBR,19.36667935512223,0.9751237773659251,2.550400159201361,Amp,false,15162.482277159073,3,13,84.77511596679688,,,,,
C8,false,GRF2,RpL32,Unknown,SYBR,19.914151233067336,0.9807095549814484,2.520483470990739,Amp,false,15162.482277159073,3,14,84.77511596679688,,,,,
C9,false,WTM3,RpL32,Unknown,SYBR,19.772494798680178,0.9796116345601587,2.5562560525122575,Amp,false,15162.482277159073,3,12,84.80693817138672,,,,,
C10,false,WTF3,RpL32,Unknown,SYBR,19.71057603468202,0.9788242556407696,2.5512654230617264,Amp,false,15162.482277159073,3,12,84.64581298828125,,,,,
D1,false,WTM1,CoI,Unknown,SYBR,13.68822508501204,0.9813795058935115,2.5740060047958657,Amp,false,23457.245129825355,3,6,79.15509796142578,,,,,
D2,false,WTF1,CoI,Unknown,SYBR,14.611271716254244,0.9643267282556882,2.5641873901972243,Amp,false,23457.245129825355,3,7,79.15509796142578,,,,,
D3,false,GRM1,CoI,Unknown,SYBR,13.89496880768358,0.9676263453458988,2.5684020719804925,Amp,false,23457.245129825355,3,7,79.31930541992188,,,,,
D4,false,GRF1,CoI,Unknown,SYBR,13.565197670695742,0.9609569803366717,2.5829243474910903,Amp,false,23457.245129825355,3,7,79.31930541992188,,,,,
D5,false,WTM2,CoI,Unknown,SYBR,13.987648733573462,0.9829864071631941,2.5693058572862677,Amp,false,23457.245129825355,3,7,79.29353332519531,,,,,
D6,false,WTF2,CoI,Unknown,SYBR,14.243956860669716,0.9758476181914335,2.5717743251565937,Amp,false,23457.245129825355,3,7,79.45437622070312,,,,,
D7,false,GRM2,CoI,Unknown,SYBR,13.854094071197867,0.9908377460425304,2.5788109956525833,Amp,false,23457.245129825355,3,7,79.30371856689453,,,,,
D8,false,GRF2,CoI,Unknown,SYBR,13.986410061306895,0.9850233266761201,2.5678593859877115,Amp,false,23457.245129825355,3,7,79.30371856689453,,,,,
D9,false,WTM3,CoI,Unknown,SYBR,14.210092755960435,0.9763734855191393,2.5725593764534596,Amp,false,23457.245129825355,3,7,79.16740417480469,,,,,
D10,false,WTF3,CoI,Unknown,SYBR,14.186170736090599,0.9734910601790451,2.5794421795507114,Amp,false,23457.245129825355,3,7,79.32853698730469,,,,,
D11,false,WTM1_2.5,CoI,Unknown,SYBR,15.188697533921246,0.9691422797149846,2.580684422307848,Amp,false,23457.245129825355,3,7,79.29541778564453,,,,,
