Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Curve Quality,Result Quality Issues
F1,false,Sample 1,Rp49,Unknown,SYBR,20.420660918679395,0.9861889512916374,2.5855116546180414,Amp,false,25950.882191744044,3,10,85.20011901855469,,
F2,false,Sample 2,Rp49,Unknown,SYBR,21.2958413782816,0.9805188672281031,2.56093290888273,Amp,false,25950.882191744044,3,14,85.20011901855469,,
F3,false,Sample 3,Rp49,Unknown,SYBR,19.872783174067663,0.9836103178866108,2.5581256832780417,Amp,false,25950.882191744044,3,11,85.36277770996094,,
F4,false,Sample 4,Rp49,Unknown,SYBR,19.646888977919517,0.9831053319222083,2.544483176807194,Amp,false,25950.882191744044,3,10,85.36277770996094,,
G1,false,Sample 1,Rp49,Unknown,SYBR,20.469406021737292,0.9893909483369256,2.5916558012356785,Amp,false,25950.882191744044,3,12,85.04066467285156,,
G2,false,Sample 2,Rp49,Unknown,SYBR,21.227117168706215,0.9674659466035994,2.5752588232681646,Amp,false,25950.882191744044,3,13,85.04066467285156,,
G3,false,Sample 3,Rp49,Unknown,SYBR,19.73331790514058,0.984702721359906,2.5753028671234874,Amp,false,25950.882191744044,3,12,85.36277770996094,,
G4,false,Sample 4,Rp49,Unknown,SYBR,19.402636686204417,0.980428461702355,2.5541131034027185,Amp,false,25950.882191744044,3,12,85.52226257324219,,
H1,false,Sample 1,Rp49,Unknown,SYBR,20.334482461995727,0.986054996600632,2.586850877686552,Amp,false,25950.882191744044,3,11,85.20011901855469,,
H2,false,Sample 2,Rp49,Unknown,SYBR,21.2490856423683,0.9848354457055429,2.5789260022788336,Amp,false,25950.882191744044,3,13,85.20011901855469,,
H3,false,Sample 3,Rp49,Unknown,SYBR,19.837650922635113,0.9823586690609363,2.554127383383226,Amp,false,25950.882191744044,3,12,85.52226257324219,,
H4,false,Sample 4,Rp49,Unknown,SYBR,19.370442626272514,0.9831588374674991,2.5640527851426698,Amp,false,25950.882191744044,3,11,85.52226257324219,,
