Genotype,Primer,Cq,MeanCq,dCt,ddCt,FC,meanCq.std
G85R,trio,24.7317557,24.80904103,5.335718265,,,0.109297956
G85R,trio,24.88632635,,,,,
G85R,Rp49,19.64688898,19.47332276,,,,0.151172211
G85R,Rp49,19.40263669,,,,,
G85R,Rp49,19.37044263,,,,,
G85R-trio,trio,25.01163947,24.89890524,4.490722102,-0.844996162,1.796259968,0.312466029
G85R-trio,trio,25.13936006,,,,,
G85R-trio,trio,24.54571618,,,,,
G85R-trio,Rp49,20.42066092,20.40818313,,,,0.068321761
G85R-trio,Rp49,20.46940602,,,,,
G85R-trio,Rp49,20.33448246,,,,,
WT,trio,24.97341618,24.90015575,5.085571749,,,0.070211077
WT,trio,24.89359673,,,,,
WT,trio,24.83345434,,,,,
WT,Rp49,19.87278317,19.814584,,,,0.072537594
WT,Rp49,19.73331791,,,,,
WT,Rp49,19.83765092,,,,,
WT-trio,trio,25.58627112,25.54954687,4.292198806,-0.793372943,1.733121674,0.099208133
WT-trio,trio,25.62515682,,,,,
WT-trio,trio,25.43721267,,,,,
WT-trio,Rp49,21.29584138,21.25734806,,,,0.035099216
WT-trio,Rp49,21.22711717,,,,,
WT-trio,Rp49,21.24908564,,,,,
