Category,SubCat,HumanSymbol,GeneCardOrtho,FBgn
Apoptosis,Apoptosis,PRKCZ,aPKC,FBgn0261854
Apoptosis,Apoptosis,NAE1,APP-BP1,FBgn0261112
Apoptosis,Apoptosis,APLP1,Appl,FBgn0000108
Apoptosis,Apoptosis,APP,Appl,FBgn0000108
Apoptosis,Apoptosis,MPO,CG10211,FBgn0032685
Apoptosis,Apoptosis,MPO,CG4009,FBgn0038469
Apoptosis,Apoptosis,MPO,CG5873,FBgn0038511
Apoptosis,Apoptosis,MPO,CG6879,FBgn0259233
Apoptosis,Apoptosis,MPO,CG6969,FBgn0263986
Apoptosis,Apoptosis,NAE1,CG7828,FBgn0261112
Apoptosis,Apoptosis,CASP3,Dcp-1,FBgn0010501
Apoptosis,Apoptosis,CASP3,decay,FBgn0028381
Apoptosis,Apoptosis,CASP4,Dredd,FBgn0020381
Apoptosis,Apoptosis,CASP3,Ice,FBgn0019972
Apoptosis,Apoptosis,PRKCA,inaC,FBgn0004784
Apoptosis,Apoptosis,ERN1,ire-1,FBgn0261984
Apoptosis,Apoptosis,ERN1,Ire1,FBgn0261984
Apoptosis,Apoptosis,CASP4,Nc,FBgn0026404
Apoptosis,Apoptosis,EP300,nej,FBgn0261617
Apoptosis,Apoptosis,CLU,none,
Apoptosis,Apoptosis,IL1A,none,
Apoptosis,Apoptosis,SNCA,none,
Apoptosis,Apoptosis,PRKCA,Pkc53E,FBgn0003091
Apoptosis,Apoptosis,PRKCE,Pkc98E,FBgn0003093
Apoptosis,Apoptosis,PSEN1,Psn,FBgn0284421
Apoptosis,Apoptosis,PSEN2,Psn,FBgn0284421
Apoptosis,Apoptosis,MPO,Pxd,FBgn0004577
Apoptosis,Apoptosis,MPO,pxt,FBgn0261987
Apoptosis,Apoptosis,MAPT,tau,FBgn0266579
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,APLP1,Appl,FBgn0000108
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,APP,Appl,FBgn0000108
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP6,arr,FBgn0000119
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP8,CG4861,FBgn0066101
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP8,LpR1,FBgn0066101
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP8,LpR2,FBgn0051092
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP1,LRP1,FBgn0053087
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Endocytosis,LRP1,yl,FBgn0004649
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,Ace,FBgn0000024
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,Ace,FBgn0000024
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est1,FBgn0015568
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est10,FBgn0015569
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est10,FBgn0015569
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est2,FBgn0015570
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est2,FBgn0015570
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est3,FBgn0015571
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est3,FBgn0015571
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est3,FBgn0015571
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est4,FBgn0015572
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est4,FBgn0015572
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est5,FBgn0261393
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est5,FBgn0261393
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est6,FBgn0015574
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est6,FBgn0015574
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est7,FBgn0015575
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est7,FBgn0015575
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est8,FBgn0015576
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est8,FBgn0015576
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est8,FBgn0015576
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,alpha-Est9,FBgn0015577
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,alpha-Est9,FBgn0015577
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,BcDNA:GH05741,FBgn0027584
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,BcDNA:GH05741,FBgn0027584
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG10175,FBgn0289745
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG10175,FBgn0289745
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG10339,FBgn0034972
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,UBQLN1,CG14224,FBgn0031057
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,UBQLN1,CG31528,FBgn0051528
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG3841,FBgn0032131
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG3841,FBgn0032131
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG3841,FBgn0032131
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG4382,FBgn0032132
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG4382,FBgn0032132
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG5397,FBgn0031327
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG5397,FBgn0031327
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG6018,FBgn0034736
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG6018,FBgn0034736
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG6018,FBgn0034736
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG6414,FBgn0029690
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG6414,FBgn0029690
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG7529,FBgn0037090
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG7529,FBgn0037090
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,CG8424,FBgn0034076
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,CG8424,FBgn0034076
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,clt,FBgn0000326
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,clt,FBgn0000326
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,Est-6,FBgn0000592
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,Est-6,FBgn0000592
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,ACHE,Est-P,FBgn0000594
"Beta-Amyloid Generation, Oligomerization, Clearance and Degradation",Other Beta-Amyloid Metabolism Genes,BCHE,Est-P,FBgn0000594
