"","FBgn","Symbol","ensembl","CG","Start","End","Strand","CHR","Name"
"FBgn0000055","FBgn0000055","Adh","3771877","CG3481",14615551,14618902,1,"2L",3771877
"FBgn0000473","FBgn0000473","Cyp6a2","35587","CG9438",6779748,6781491,-1,"2R",35587
"FBgn0001091","FBgn0001091","Gapdh1","35728","CG12055",7791900,7793380,-1,"2R",35728
"FBgn0001092","FBgn0001092","Gapdh2","32545","CG8893",15868144,15869661,1,"X",32545
"FBgn0001098","FBgn0001098","Gdh","42832","CG5320",23935957,23943101,-1,"3R",42832
"FBgn0001128","FBgn0001128","Gpdh1","33824","CG9042",5943642,5948968,1,"2L",33824
"FBgn0001258","FBgn0001258","Ldh","45880","CG10160",6259104,6262694,-1,"3L",45880
"FBgn0001941","FBgn0001941","ifc","33836","CG9078",5986347,5988854,1,"2L",33836
"FBgn0001992","FBgn0001992","Cyp303a1","49165","CG4163",16294182,16296969,1,"2L",49165
"FBgn0003204","FBgn0003204","ras","43873","CG1799",10744501,10749097,1,"X",43873
"FBgn0003308","FBgn0003308","ry","41605","CG7642",13032527,13038020,1,"3R",41605
"FBgn0004087","FBgn0004087","Dhfr","42003","CG14887",16481166,16481878,1,"3R",42003
"FBgn0005670","FBgn0005670","Cyp4d1","31188","CG3656",2159144,2162180,-1,"X",31188
"FBgn0010019","FBgn0010019","Cyp4g1","30986","CG3972",467056,469335,-1,"X",30986
"FBgn0010222","FBgn0010222","Nmdmc","47895","CG18466",9042507,9050555,-1,"3R",47895
"FBgn0010548","FBgn0010548","Aldh-III","45398","CG11140",7466878,7477162,-1,"2R",45398
"FBgn0011768","FBgn0011768","Fdh","41311","CG6598",10870905,10872381,-1,"3R",41311
"FBgn0012036","FBgn0012036","Aldh","34256","CG3752",9387388,9391567,1,"2L",34256
"FBgn0013771","FBgn0013771","Cyp6a9","36663","CG10246",14879355,14881372,-1,"2R",36663
"FBgn0013772","FBgn0013772","Cyp6a8","36666","CG10248",14887170,14889010,-1,"2R",36666
"FBgn0013773","FBgn0013773","Cyp6a22","49847","CG10240",14871365,14873705,1,"2R",49847
"FBgn0014032","FBgn0014032","Sptr","31781","CG12117",8463295,8464438,-1,"X",31781
"FBgn0014469","FBgn0014469","Cyp4e2","35822","CG2060",8444559,8447164,1,"2R",35822
"FBgn0015033","FBgn0015033","Cyp4d8","38841","CG4321",7493556,7496197,-1,"3L",38841
"FBgn0015034","FBgn0015034","Cyp4e1","44632","CG2062",8447450,8449745,1,"2R",44632
"FBgn0015035","FBgn0015035","Cyp4e3","34291","CG4105",9747838,9750071,-1,"2L",34291
"FBgn0015037","FBgn0015037","Cyp4p1","45524","CG10842",9240040,9242139,1,"2R",45524
"FBgn0015039","FBgn0015039","Cyp9b2","35635","CG4486",7130276,7132139,-1,"2R",35635
"FBgn0015714","FBgn0015714","Cyp6a17","45556","CG10241",14873952,14875739,1,"2R",45556
"FBgn0015781","FBgn0015781","P5cr","42284","CG6009",19028930,19030159,1,"3R",42284
"FBgn0021765","FBgn0021765","scu","32789","CG7113",18091258,18092853,1,"X",32789
"FBgn0022359","FBgn0022359","Sodh-2","41313","CG4649",10876383,10878257,1,"3R",41313
"FBgn0023537","FBgn0023537","CG17896","30995","CG17896",490786,493495,-1,"X",30995
"FBgn0024289","FBgn0024289","Sodh-1","40836","CG1982",7052334,7054541,1,"3R",40836
"FBgn0025454","FBgn0025454","Cyp6g1","36316","CG8453",12185666,12188431,1,"2R",36316
"FBgn0026619","FBgn0026619","Taz","36405","CG8766",12753025,12756414,-1,"2R",36405
"FBgn0027291","FBgn0027291","Idh3a","32940","CG12233",19518427,19521810,-1,"X",32940
"FBgn0027330","FBgn0027330","l(1)G0020","31811","CG1994",8716712,8720277,-1,"X",31811
"FBgn0027552","FBgn0027552","CG10863","38463","CG10863",3941007,3942465,-1,"3L",38463
"FBgn0028479","FBgn0028479","Mtpalpha","34276","CG4389",9573562,9576769,-1,"2L",34276
"FBgn0028940","FBgn0028940","Cyp28a5","34817","CG8864",13977301,13979569,1,"2L",34817
"FBgn0029502","FBgn0029502","Coq7","44007","CG14437",6771224,6773039,1,"X",44007
"FBgn0029975","FBgn0029975","spidey","31703","CG1444",7908930,7911885,1,"X",31703
"FBgn0030041","FBgn0030041","CG12116","31782","CG12116",8467442,8469012,-1,"X",31782
"FBgn0030339","FBgn0030339","Cyp28c1","32138","CG1895",11839607,11841503,1,"X",32138
"FBgn0030369","FBgn0030369","Cyp318a1","32172","CG1786",12032631,12035283,1,"X",32172
"FBgn0030615","FBgn0030615","Cyp4s3","32444","CG9081",15113301,15116542,-1,"X",32444
"FBgn0030731","FBgn0030731","Mfe2","32582","CG3415",16270950,16273815,1,"X",32582
"FBgn0031126","FBgn0031126","Cyp6v1","33056","CG1829",20657121,20661425,1,"X",33056
"FBgn0031182","FBgn0031182","Cyp6t1","33127","CG1644",21517433,21519218,-1,"X",33127
"FBgn0031418","FBgn0031418","CG3609","33421","CG3609",2372454,2374627,-1,"2L",33421
"FBgn0031688","FBgn0031688","Cyp28d2","33748","CG6081",5207266,5209345,1,"2L",33748
"FBgn0031689","FBgn0031689","Cyp28d1","33749","CG10833",5210459,5212445,1,"2L",33749
"FBgn0031693","FBgn0031693","Cyp4ac1","33754","CG14032",5264000,5265899,1,"2L",33754
"FBgn0031694","FBgn0031694","Cyp4ac2","33755","CG17970",5266391,5268455,1,"2L",33755
"FBgn0031695","FBgn0031695","Cyp4ac3","33756","CG14031",5268497,5270329,1,"2L",33756
"FBgn0031713","FBgn0031713","Coq6","33777","CG7277",5530619,5532223,-1,"2L",33777
"FBgn0031815","FBgn0031815","frj","33900","CG9526",6456051,6459008,1,"2L",33900
"FBgn0032350","FBgn0032350","CG6287","34554","CG6287",11151505,11155721,-1,"2L",34554
"FBgn0032693","FBgn0032693","Cyp310a1","35115","CG10391",18651057,18653010,-1,"2L",35115
"FBgn0032922","FBgn0032922","Coq3","35383","CG9249",21157432,21158611,-1,"2L",35383
"FBgn0033065","FBgn0033065","Cyp6w1","35543","CG8345",6173683,6176195,1,"2R",35543
"FBgn0033101","FBgn0033101","CG9436","35586","CG9436",6757600,6758903,-1,"2R",35586
"FBgn0033203","FBgn0033203","CG2070","35706","CG2070",7661854,7663408,1,"2R",35706
"FBgn0033292","FBgn0033292","Cyp4ad1","35821","CG2110",8439394,8442806,-1,"2R",35821
"FBgn0033304","FBgn0033304","Cyp6a13","35837","CG2397",8570498,8572147,1,"2R",35837
"FBgn0033395","FBgn0033395","Cyp4p2","35946","CG1944",9237511,9239831,1,"2R",35946
"FBgn0033397","FBgn0033397","Cyp4p3","35948","CG10843",9242319,9244410,1,"2R",35948
"FBgn0033696","FBgn0033696","Cyp6g2","36317","CG8859",12188337,12190377,-1,"2R",36317
"FBgn0033697","FBgn0033697","Cyp6t3","36318","CG8457",12190681,12192436,1,"2R",36318
"FBgn0033753","FBgn0033753","Cyp301a1","36378","CG8587",12566184,12569061,1,"2R",36378
"FBgn0033775","FBgn0033775","Cyp9h1","36412","CG17577",12840812,12842558,-1,"2R",36412
"FBgn0033856","FBgn0033856","CG13334","36510","CG13334",13558544,13560768,1,"2R",36510
"FBgn0033949","FBgn0033949","Had2","36624","CG10131",14629909,14631023,1,"2R",36624
"FBgn0033978","FBgn0033978","Cyp6a23","36661","CG10242",14875828,14877654,1,"2R",36661
"FBgn0033980","FBgn0033980","Cyp6a20","36664","CG10245",14882117,14884046,1,"2R",36664
"FBgn0033982","FBgn0033982","Cyp317a1","36667","CG17453",14898311,14903095,1,"2R",36667
"FBgn0034053","FBgn0034053","Cyp4aa1","36752","CG8302",15942863,15947266,1,"2R",36752
"FBgn0034145","FBgn0034145","CG5065","36860","CG5065",16607653,16624894,1,"2R",36860
"FBgn0034173","FBgn0034173","CG9010","36904","CG9010",16958942,16960195,-1,"2R",36904
"FBgn0034387","FBgn0034387","Cyp12b2","37163","CG15077",18754994,18757083,1,"2R",37163
"FBgn0034390","FBgn0034390","CG15093","37166","CG15093",18775668,18776978,-1,"2R",37166
"FBgn0034756","FBgn0034756","Cyp6d2","37594","CG4373",22652572,22654530,-1,"2R",37594
"FBgn0034825","FBgn0034825","Gpdh2","37672","CG3215",23128603,23130189,-1,"2R",37672
"FBgn0035005","FBgn0035005","CG3483","37900","CG3483",24445499,24446839,1,"2R",37900
"FBgn0035471","FBgn0035471","Sc2","38457","CG10849",3903491,3905035,1,"3L",38457
"FBgn0035476","FBgn0035476","CG12766","38462","CG12766",3938623,3940125,-1,"3L",38462
"FBgn0035588","FBgn0035588","CG10672","38598","CG10672",5140439,5141646,-1,"3L",38598
"FBgn0035790","FBgn0035790","Cyp316a1","38840","CG8540",7491863,7493484,1,"3L",38840
"FBgn0035964","FBgn0035964","Dhpr","39050","CG4665",9134559,9135916,1,"3L",39050
"FBgn0036157","FBgn0036157","CG7560","39276","CG7560",11425157,11426395,1,"3L",39276
"FBgn0036183","FBgn0036183","CG6083","39305","CG6083",11624527,11626125,-1,"3L",39305
"FBgn0036211","FBgn0036211","CG5946","39336","CG5946",11816694,11822275,-1,"3L",39336
"FBgn0036327","FBgn0036327","CG10748","39469","CG10748",12971213,12972359,-1,"3L",39469
"FBgn0036328","FBgn0036328","CG10749","39470","CG10749",12972473,12973650,1,"3L",39470
"FBgn0036662","FBgn0036662","CG9706","39876","CG9706",16783009,16785246,1,"3L",39876
"FBgn0036663","FBgn0036663","CG9674","39878","CG9674",16787572,16807731,-1,"3L",39878
"FBgn0036698","FBgn0036698","CG7724","39918","CG7724",17055612,17058533,1,"3L",39918
"FBgn0036762","FBgn0036762","CG7430","39988","CG7430",17846915,17849601,1,"3L",39988
"FBgn0036778","FBgn0036778","Cyp312a1","40005","CG5137",18128939,18132689,-1,"3L",40005
"FBgn0036857","FBgn0036857","Aldh7A1","40097","CG9629",19266472,19268913,-1,"3L",40097
"FBgn0037601","FBgn0037601","Cyp313b1","41019","CG9716",8643069,8645650,-1,"3R",41019
"FBgn0038005","FBgn0038005","Cyp313a5","41486","CG15807",12232793,12234684,-1,"3R",41486
"FBgn0038006","FBgn0038006","Cyp313a2","41487","CG10094",12234979,12236904,-1,"3R",41487
"FBgn0038007","FBgn0038007","Cyp313a3","41488","CG10093",12237137,12239266,-1,"3R",41488
"FBgn0038037","FBgn0038037","Cyp9f2","41520","CG11466",12403339,12406028,-1,"3R",41520
"FBgn0038076","FBgn0038076","Cyp313a4","41563","CG6802",12679278,12681375,-1,"3R",41563
"FBgn0038095","FBgn0038095","Cyp304a1","41586","CG7241",12963790,12965923,1,"3R",41586
"FBgn0038516","FBgn0038516","P5cr-2","42106","CG5840",17534814,17537136,1,"3R",42106
"FBgn0038680","FBgn0038680","Cyp12a5","42293","CG11821",19132647,19134704,1,"3R",42293
"FBgn0038681","FBgn0038681","Cyp12a4","42294","CG6042",19135157,19137136,1,"3R",42294
"FBgn0038922","FBgn0038922","Idh3b","42586","CG6439",22016390,22019382,-1,"3R",42586
"FBgn0039006","FBgn0039006","Cyp6d4","42682","CG12800",22698318,22700307,1,"3R",42682
"FBgn0039071","FBgn0039071","bb8","42756","CG4434",23288216,23290189,-1,"3R",42756
"FBgn0039131","FBgn0039131","CG12268","42833","CG12268",23943627,23948424,-1,"3R",42833
"FBgn0039349","FBgn0039349","Ssadh","43092","CG4685",25624804,25626924,-1,"3R",43092
"FBgn0039358","FBgn0039358","CG5028","43102","CG5028",25680844,25683780,1,"3R",43102
"FBgn0039519","FBgn0039519","Cyp6a18","43304","CG13977",27478674,27482904,1,"3R",43304
"FBgn0039620","FBgn0039620","wat","43420","CG1443",28992976,29020406,-1,"3R",43420
"FBgn0041337","FBgn0041337","Cyp309a2","33439","CG18559",2564885,2573037,-1,"2L",33439
"FBgn0043456","FBgn0043456","Ndf","192507","CG4747",10003831,10008889,1,"2L",192507
"FBgn0051075","FBgn0051075","CG31075","43244","CG31075",26985623,26988517,-1,"3R",43244
"FBgn0051674","FBgn0051674","CG31674","318878","CG31674",20831261,20832859,1,"2L",318878
"FBgn0052026","FBgn0052026","CG32026","317829","CG32026",8836461,8838843,1,"3L",317829
"FBgn0086254","FBgn0086254","Akr1B","39304","CG6084",11620534,11624381,-1,"3L",39304
