GeneID (model organism),Official Gene Symbol (model organism),Suppressor found in (model organism),Human Ortholog Name (Best Match),Human Ortholog GeneID (Best Match),"Other Human Orthologs (up to 3, with GeneID)",ALS Model,How was the suppressor found/tested?,PMCID/PMID,,,,,,,,,,,,,,,,,
35223,RanGAP,D. melanogaster,RANGAP1,5905,,(G4C2)30 expression (this model: PMC3651485),"RanGAP GOF or OE in D. melanogaster eyes, and used IPSC derived neurons",PMC4800742,,,,,,,,,,,,,,,,,
38669,RanGEF (Rcc1),D. melanogaster,RCC1,1104,,"(G4C2)30 expression (this model: PMC3651485), RanGEF knockdown in D. melanogaster eyes",RNAi,PMC4800742,,,,,,,,,,,,,,,,,
,KPT-27,D. melanogaster,XPO1,7514,,KPT-27 treated in (G4C2) mediated neurodegeneration in flies,OE,PMC4800742,,,,,,,,,,,,,,,,,
43797,Pur-alpha,D. melanogaster,PURA,5813,"PURB (5814), PURG (29942)","(G4C2)30 in 5'UTR, no ATG; OE of pur-alpha in Drosophilia eyes",OE and siRNA mediated knockdown,PMC3651485,,,,,,,,,,,,,,,,,
,purb,D. melanogaster,PURB,5814,,"(G4C2)30 in 5'UTR, no ATG; OE of pur-beta in Drosophilia eyes",OE,PMC3651485,,,,,,,,,,,,,,,,,
35784,Nup50,D. melanogaster,NUP50,10762,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,Boeynaems et 2016 van den Bosch (Gitler),,,,,,,,,,,,,,,,
34481,Nup107,D. melanogaster,NUP107,57122,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
34527,Nup154,D. melanogaster,NUP155,9631,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
59216,CG32165,D. melanogaster,IPO4,79711,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
36264,Mtor,D. melanogaster,TPR,7175,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
35762,Nup44A,D. melanogaster,SEH1L,81929,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
36830,Nup62,D. melanogaster,NUP62,23636,NUP62CL (54830),PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
32350,Nup93-1,D. melanogaster,NUP93,9688,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
35336,Fs(2)Ket,D. melanogaster,KPNB1,3837,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
36732,Ranbp11,D. melanogaster,IPO11,51194,"KPNA3 (3839), KPNA4 (3840)",PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
39491,Trn,D. melanogaster,TNPO1,3842,TNPO2 (30000),PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
34167,emb,D. melanogaster,XPO1,7514,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
35223,RanGap,D. melanogaster,RANGAP1,5905,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
38669,Rcc1,D. melanogaster,RCC1,1104,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
41295,Art1,D. melanogaster,PRMT1,3276,PRMT8 (56341),PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
41699,Art6,D. melanogaster,PRMT6,55170,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
37664,Art7,D. melanogaster,PRMT7,54496,,PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
41209,Fbx011,D. melanogaster,FBX011,80204,FBXO10 (26267),PR25 single copy expression in fly eye,Targeted screen based on yeast screens (from PMC4552077),PMC4751451,,,,,,,,,,,,,,,,,
44029,Ref1,D. melanogaster,ALYREF,10189,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,"Freibaum et al. 2015     J Paul Taylor, F-B Gao",,,,,,,,,,,,,,,,
34549,Nup160,D. melanogaster,NUP160,23279,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
42816,Nup98-96,D. melanogaster,NUP98,4928,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
32630,Nup153,D. melanogaster,NUP153,9972,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
38721,Trn,D. melanogaster,TNPO1,3842,TNPO2 (30000),"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
34167,Crm1,D. melanogaster,XPO1,7514,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
44072,Ran,D. melanogaster,RAN,5901,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
37482,LBR,D. melanogaster,LBR,3930,"TM7SF2 (7108), DHCR7 (1717)","(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
40576,CG9775,D. melanogaster,CHTOP,26097,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
43944,sbr,D. melanogaster,NXF1,10482,"NXF2B (728343), NXF3 (56000), NXF5 (55998)","(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
35849,CG14749,D. melanogaster,GLE1,2733,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
44409,Cbp80,D. melanogaster,NCBP1,4686,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
42166,Cbp20,D. melanogaster,NCBP2,22916,NCBP2L (392517),"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
35539,Ars2,D. melanogaster,SRRT,51593,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
